asset,action,direction,candidate_size_usd,gross_15m_bps,gross_1h_bps,spread_bps,depth_10bps_usd,visible_depth_usage,taker_fee_bps_per_fill,conservative_cost_bps,conservative_net_15m_bps,conservative_net_1h_bps,gate_action,reason,next_step
SOL,aligned_pressure_watch,-1,100.00,0.00000000,0.00000000,0.14844173,472311.24715500,0.00021172,5.00000000,10.15055898,-10.15055898,-10.15055898,wait_for_1h_label,1h label is not mature yet,collect a fresh SOL microstructure snapshot before any paper probe
SOL,aligned_pressure_watch,-1,250.00,0.00000000,0.00000000,0.14844173,472311.24715500,0.00052931,5.00000000,10.15373485,-10.15373485,-10.15373485,wait_for_1h_label,1h label is not mature yet,collect a fresh SOL microstructure snapshot before any paper probe
BTC,aligned_pressure_watch,1,100.00,0.00000000,0.00000000,0.15635383,3549315.06675000,0.00002817,5.00000000,10.15663557,-10.15663557,-10.15663557,wait_for_1h_label,1h label is not mature yet,collect a fresh BTC microstructure snapshot before any paper probe
BTC,aligned_pressure_watch,1,250.00,0.00000000,0.00000000,0.15635383,3549315.06675000,0.00007044,5.00000000,10.15705819,-10.15705819,-10.15705819,wait_for_1h_label,1h label is not mature yet,collect a fresh BTC microstructure snapshot before any paper probe
BTC,aligned_pressure_watch,1,500.00,0.00000000,0.00000000,0.15635383,3549315.06675000,0.00014087,5.00000000,10.15776255,-10.15776255,-10.15776255,wait_for_1h_label,1h label is not mature yet,collect a fresh BTC microstructure snapshot before any paper probe
SOL,aligned_pressure_watch,-1,500.00,0.00000000,0.00000000,0.14844173,472311.24715500,0.00105862,5.00000000,10.15902797,-10.15902797,-10.15902797,wait_for_1h_label,1h label is not mature yet,collect a fresh SOL microstructure snapshot before any paper probe
BTC,aligned_pressure_watch,1,1000.00,0.00000000,0.00000000,0.15635383,3549315.06675000,0.00028174,5.00000000,10.15917128,-10.15917128,-10.15917128,wait_for_1h_label,1h label is not mature yet,collect a fresh BTC microstructure snapshot before any paper probe
SOL,aligned_pressure_watch,-1,1000.00,0.00000000,0.00000000,0.14844173,472311.24715500,0.00211725,5.00000000,10.16961421,-10.16961421,-10.16961421,wait_for_1h_label,1h label is not mature yet,collect a fresh SOL microstructure snapshot before any paper probe
HYPE,book_trade_divergence_watch,-1,100.00,0.00000000,0.00000000,0.30989014,111544.68987000,0.00089650,5.00000000,10.31885516,-10.31885516,-10.31885516,wait_for_1h_label,1h label is not mature yet,collect a fresh HYPE microstructure snapshot before any paper probe
HYPE,book_trade_divergence_watch,-1,250.00,0.00000000,0.00000000,0.30989014,111544.68987000,0.00224125,5.00000000,10.33230268,-10.33230268,-10.33230268,wait_for_1h_label,1h label is not mature yet,collect a fresh HYPE microstructure snapshot before any paper probe
HYPE,book_trade_divergence_watch,-1,500.00,0.00000000,0.00000000,0.30989014,111544.68987000,0.00448251,5.00000000,10.35471522,-10.35471522,-10.35471522,wait_for_1h_label,1h label is not mature yet,collect a fresh HYPE microstructure snapshot before any paper probe
HYPE,book_trade_divergence_watch,-1,1000.00,0.00000000,0.00000000,0.30989014,111544.68987000,0.00896502,5.00000000,10.39954031,-10.39954031,-10.39954031,wait_for_1h_label,1h label is not mature yet,collect a fresh HYPE microstructure snapshot before any paper probe
NEAR,aligned_pressure_watch,-1,100.00,0.00000000,0.00000000,0.45881030,14082.72641500,0.00710090,5.00000000,10.52981928,-10.52981928,-10.52981928,wait_for_1h_label,1h label is not mature yet,collect a fresh NEAR microstructure snapshot before any paper probe
ETH,book_trade_divergence_watch,-1,100.00,0.00000000,0.00000000,0.58991830,11516676.19470000,0.00000868,5.00000000,10.59000513,-10.59000513,-10.59000513,wait_for_1h_label,1h label is not mature yet,collect a fresh ETH microstructure snapshot before any paper probe
ETH,book_trade_divergence_watch,-1,250.00,0.00000000,0.00000000,0.58991830,11516676.19470000,0.00002171,5.00000000,10.59013538,-10.59013538,-10.59013538,wait_for_1h_label,1h label is not mature yet,collect a fresh ETH microstructure snapshot before any paper probe
ETH,book_trade_divergence_watch,-1,500.00,0.00000000,0.00000000,0.58991830,11516676.19470000,0.00004342,5.00000000,10.59035245,-10.59035245,-10.59035245,wait_for_1h_label,1h label is not mature yet,collect a fresh ETH microstructure snapshot before any paper probe
ETH,book_trade_divergence_watch,-1,1000.00,0.00000000,0.00000000,0.58991830,11516676.19470000,0.00008683,5.00000000,10.59078661,-10.59078661,-10.59078661,wait_for_1h_label,1h label is not mature yet,collect a fresh ETH microstructure snapshot before any paper probe
NEAR,aligned_pressure_watch,-1,250.00,0.00000000,0.00000000,0.45881030,14082.72641500,0.01775224,5.00000000,10.63633274,-10.63633274,-10.63633274,wait_for_1h_label,1h label is not mature yet,collect a fresh NEAR microstructure snapshot before any paper probe
BNB,book_trade_divergence_watch,-1,100.00,0.00000000,0.00000000,0.66235035,107947.10077000,0.00092638,5.00000000,10.67161415,-10.67161415,-10.67161415,wait_for_1h_label,1h label is not mature yet,collect a fresh BNB microstructure snapshot before any paper probe
BNB,book_trade_divergence_watch,-1,250.00,0.00000000,0.00000000,0.66235035,107947.10077000,0.00231595,5.00000000,10.68550984,-10.68550984,-10.68550984,wait_for_1h_label,1h label is not mature yet,collect a fresh BNB microstructure snapshot before any paper probe
