observed_at,symbol,name,coin_id,status,side,direction,attention_rank,current_price,volume_to_market_cap,price_change_24h,price_change_7d,price_change_30d,score,observation_status,next_step
2026-06-07T22:45:00+00:00,BTC,Bitcoin,bitcoin,attention_price_lag_candidate,long_attention_lag,1,2,63099.000000000000,0.02859254,4.23180934,-14.31287877,-21.34574046,33.97431528,ready_for_label,"paper-label BTC attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-07T22:45:00+00:00,ETH,Ethereum,ethereum,attention_price_lag_candidate,long_attention_lag,1,5,1681.410000000000,0.07846438,8.07443774,-16.09242214,-27.09012842,39.09007864,ready_for_label,"paper-label ETH attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-07T22:45:00+00:00,HYPE,Hyperliquid,hyperliquid,attention_price_lag_candidate,long_attention_lag,1,6,59.340000000000,0.05149451,5.61355993,-14.92741839,37.67659876,33.11570394,ready_for_label,"paper-label HYPE attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-07T22:45:00+00:00,NEAR,NEAR Protocol,near,attention_price_lag_candidate,long_attention_lag,1,8,2.050000000000,0.24335414,10.21859685,-8.87645605,29.97392638,36.87645605,ready_for_label,"paper-label NEAR attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-07T22:45:00+00:00,PENGU,Pudgy Penguins,pudgy-penguins,attention_price_lag_candidate,long_attention_lag,1,1,0.006908740000,0.29104672,10.81067424,-11.74526907,-33.72767963,46.74526907,ready_for_label,"paper-label PENGU attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-07T22:45:00+00:00,SOL,Solana,solana,attention_price_lag_candidate,long_attention_lag,1,4,66.360000000000,0.08050407,7.68346213,-18.83548150,-27.96847877,42.54414733,ready_for_label,"paper-label SOL attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-07T22:45:00+00:00,TAO,Bittensor,bittensor,attention_price_lag_candidate,long_attention_lag,1,9,212.690000000000,0.09589428,10.37815857,-16.04112408,-32.06258630,37.83583808,ready_for_label,"paper-label TAO attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-07T22:45:00+00:00,WLD,Worldcoin,worldcoin-wld,attention_chase_risk,wait_or_fade_watch,-1,10,0.484989000000,0.38498119,16.50154515,43.31364976,76.81580941,31.36316188,ready_for_label,avoid chasing WLD; label pullback or fade setups instead
2026-06-07T22:45:00+00:00,XRP,XRP,ripple,attention_price_lag_candidate,long_attention_lag,1,7,1.160000000000,0.02921207,6.62038172,-12.98050231,-18.12146459,30.06148771,ready_for_label,"paper-label XRP attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-07T22:45:00+00:00,ZEC,Zcash,zcash,attention_price_lag_candidate,long_attention_lag,1,3,442.830000000000,0.18119969,26.46111140,-19.24430912,-25.37345989,51.30429372,ready_for_label,"paper-label ZEC attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-08T00:40:00+00:00,BTC,Bitcoin,bitcoin,attention_price_lag_candidate,long_attention_lag,1,3,63750.000000000000,0.03008864,4.84783819,-13.70743825,-20.50036283,33.05970860,ready_for_label,"paper-label BTC attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-08T00:40:00+00:00,HYPE,Hyperliquid,hyperliquid,attention_price_lag_candidate,long_attention_lag,1,4,61.650000000000,0.05261120,7.65450223,-15.02115195,42.33851505,37.30621406,ready_for_label,"paper-label HYPE attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-08T00:40:00+00:00,LAB,LAB,lab,attention_chase_risk,wait_or_fade_watch,-1,8,12.370000000000,0.01343132,-4.74655235,26.85131416,209.03228622,28.67156588,ready_for_label,avoid chasing LAB; label pullback or fade setups instead
2026-06-08T00:40:00+00:00,LINK,Chainlink,chainlink,attention_price_lag_candidate,long_attention_lag,1,9,7.970000000000,0.05503164,7.64617320,-12.57337442,-22.77906289,29.97112947,ready_for_label,"paper-label LINK attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-08T00:40:00+00:00,NEAR,NEAR Protocol,near,attention_price_lag_candidate,long_attention_lag,1,7,2.080000000000,0.24577288,10.43579257,-9.94878420,30.51669401,38.94878420,ready_for_label,"paper-label NEAR attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-08T00:40:00+00:00,PENGU,Pudgy Penguins,pudgy-penguins,attention_price_lag_candidate,long_attention_lag,1,1,0.006977490000,0.35945071,10.46780006,-12.17272935,-33.47025252,47.17272935,ready_for_label,"paper-label PENGU attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-08T00:40:00+00:00,PEPE,Pepe,pepe,attention_price_lag_candidate,long_attention_lag,1,10,0.000002830000,0.18292333,5.25994559,-17.50962890,-34.41062404,37.91574099,ready_for_label,"paper-label PEPE attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-08T00:40:00+00:00,SOL,Solana,solana,attention_price_lag_candidate,long_attention_lag,1,5,66.740000000000,0.08522485,7.06633874,-18.84182098,-27.38581239,41.16940205,ready_for_label,"paper-label SOL attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-08T00:40:00+00:00,VVV,Venice Token,venice-token,attention_price_lag_candidate,long_attention_lag,1,6,16.700000000000,0.08718590,5.98434732,-9.31914798,21.60698461,29.66279052,ready_for_label,"paper-label VVV attention-price lag over 1h, 4h, 12h, and 24h"
2026-06-08T00:40:00+00:00,ZEC,Zcash,zcash,attention_price_lag_candidate,long_attention_lag,1,2,438.020000000000,0.18235398,18.31150057,-23.13976009,-28.52544201,53.11769913,ready_for_label,"paper-label ZEC attention-price lag over 1h, 4h, 12h, and 24h"
