symbol,name,coin_id,attention_rank,current_price,market_cap,total_volume,volume_to_market_cap,price_change_1h,price_change_24h,price_change_7d,price_change_30d,status,side,score,evidence,next_step
ZEC,Zcash,zcash,2,437.930000000000,7376852424.00000000,1344959911.00000000,0.18232165,0.39708372,19.87363587,-23.15491689,-28.53953676,attention_price_lag_candidate,long_attention_lag,53.11608254,rank=2; price_1h=0.40; price_24h=19.87; price_7d=-23.15; price_30d=-28.54; volume_to_mcap=0.1823,"paper-label ZEC attention-price lag over 1h, 4h, 12h, and 24h"
PENGU,Pudgy Penguins,pudgy-penguins,1,0.006989970000,437840946.00000000,137059772.00000000,0.31303553,1.87655372,10.96784505,-12.01567151,-33.35128016,attention_price_lag_candidate,long_attention_lag,47.01567151,rank=1; price_1h=1.88; price_24h=10.97; price_7d=-12.02; price_30d=-33.35; volume_to_mcap=0.3130,"paper-label PENGU attention-price lag over 1h, 4h, 12h, and 24h"
SOL,Solana,solana,3,66.390000000000,38429340309.00000000,3245144738.00000000,0.08444446,0.66932621,6.85639290,-19.26488502,-27.76433803,attention_price_lag_candidate,long_attention_lag,43.34350072,rank=3; price_1h=0.67; price_24h=6.86; price_7d=-19.26; price_30d=-27.76; volume_to_mcap=0.0844,"paper-label SOL attention-price lag over 1h, 4h, 12h, and 24h"
NEAR,NEAR Protocol,near,7,2.050000000000,2664581871.00000000,653206774.00000000,0.24514419,0.93177694,10.08108891,-11.15962811,28.76174443,attention_price_lag_candidate,long_attention_lag,40.15962811,rank=7; price_1h=0.93; price_24h=10.08; price_7d=-11.16; price_30d=28.76; volume_to_mcap=0.2451,"paper-label NEAR attention-price lag over 1h, 4h, 12h, and 24h"
ADA,Cardano,cardano,9,0.165264000000,6127648526.00000000,576334228.00000000,0.09405471,0.26713163,4.92666247,-29.80729317,-39.47159725,attention_price_lag_candidate,long_attention_lag,36.62939816,rank=9; price_1h=0.27; price_24h=4.93; price_7d=-29.81; price_30d=-39.47; volume_to_mcap=0.0941,"paper-label ADA attention-price lag over 1h, 4h, 12h, and 24h"
HYPE,Hyperliquid,hyperliquid,6,59.670000000000,13247431893.00000000,692799850.00000000,0.05229692,1.09538062,5.14025191,-17.75362151,37.76166247,attention_price_lag_candidate,long_attention_lag,35.50871928,rank=6; price_1h=1.10; price_24h=5.14; price_7d=-17.75; price_30d=37.76; volume_to_mcap=0.0523,"paper-label HYPE attention-price lag over 1h, 4h, 12h, and 24h"
BTC,Bitcoin,bitcoin,4,63208.000000000000,1266954887606.00000000,36895784604.00000000,0.02912162,0.62812861,3.90835042,-14.44063686,-21.17584426,attention_price_lag_candidate,long_attention_lag,31.80506850,rank=4; price_1h=0.63; price_24h=3.91; price_7d=-14.44; price_30d=-21.18; volume_to_mcap=0.0291,"paper-label BTC attention-price lag over 1h, 4h, 12h, and 24h"
VVV,Venice Token,venice-token,5,16.370000000000,762284135.00000000,66748345.00000000,0.08756360,0.35120368,3.91998268,-11.06660836,19.26356388,attention_price_lag_candidate,long_attention_lag,30.36477117,rank=5; price_1h=0.35; price_24h=3.92; price_7d=-11.07; price_30d=19.26; volume_to_mcap=0.0876,"paper-label VVV attention-price lag over 1h, 4h, 12h, and 24h"
XRP,XRP,ripple,8,1.150000000000,71661941740.00000000,2179332132.00000000,0.03041129,-0.16201428,5.63653668,-13.28201227,-18.61517248,attention_price_lag_candidate,long_attention_lag,28.43911348,rank=8; price_1h=-0.16; price_24h=5.64; price_7d=-13.28; price_30d=-18.62; volume_to_mcap=0.0304,"paper-label XRP attention-price lag over 1h, 4h, 12h, and 24h"
TON,Toncoin,the-open-network,10,1.700000000000,4540249443.00000000,242319006.00000000,0.05337130,-0.01124286,3.34170940,-9.80579801,-32.55230706,attention_price_lag_candidate,long_attention_lag,21.81607231,rank=10; price_1h=-0.01; price_24h=3.34; price_7d=-9.81; price_30d=-32.55; volume_to_mcap=0.0534,"paper-label TON attention-price lag over 1h, 4h, 12h, and 24h"
