snapshot_timestamp,venue,token_symbol,action,direction,directional_return_15m,annualized_funding,funding_support,liquidity_usd,friction_bps,okx_liquidation_action,okx_liquidation_score,context_score,note
2026-06-07T17:52:58.484701+00:00,OKX,MON,chain_flow_reversal_watch,1,0.00641319,-0.80572183,0.80572183,7702130.54000000,4.57351932,,,0.91264303,price label positive; funding helps direction
2026-06-07T17:52:58.484701+00:00,OKX,HYPE,chain_flow_reversal_watch,1,0.00678311,-0.06081031,0.06081031,401773632.31200004,1.68676731,mixed_liquidation_flow_watch,0.00082611,0.66304404,price label positive; funding helps direction
2026-06-07T17:52:58.484701+00:00,OKX,SOL,chain_flow_reversal_watch,1,0.00306513,-0.38634890,0.38634890,702444779.75549996,1.53010481,,,0.61635666,price label positive; funding helps direction
2026-06-07T17:52:58.484701+00:00,HL,HYPE,chain_flow_reversal_watch,1,0.00668993,0.10950000,-0.10950000,607449485.22040820,0.16852465,mixed_liquidation_flow_watch,0.00082611,0.55932787,price label positive
2026-06-07T17:52:58.484701+00:00,OKX,ETH,chain_flow_reversal_watch,1,0.00191994,-0.15622280,0.15622280,6909798254.15190029,0.06126306,short_liquidation_squeeze_watch,0.01962368,0.54139045,price label positive; funding helps direction; has recent liquidation context
2026-06-07T17:52:58.484701+00:00,HL,ETH,chain_flow_reversal_watch,1,0.00165604,-0.13897127,0.13897127,659720500.54941022,1.04137952,short_liquidation_squeeze_watch,0.01962368,0.44874309,price label positive; funding helps direction; has recent liquidation context
2026-06-07T17:52:58.484701+00:00,HL,SOL,chain_flow_reversal_watch,1,0.00295654,-0.15540240,0.15540240,305035479.34748125,0.15295548,,,0.44340863,price label positive; funding helps direction
2026-06-07T17:52:58.484701+00:00,OKX,KAT,chain_flow_reversal_watch,1,0.00290867,,,,,,,0.29086700,price label positive
2026-06-07T17:52:58.484701+00:00,OKX,POL,chain_flow_reversal_watch,1,0.00253036,,,,,,,0.25303600,price label positive
2026-06-07T17:52:58.484701+00:00,OKX,MEGA,chain_flow_reversal_watch,1,0.00020670,-0.26241290,0.26241290,7519691.60520000,2.05444273,,,0.18036076,price label positive; funding helps direction
2026-06-07T17:52:58.484701+00:00,OKX,MOVE,chain_flow_reversal_watch,1,0.00170648,,,,,,,0.17064800,price label positive
2026-06-07T17:52:58.484701+00:00,OKX,BERA,chain_flow_reversal_watch,1,0.00164813,,,,,,,0.16481300,price label positive
