group_type,group_key,observations,labeled_observations,hit_rate_15m,mean_dir15,mean_funding_support,mean_context_score,action,evidence
venue_token,OKX/ETH,2,2,1.00000000,0.00140417,0.15663568,0.44360959,repeat_priority,OKX/ETH/0.541;OKX/ETH/0.346
token,ETH,2,2,1.00000000,0.00134586,0.15824627,0.42023479,repeat_priority,OKX/ETH/0.541;HL/ETH/0.449;OKX/ETH/0.346
venue_token,HL/ETH,2,2,1.00000000,0.00128755,0.15985686,0.39686000,repeat_priority,HL/ETH/0.449;HL/ETH/0.345
venue_token,OKX/SOL,2,2,0.50000000,0.00046158,0.38441593,0.35402718,keep_sampling,OKX/SOL/0.616;OKX/SOL/0.092
token,SOL,2,2,0.50000000,0.00045374,0.27380408,0.27707896,keep_sampling,OKX/SOL/0.616;HL/SOL/0.443;OKX/SOL/0.092
venue_token,HL/SOL,2,2,0.50000000,0.00044591,0.16319223,0.20013074,keep_sampling,HL/SOL/0.443;HL/SOL/-0.043
token,POL,2,2,1.00000000,0.00189642,,0.18964150,keep_sampling,OKX/POL/0.253;OKX/POL/0.126
venue_token,OKX/POL,2,2,1.00000000,0.00189642,,0.18964150,keep_sampling,OKX/POL/0.253;OKX/POL/0.126
token,HYPE,2,2,0.66666667,0.00336849,-0.02250844,0.18071284,keep_sampling,OKX/HYPE/0.663;HL/HYPE/0.559;OKX/HYPE/-0.338
venue_token,OKX/HYPE,2,2,0.50000000,0.00170777,0.06448313,0.16242149,keep_sampling,OKX/HYPE/0.663;OKX/HYPE/-0.338
token,MEGA,2,2,0.50000000,-0.00062340,0.24754475,0.08211111,keep_sampling,OKX/MEGA/0.180;OKX/MEGA/-0.016
venue_token,OKX/MEGA,2,2,0.50000000,-0.00062340,0.24754475,0.08211111,keep_sampling,OKX/MEGA/0.180;OKX/MEGA/-0.016
venue_action,OKX/chain_flow_reversal_watch,2,2,0.61111111,0.00051392,0.13243790,0.05606467,keep_sampling,OKX/MON/0.913;OKX/HYPE/0.663;OKX/SOL/0.616
action,chain_flow_reversal_watch,2,2,0.63829787,0.00074881,0.08456536,0.05583156,keep_sampling,OKX/MON/0.913;OKX/HYPE/0.663;OKX/SOL/0.616
