venue,signal_timestamp,token_symbol,action,direction,directional_return_15m,annualized_funding,funding_support,premium,liquidity_usd,open_interest_usd,friction_bps,okx_liquidation_action,okx_liquidation_score,okx_liquidation_imbalance,context_score,note
OKX,2026-06-08T00:05:42.042449+00:00,ETH,chain_flow_reversal_watch,1,,-0.15704855,0.15704855,-0.00068067,6915479767.85633945,1231290189.31742239,0.06135628,short_liquidation_squeeze_watch,0.02754692,1.00000000,0.42944994,funding helps direction; has recent liquidation context
OKX,2026-06-08T00:05:42.042449+00:00,SOL,chain_flow_reversal_watch,1,,-0.38248296,0.38248296,-0.00091827,703863000.42240000,185402977.45920017,1.53174542,,,,0.30589569,funding helps direction
OKX,2026-06-08T00:05:42.042449+00:00,MON,chain_flow_reversal_watch,1,,-0.79807481,0.79807481,-0.00115304,7766150.04720000,2996360.08920000,4.55477112,,,,0.27226144,funding helps direction
OKX,2026-06-08T00:05:42.042449+00:00,BTC,chain_flow_reversal_watch,1,,0.00598260,-0.00598260,-0.00058067,6477616970.73072052,1870447819.76300716,0.01609118,short_liquidation_squeeze_watch,0.02457470,1.00000000,0.23895984,has recent liquidation context
HL,2026-06-08T00:05:42.042449+00:00,ETH,chain_flow_reversal_watch,1,,0.06873709,-0.06873709,-0.00059280,904303544.36544967,1154371950.54995990,0.59317258,short_liquidation_squeeze_watch,0.02754692,1.00000000,0.17707348,has recent liquidation context
HL,2026-06-08T00:05:42.042449+00:00,BTC,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,-0.00039531,2955236332.03062201,1981982808.81631994,0.49038606,short_liquidation_squeeze_watch,0.02457470,1.00000000,0.11172770,has recent liquidation context
HL,2026-06-08T00:05:42.042449+00:00,SOL,chain_flow_reversal_watch,1,,-0.05121359,0.05121359,-0.00063497,365059594.30375999,247363216.62279990,0.60512084,,,,0.02095755,funding helps direction
OKX,2026-06-08T00:05:42.042449+00:00,MOVE,chain_flow_reversal_watch,1,,,,,,,,,,,0.00000000,weak current context
OKX,2026-06-08T00:05:42.042449+00:00,BERA,chain_flow_reversal_watch,1,,,,,,,,,,,0.00000000,weak current context
OKX,2026-06-08T00:05:42.042449+00:00,STX,chain_flow_reversal_watch,1,,,,,,,,,,,0.00000000,weak current context
OKX,2026-06-08T00:05:42.042449+00:00,SEI,chain_flow_reversal_watch,1,,,,,,,,,,,0.00000000,weak current context
OKX,2026-06-08T00:05:42.042449+00:00,POL,chain_flow_reversal_watch,1,,,,,,,,,,,0.00000000,weak current context
OKX,2026-06-08T00:05:42.042449+00:00,STRK,chain_flow_reversal_watch,1,,,,,,,,,,,0.00000000,weak current context
OKX,2026-06-08T00:05:42.042449+00:00,HYPE,chain_flow_reversal_watch,1,,-0.06815595,0.06815595,-0.00081880,401033018.49000001,86847496.11600000,1.68506193,long_liquidation_cascade_watch,0.00032885,-1.00000000,-0.01280865,funding helps direction
OKX,2026-06-08T00:05:42.042449+00:00,ARB,chain_flow_reversal_watch,1,,-0.00848212,0.00848212,-0.00068489,11973871.07281000,3856490.59554000,1.22256862,,,,-0.05264631,funding helps direction
OKX,2026-06-08T00:05:42.042449+00:00,APT,chain_flow_reversal_watch,1,,0.02741399,-0.02741399,-0.00003150,10879875.89250000,4168546.00380000,1.49465660,,,,-0.10214682,weak current context
OKX,2026-06-08T00:05:42.042449+00:00,SUI,chain_flow_reversal_watch,1,,0.06464509,-0.06464509,-0.00026933,75677855.09989999,20679501.62570000,1.33680904,mixed_liquidation_flow_watch,0.00284028,0.47236921,-0.10308274,weak current context
