currency,expiry,structure,days_to_expiry,atm_iv,realized_vol_24h,iv_premium_24h,skew_iv,term_iv_spread_to_next,selected_spread_pct,open_interest,volume_usd,atm_call,atm_put,quote_spread_pct,ask_premium_pct,ask_premium_usd,quote_status,quote_reason,score,status,reason
ETH,2026-06-26,long_vol_spread,18.2760,64.9200,111.1690,-46.2490,4.7700,5.4200,0.030849,904420.0000,543295.58,ETH-26JUN26-1650-C,ETH-26JUN26-1650-P,0.025424,11.950000,200.10,quote_executable_watch,ATM option pair quote is present with acceptable spread,76.98229558,paper_long_vol_quote_candidate,IV is cheap versus recent realized vol; test capped-premium long-vol structure
ETH,2026-06-12,long_vol_spread,4.2760,79.0100,111.1690,-32.1590,11.0100,10.6300,0.055544,141322.0000,548807.89,ETH-12JUN26-1675-C,ETH-12JUN26-1675-P,0.043796,7.000000,117.12,quote_executable_watch,ATM option pair quote is present with acceptable spread,74.34780789,paper_long_vol_quote_candidate,IV is cheap versus recent realized vol; test capped-premium long-vol structure
BTC,2026-06-26,long_vol_spread,18.2760,48.2200,81.6523,-33.4323,6.1800,3.8000,0.032741,143755.9000,3492665.39,BTC-26JUN26-63000-C,BTC-26JUN26-63000-P,0.023256,8.700000,5464.49,quote_executable_watch,ATM option pair quote is present with acceptable spread,66.41230000,paper_long_vol_quote_candidate,IV is cheap versus recent realized vol; test capped-premium long-vol structure
BTC,2026-06-19,long_vol_spread,11.2760,51.9800,81.6523,-29.6723,8.1800,3.7600,0.041673,16242.6000,1231162.23,BTC-19JUN26-63000-C,BTC-19JUN26-63000-P,0.020478,7.400000,4645.40,quote_executable_watch,ATM option pair quote is present with acceptable spread,62.84346223,paper_long_vol_quote_candidate,IV is cheap versus recent realized vol; test capped-premium long-vol structure
ETH,2026-07-31,long_vol_spread,53.2760,59.5000,111.1690,-51.6690,2.3000,0.7400,0.015365,140262.0000,286602.64,ETH-31JUL26-1700-C,ETH-31JUL26-1700-P,0.010929,18.400000,308.48,premium_too_large,ATM long-vol proxy premium is too large relative to notional,58.99560264,paper_long_vol_quote_blocked,IV is cheap versus recent realized vol; test capped-premium long-vol structure
ETH,2026-09-25,long_vol_spread,109.2760,58.6100,111.1690,-52.5590,1.6000,-1.3100,0.013336,292907.0000,368904.28,ETH-25SEP26-1700-C,ETH-25SEP26-1700-P,0.013685,25.750000,433.69,premium_too_large,ATM long-vol proxy premium is too large relative to notional,58.52790428,paper_long_vol_quote_blocked,IV is cheap versus recent realized vol; test capped-premium long-vol structure
ETH,2027-03-26,long_vol_spread,291.2760,61.0800,111.1690,-50.0890,0.8400,0.0000,0.018114,63470.0000,257858.42,ETH-26MAR27-1700-C,ETH-26MAR27-1700-P,0.017534,43.150000,741.54,premium_too_large,ATM long-vol proxy premium is too large relative to notional,55.18685842,paper_long_vol_quote_blocked,IV is cheap versus recent realized vol; test capped-premium long-vol structure
BTC,2026-07-31,long_vol_spread,53.2760,44.4200,81.6523,-37.2323,3.4100,0.4200,0.018168,37259.2000,1591605.64,BTC-31JUL26-63000-C,BTC-31JUL26-63000-P,0.014815,13.600000,8565.36,premium_too_large,ATM long-vol proxy premium is too large relative to notional,46.65390564,paper_long_vol_quote_blocked,IV is cheap versus recent realized vol; test capped-premium long-vol structure
BTC,2026-08-28,long_vol_spread,81.2760,44.0000,81.6523,-37.6523,2.7100,0.2200,0.018400,6635.8000,363345.97,BTC-28AUG26-63000-C,BTC-28AUG26-63000-P,0.018182,16.650000,10513.00,premium_too_large,ATM long-vol proxy premium is too large relative to notional,44.94564597,paper_long_vol_quote_blocked,IV is cheap versus recent realized vol; test capped-premium long-vol structure
BTC,2026-09-25,long_vol_spread,109.2760,43.7800,81.6523,-37.8723,1.8500,-1.1000,0.019258,76390.3000,1196666.79,BTC-25SEP26-64000-C,BTC-25SEP26-64000-P,0.015666,19.300000,12228.34,premium_too_large,ATM long-vol proxy premium is too large relative to notional,44.91896679,paper_long_vol_quote_blocked,IV is cheap versus recent realized vol; test capped-premium long-vol structure
