candidate_id,status,currency,expiry,structure,survival_score,actionability_score,atm_iv,realized_vol_24h,iv_premium_24h,quote_spread_pct,max_loss_pct,premium_to_realized_move,top_ask_premium_depth_usd,evidence,missing_work,next_probe,research_reference
btc_2026-06-26_long_atm_straddle,long_vol_hedge_path_required,BTC,2026-06-26,long_atm_straddle,256.73661780,74.00000000,44.02000000,85.77270000,-41.75270000,0.01954400,7.75000000,0.41260500,193185.07000000,"actionability=volatility_candidate_needs_sweep_hedge; source=paper_long_vol_quote_candidate; quote=quote_executable_watch; ticket_status=paper_long_vol_quote_candidate; reason=cheap IV has visible top depth and capped premium, but sweep depth and hedge behavior are not checked yet","multi-level sweep, delta hedge schedule, exit bid, margin, and realized hedge PnL","paper-check BTC 2026-06-26 long_atm_straddle with sweep depth, delta hedge marks, exit bid, max loss, and margin",https://doi.org/10.1007/s00500-025-10980-7
btc_2026-06-19_long_atm_straddle,long_vol_hedge_path_required,BTC,2026-06-19,long_atm_straddle,250.82405620,74.00000000,46.11000000,85.77270000,-39.66270000,0.03200000,6.35000000,0.43641500,163053.78000000,"actionability=volatility_candidate_needs_sweep_hedge; source=paper_long_vol_quote_candidate; quote=quote_executable_watch; ticket_status=paper_long_vol_quote_candidate; reason=cheap IV has visible top depth and capped premium, but sweep depth and hedge behavior are not checked yet","multi-level sweep, delta hedge schedule, exit bid, margin, and realized hedge PnL","paper-check BTC 2026-06-19 long_atm_straddle with sweep depth, delta hedge marks, exit bid, max loss, and margin",https://doi.org/10.1007/s00500-025-10980-7
eth_2026-06-12_long_atm_straddle,long_vol_hedge_path_required,ETH,2026-06-12,long_atm_straddle,243.57917100,67.85648800,64.28000000,112.31500000,-48.03500000,0.04975100,5.15000000,0.46800700,45789.70000000,"actionability=volatility_candidate_needs_sweep_hedge; source=paper_long_vol_quote_candidate; quote=quote_executable_watch; ticket_status=paper_long_vol_quote_candidate; reason=cheap IV has visible top depth and capped premium, but sweep depth and hedge behavior are not checked yet","multi-level sweep, delta hedge schedule, exit bid, margin, and realized hedge PnL","paper-check ETH 2026-06-12 long_atm_straddle with sweep depth, delta hedge marks, exit bid, max loss, and margin",https://doi.org/10.1007/s00500-025-10980-7
eth_2026-06-19_long_atm_straddle,quote_mechanics_required,ETH,2026-06-19,long_atm_straddle,178.69585540,62.33543180,60.06000000,112.31500000,-52.25500000,0.03058100,8.30000000,0.43562800,16771.59000000,"actionability=volatility_quote_mechanics_watch; source=paper_long_vol_quote_candidate; quote=quote_executable_watch; ticket_status=paper_long_vol_quote_candidate; reason=quote exists, but spread, premium size, depth, or breakeven move still needs mechanics review","spread, top depth, premium-at-risk, breakeven move, and hedge feasibility","review ETH 2026-06-19 long_atm_straddle spread, premium-at-risk, breakeven move, and hedge feasibility",https://doi.org/10.1007/s00500-025-10980-7
eth_2026-06-10_long_atm_straddle,short_expiry_gamma_timing_required,ETH,2026-06-10,long_atm_straddle,176.24978080,54.00000000,62.53000000,112.31500000,-49.78500000,0.07751900,3.35000000,0.46470000,27770.52000000,"actionability=volatility_short_expiry_hedge_watch; source=paper_long_vol_quote_candidate; quote=quote_executable_watch; ticket_status=paper_long_vol_quote_candidate; reason=expiry is close, so gamma and hedge timing dominate","gamma timing, hedge frequency, event risk, and expiry handling",check ETH 2026-06-10 long_atm_straddle gamma timing and hedge frequency before any paper promotion,https://doi.org/10.1007/s00500-025-10980-7
eth_2026-06-11_long_atm_straddle,short_expiry_gamma_timing_required,ETH,2026-06-11,long_atm_straddle,176.10128400,54.00000000,64.72000000,112.31500000,-47.59500000,0.05848000,4.40000000,0.47301000,4448.35000000,"actionability=volatility_short_expiry_hedge_watch; source=paper_long_vol_quote_candidate; quote=quote_executable_watch; ticket_status=paper_long_vol_quote_candidate; reason=expiry is close, so gamma and hedge timing dominate","gamma timing, hedge frequency, event risk, and expiry handling",check ETH 2026-06-11 long_atm_straddle gamma timing and hedge frequency before any paper promotion,https://doi.org/10.1007/s00500-025-10980-7
btc_2026-06-10_long_atm_straddle,short_expiry_gamma_timing_required,BTC,2026-06-10,long_atm_straddle,175.11470380,54.00000000,45.56000000,85.77270000,-40.21270000,0.04255300,2.40000000,0.43594100,49742.22000000,"actionability=volatility_short_expiry_hedge_watch; source=paper_long_vol_quote_candidate; quote=quote_executable_watch; ticket_status=paper_long_vol_quote_candidate; reason=expiry is close, so gamma and hedge timing dominate","gamma timing, hedge frequency, event risk, and expiry handling",check BTC 2026-06-10 long_atm_straddle gamma timing and hedge frequency before any paper promotion,https://doi.org/10.1007/s00500-025-10980-7
eth_2026-06-26_long_atm_straddle,quote_mechanics_required,ETH,2026-06-26,long_atm_straddle,173.76305800,62.48365100,58.31000000,112.31500000,-54.00500000,0.02433100,10.40000000,0.42284100,24182.55000000,"actionability=volatility_quote_mechanics_watch; source=paper_long_vol_quote_candidate; quote=quote_executable_watch; ticket_status=paper_long_vol_quote_candidate; reason=quote exists, but spread, premium size, depth, or breakeven move still needs mechanics review","spread, top depth, premium-at-risk, breakeven move, and hedge feasibility","review ETH 2026-06-26 long_atm_straddle spread, premium-at-risk, breakeven move, and hedge feasibility",https://doi.org/10.1007/s00500-025-10980-7
btc_2026-06-11_long_atm_straddle,short_expiry_gamma_timing_required,BTC,2026-06-11,long_atm_straddle,171.21994240,54.00000000,47.57000000,85.77270000,-38.20270000,0.04724400,3.25000000,0.45749800,35224.56000000,"actionability=volatility_short_expiry_hedge_watch; source=paper_long_vol_quote_candidate; quote=quote_executable_watch; ticket_status=paper_long_vol_quote_candidate; reason=expiry is close, so gamma and hedge timing dominate","gamma timing, hedge frequency, event risk, and expiry handling",check BTC 2026-06-11 long_atm_straddle gamma timing and hedge frequency before any paper promotion,https://doi.org/10.1007/s00500-025-10980-7
btc_2026-06-12_long_atm_straddle,quote_mechanics_required,BTC,2026-06-12,long_atm_straddle,162.40666140,60.65946380,47.97000000,85.77270000,-37.80270000,0.03973500,3.85000000,0.45813600,2928.19000000,"actionability=volatility_quote_mechanics_watch; source=paper_long_vol_quote_candidate; quote=quote_executable_watch; ticket_status=paper_long_vol_quote_candidate; reason=quote exists, but spread, premium size, depth, or breakeven move still needs mechanics review","spread, top depth, premium-at-risk, breakeven move, and hedge feasibility","review BTC 2026-06-12 long_atm_straddle spread, premium-at-risk, breakeven move, and hedge feasibility",https://doi.org/10.1007/s00500-025-10980-7
