candidate_id,currency,expiry,structure,hedge_profile,decision,score,days_to_expiry,iv_premium_24h,max_loss_pct,max_loss_usd,realized_move_pct,premium_to_realized_move,quote_spread_pct,top_ask_premium_depth_usd,hedge_interval,reason,next_step
btc_20260626_medium_dated_delta_hedge_check,BTC,2026-06-26,long_atm_straddle,medium_dated_delta_hedge_check,paper_delta_hedge_candidate,72.86370140,17.5037,-41.7527,7.750000,4915.65,18.783113,0.412605,0.019544,193185.07,daily_or_large_delta_move,quote and premium are good enough to test medium_dated_delta_hedge_check with explicit hedge PnL,"paper-check BTC 2026-06-26 medium_dated_delta_hedge_check: sweep depth, delta hedge marks, exit bid, max loss, margin, and stop"
btc_20260619_short_dated_delta_hedge_check,BTC,2026-06-19,long_atm_straddle,short_dated_delta_hedge_check,paper_delta_hedge_candidate,72.26107560,10.5037,-39.6627,6.350000,4026.02,14.550362,0.436415,0.032000,163053.78,4h_or_large_delta_move,quote and premium are good enough to test short_dated_delta_hedge_check with explicit hedge PnL,"paper-check BTC 2026-06-19 short_dated_delta_hedge_check: sweep depth, delta hedge marks, exit bid, max loss, margin, and stop"
eth_20260612_short_dated_delta_hedge_check,ETH,2026-06-12,long_atm_straddle,short_dated_delta_hedge_check,paper_delta_hedge_candidate,67.36450333,3.5037,-48.0350,5.150000,86.72,11.004107,0.468007,0.049751,45789.70,4h_or_large_delta_move,quote and premium are good enough to test short_dated_delta_hedge_check with explicit hedge PnL,"paper-check ETH 2026-06-12 short_dated_delta_hedge_check: sweep depth, delta hedge marks, exit bid, max loss, margin, and stop"
btc_20260610_expiry_gamma_scalp_check,BTC,2026-06-10,long_atm_straddle,expiry_gamma_scalp_check,expiry_gamma_hedge_watch,52.68848440,1.5037,-40.2127,2.400000,1521.17,5.505329,0.435941,0.042553,49742.22,2h_or_large_delta_move,"near-expiry gamma may be useful, but hedge timing dominates the result","paper-check BTC 2026-06-10 expiry_gamma_scalp_check: event timing, gamma scalping interval, exit bid, and expiry handling"
btc_20260611_expiry_gamma_scalp_check,BTC,2026-06-11,long_atm_straddle,expiry_gamma_scalp_check,expiry_gamma_hedge_watch,51.83521120,2.5037,-38.2027,3.250000,2059.92,7.103850,0.457498,0.047244,35224.56,2h_or_large_delta_move,"near-expiry gamma may be useful, but hedge timing dominates the result","paper-check BTC 2026-06-11 expiry_gamma_scalp_check: event timing, gamma scalping interval, exit bid, and expiry handling"
eth_20260619_short_dated_delta_hedge_check,ETH,2026-06-19,long_atm_straddle,short_dated_delta_hedge_check,quote_only_hedge_watch,51.11390907,10.5037,-52.2550,8.300000,139.76,19.052961,0.435628,0.030581,16771.59,4h_or_large_delta_move,"quote exists, but depth or mechanics are not strong enough for hedge promotion",keep ETH 2026-06-19 short_dated_delta_hedge_check at quote-mechanics review until sweep depth and hedge path improve
eth_20260626_medium_dated_delta_hedge_check,ETH,2026-06-26,long_atm_straddle,medium_dated_delta_hedge_check,quote_only_hedge_watch,50.99153467,17.5037,-54.0050,10.400000,175.24,24.595534,0.422841,0.024331,24182.55,daily_or_large_delta_move,"quote exists, but depth or mechanics are not strong enough for hedge promotion",keep ETH 2026-06-26 medium_dated_delta_hedge_check at quote-mechanics review until sweep depth and hedge path improve
btc_20260612_short_dated_delta_hedge_check,BTC,2026-06-12,long_atm_straddle,short_dated_delta_hedge_check,quote_only_hedge_watch,50.27838507,3.5037,-37.8027,3.850000,2440.16,8.403614,0.458136,0.039735,2928.19,4h_or_large_delta_move,"quote exists, but depth or mechanics are not strong enough for hedge promotion",keep BTC 2026-06-12 short_dated_delta_hedge_check at quote-mechanics review until sweep depth and hedge path improve
eth_20260611_expiry_gamma_scalp_check,ETH,2026-06-11,long_atm_straddle,expiry_gamma_scalp_check,expiry_gamma_hedge_watch,49.87136700,2.5037,-47.5950,4.400000,74.14,9.302131,0.473010,0.058480,4448.35,2h_or_large_delta_move,"near-expiry gamma may be useful, but hedge timing dominates the result","paper-check ETH 2026-06-11 expiry_gamma_scalp_check: event timing, gamma scalping interval, exit bid, and expiry handling"
eth_20260610_expiry_gamma_scalp_check,ETH,2026-06-10,long_atm_straddle,expiry_gamma_scalp_check,expiry_gamma_hedge_watch,48.05313040,1.5037,-49.7850,3.350000,56.44,7.208949,0.464700,0.077519,27770.52,2h_or_large_delta_move,"near-expiry gamma may be useful, but hedge timing dominates the result","paper-check ETH 2026-06-10 expiry_gamma_scalp_check: event timing, gamma scalping interval, exit bid, and expiry handling"
