symbol,feature,status,historical_bucket,recent_bucket,historical_score,recent_score,combined_score,historical_mean_edge,recent_mean_edge,historical_hit_edge,recent_hit_edge,next_step
ARBUSDT,mean_sum_top_long_short_ratio,persistent_symbol_feature,low,low,268.20771083,428.44884702,472.36444935,-0.025111324249,-0.040808750490,-0.34782608,-0.39705882,"rerun ARBUSDT mean_sum_top_long_short_ratio with recent intraday labels, then add execution and funding PnL"
ARBUSDT,oi_value_change,recent_symbol_feature_priority,high_mean_only,high,15.26221237,546.03594874,425.26514101,0.000856363277,0.052152512685,-0.04347826,0.56985294,extend recent ARBUSDT oi_value_change window and check whether the effect survives costs
NEARUSDT,mean_funding_rate,persistent_symbol_feature,high_mean_only,high_mean_only,340.64123123,305.40671778,417.73879749,0.033051513636,0.029752765274,-0.01057083,-0.05882353,"rerun NEARUSDT mean_funding_rate with recent intraday labels, then add execution and funding PnL"
NEARUSDT,sum_funding_rate,persistent_symbol_feature,high_mean_only,high_mean_only,340.64123123,305.40671778,417.73879749,0.033051513636,0.029752765274,-0.01057083,-0.05882353,"rerun NEARUSDT sum_funding_rate with recent intraday labels, then add execution and funding PnL"
BCHUSDT,mean_sum_top_long_short_ratio,persistent_symbol_feature,high,high,283.19300899,305.42527675,397.64398303,0.027452808359,0.029322463440,0.00000000,0.05882353,"rerun BCHUSDT mean_sum_top_long_short_ratio with recent intraday labels, then add execution and funding PnL"
NEARUSDT,mean_sum_top_long_short_ratio,persistent_symbol_feature,high_mean_only,high_mean_only,297.51358782,294.17664037,395.34457198,0.028507168955,0.028742923656,-0.19960474,-0.05882353,"rerun NEARUSDT mean_sum_top_long_short_ratio with recent intraday labels, then add execution and funding PnL"
ARBUSDT,mean_premium_close,recent_symbol_feature_priority,low,high,28.55775329,507.47838125,384.85616146,-0.002209934153,0.048374965124,-0.04347826,0.51838235,extend recent ARBUSDT mean_premium_close window and check whether the effect survives costs
OPUSDT,oi_value_change,recent_symbol_feature_priority,high,high,95.77606099,426.66021949,375.85076401,0.008722595095,0.040861786095,0.13043478,0.33088235,extend recent OPUSDT oi_value_change window and check whether the effect survives costs
NEARUSDT,mean_premium_close,persistent_symbol_feature,high_mean_only,high,208.90078556,288.27212640,360.49215711,0.019793147329,0.028023101249,-0.11067194,0.05882353,"rerun NEARUSDT mean_premium_close with recent intraday labels, then add execution and funding PnL"
ARBUSDT,mean_funding_rate,recent_symbol_feature_priority,high,high,13.74783215,446.22092125,359.85534007,0.000757392993,0.042324903011,0.03393425,0.52960526,extend recent ARBUSDT mean_funding_rate window and check whether the effect survives costs
ARBUSDT,sum_funding_rate,recent_symbol_feature_priority,high,high,13.74783215,446.22092124,359.85534006,0.000757392993,0.042324903011,0.03393425,0.52960526,extend recent ARBUSDT sum_funding_rate window and check whether the effect survives costs
BCHUSDT,mean_count_top_long_short_ratio,persistent_symbol_feature,low,low,264.93739166,253.33689061,357.39706598,-0.025471040187,-0.024365129243,-0.13043478,0.00000000,"rerun BCHUSDT mean_count_top_long_short_ratio with recent intraday labels, then add execution and funding PnL"
UNIUSDT,oi_value_change,persistent_symbol_feature,high,high,328.94932110,188.80299778,337.85421094,0.032430423451,0.017670639691,0.00000000,0.23529411,"rerun UNIUSDT oi_value_change with recent intraday labels, then add execution and funding PnL"
ADAUSDT,mean_count_top_long_short_ratio,recent_symbol_feature_priority,low_mean_only,low,90.00908252,359.78981777,330.36656043,-0.008210631480,-0.033660575440,0.04347826,-0.47058823,extend recent ADAUSDT mean_count_top_long_short_ratio window and check whether the effect survives costs
DOGEUSDT,mean_premium_close,persistent_symbol_feature,high,high,311.24566004,183.60699663,328.28052882,0.029683684573,0.016892162080,0.26086956,0.35294117,"rerun DOGEUSDT mean_premium_close with recent intraday labels, then add execution and funding PnL"
