date,symbol,metrics_rows,premium_rows,close,oi_value_change,next_return,mean_open_interest_value,mean_count_top_long_short_ratio,mean_sum_top_long_short_ratio,mean_count_long_short_ratio,mean_sum_taker_long_short_vol_ratio,mean_premium_close,max_abs_premium_close
2024-01-01,AVAXUSDT,288,1440,41.97900000,0.00000000,-0.031563400748,129946231.17414884,3.01013992,1.48507003,3.82791291,1.03775466,0.000979074674,0.002153530000
2024-01-01,BTCUSDT,288,1440,44230.20000000,0.00000000,0.016947696370,3209448754.17724323,1.24602058,1.25308754,1.34424524,1.10345811,0.000894392646,0.002065260000
2024-01-01,DOGEUSDT,288,1440,0.09209000,0.00000000,-0.010207405799,178849211.32806486,4.70348075,4.67000631,5.29684517,1.12190122,0.000899166778,0.001711410000
2024-01-01,ETHUSDT,288,1440,2354.62000000,0.00000000,0.000981050021,1818551122.45829368,2.31870312,1.73216168,2.28566996,1.07545593,0.000914685056,0.001487860000
2024-01-01,LINKUSDT,288,1440,15.56300000,0.00000000,-0.024609651096,104958993.02617861,2.61000204,2.13127233,2.91136297,1.09335021,0.000600670528,0.001450850000
2024-01-01,SOLUSDT,288,1440,110.04700000,0.00000000,-0.029232964097,546374751.53097308,2.66524884,1.74721770,3.05734353,1.05218645,0.000945512785,0.001913480000
2024-01-01,XRPUSDT,288,1440,0.63030000,0.00000000,-0.008408694273,210879596.88796854,5.61174194,2.63521373,6.36043087,1.08598998,0.000843872021,0.001815240000
2024-01-02,AVAXUSDT,288,1440,40.65400000,0.05632519,-0.095587150096,137265476.79113376,3.08240348,1.59522495,3.44498206,0.96027274,0.001075863549,0.003037400000
2024-01-02,BTCUSDT,288,1440,44979.80000000,0.12615008,-0.047361259943,3614320982.52345943,1.03533295,1.26774715,0.96107425,1.01290303,0.000946425826,0.002822580000
2024-01-02,DOGEUSDT,288,1440,0.09115000,0.04949318,-0.100713110258,187701028.35085493,4.64991737,4.39461656,4.70018551,1.00755864,0.001091041958,0.002645630000
2024-01-02,ETHUSDT,288,1440,2356.93000000,0.06129327,-0.062174099358,1930016074.24481249,2.05178093,1.73884094,1.76901164,1.05670740,0.001052650222,0.002238260000
2024-01-02,LINKUSDT,288,1440,15.18000000,0.01465229,-0.068050065876,106496882.93825036,2.72854244,2.00699465,2.88726934,1.03813050,0.000802178215,0.001842160000
2024-01-02,SOLUSDT,288,1440,106.83000000,0.08359471,-0.077796499111,592048792.24477434,2.70827261,1.77856769,2.79983599,0.99983951,0.001113438583,0.003213470000
2024-01-02,XRPUSDT,288,1440,0.62500000,0.05729697,-0.068480000000,222962359.31242651,5.32679334,2.63711510,5.17973176,0.97905069,0.001089429715,0.002410270000
2024-01-03,AVAXUSDT,288,1440,36.76800000,-0.16853376,0.052681679721,114131609.62431639,3.21151783,1.53220642,3.70015410,0.99354846,0.000224275993,0.036728290000
2024-01-03,BTCUSDT,288,1440,42849.50000000,-0.09473740,0.030205720020,3271909592.21686220,1.38921129,1.27286561,1.34574646,1.07011423,0.000450585757,0.007192630000
2024-01-03,DOGEUSDT,288,1440,0.08197000,-0.10838358,0.024765157985,167357318.39934736,5.17906128,4.25246341,5.44034930,1.00296456,0.000210896000,0.021288090000
2024-01-03,ETHUSDT,288,1440,2210.39000000,-0.07422718,0.025995412574,1786756427.49679518,2.45206733,1.65812956,2.21216368,1.02199857,0.000474411542,0.019450980000
2024-01-03,LINKUSDT,288,1440,14.14700000,-0.13158214,0.026790132184,92483795.18982755,2.91611106,1.83255308,3.14551252,1.03872786,0.000234569653,0.019651040000
2024-01-03,SOLUSDT,288,1440,98.51900000,-0.14898567,0.065530506806,503842005.12123775,3.10663759,1.65676160,3.42199995,0.98502011,0.000246399340,0.036335280000
2024-01-03,XRPUSDT,288,1440,0.58220000,-0.12690740,0.007901064926,194666784.90338716,4.99963442,2.26123616,5.27369468,0.99283206,0.000332671576,0.041279720000
2024-01-04,AVAXUSDT,288,1440,38.70500000,-0.19016335,-0.058028678465,92427960.26300089,2.84767319,1.44203222,3.46716366,0.97482263,-0.000062496819,0.001534560000
2024-01-04,BTCUSDT,288,1440,44143.80000000,-0.06808736,0.000036245181,3049133921.70125818,1.31329799,1.25719837,1.39978385,1.07895639,0.000106931951,0.001181890000
2024-01-04,DOGEUSDT,288,1440,0.08400000,-0.18376944,-0.015952380952,136602157.47860032,4.64417272,3.60015314,5.17522045,1.04666057,-0.000133776139,0.001383660000
2024-01-04,ETHUSDT,288,1440,2267.85000000,-0.08157885,0.000476221972,1640994898.37631345,2.32202205,1.55349884,2.28864389,1.03458812,0.000295177438,0.001225840000
2024-01-04,LINKUSDT,288,1440,14.52600000,-0.16467756,-0.029946303181,77253789.46798706,2.29729053,1.46575920,2.53501421,0.99677079,-0.000132921236,0.001102290000
2024-01-04,SOLUSDT,288,1440,104.97500000,-0.17119454,-0.048592522029,417587005.52182209,2.88657700,1.41039394,3.24562509,1.00376679,0.000104803597,0.001317390000
2024-01-04,XRPUSDT,288,1440,0.58680000,-0.22342723,-0.019086571234,151172925.33093688,3.93958454,1.79756105,4.68108522,0.98437864,0.000122798444,0.001125590000
2024-01-05,AVAXUSDT,288,1440,36.45900000,-0.05099211,-0.050549932801,87714863.97819833,3.24454175,1.41900789,3.84084694,0.99913053,-0.000011375542,0.004838000000
2024-01-05,BTCUSDT,288,1440,44145.40000000,-0.01017549,-0.004274511048,3018107487.44239283,1.26876731,1.24188829,1.23760021,1.10228348,-0.000094164410,0.009335100000
2024-01-05,DOGEUSDT,288,1440,0.08266000,-0.03421882,-0.025163319623,131927793.51856600,4.68987375,3.34249024,5.04848719,1.01780251,-0.000065087368,0.003773740000
2024-01-05,ETHUSDT,288,1440,2268.93000000,-0.01219607,-0.012591838444,1620981203.61327696,2.32252625,1.56445520,2.13865900,1.02048253,0.000067897958,0.003650470000
2024-01-05,LINKUSDT,288,1440,14.09100000,-0.01922810,-0.046767440210,75768345.99784710,2.73143726,1.44871400,2.94965793,1.04402279,-0.000126095965,0.003647680000
2024-01-05,SOLUSDT,288,1440,99.87400000,-0.03313569,-0.060826641568,403749971.00272566,3.37875965,1.45737339,3.66340608,0.99231592,-0.000092958660,0.003685520000
2024-01-05,XRPUSDT,288,1440,0.57560000,-0.03337070,-0.013377345379,146128179.00160414,4.48891019,1.81892338,5.11344064,0.99500585,-0.000088995604,0.006255480000
2024-01-06,AVAXUSDT,288,1440,34.61600000,-0.02987171,-0.028397272937,85094670.59528878,3.12508085,1.39962205,3.63947989,1.01659856,-0.000050483604,0.001226410000
2024-01-06,BTCUSDT,288,1440,43956.70000000,-0.01244752,-0.000905436486,2980539520.18993235,1.27509696,1.26368722,1.23752374,1.14503364,-0.000077780347,0.000596900000
2024-01-06,DOGEUSDT,288,1440,0.08058000,-0.04696737,-0.029411764706,125731491.74532831,4.62182923,3.30300520,4.88469573,1.11609132,-0.000094304201,0.001531440000
2024-01-06,ETHUSDT,288,1440,2240.36000000,0.03089298,-0.008699494724,1671058142.16396689,2.31962888,1.65113585,2.15395088,1.06130853,0.000029507917,0.000723620000
2024-01-06,LINKUSDT,288,1440,13.43200000,-0.03234943,-0.020994639666,73317282.91749443,2.74151222,1.47827826,2.95264599,1.03808014,-0.000102888021,0.001761690000
2024-01-06,SOLUSDT,288,1440,93.79900000,-0.04859730,-0.046748899242,384128810.65671992,3.30524107,1.43956112,3.70731668,1.03458782,-0.000004726208,0.001855730000
2024-01-06,XRPUSDT,288,1440,0.56790000,-0.04469854,-0.029582673006,139596462.41374743,4.49167322,1.81723015,4.94964838,1.09879014,-0.000064943431,0.001255370000
2024-01-07,AVAXUSDT,288,1440,33.63300000,-0.00444455,0.072458597211,84716463.02009137,2.97593269,1.38924487,3.54391665,1.00975529,-0.000128036299,0.001317270000
2024-01-07,BTCUSDT,288,1440,43916.90000000,0.04254403,0.069581413989,3107343694.47585773,1.15535666,1.24349979,1.14910188,1.09345380,-0.000202162049,0.000895110000
2024-01-07,DOGEUSDT,288,1440,0.07821000,-0.01515226,0.040020457742,123826376.08068724,4.43237429,2.85175272,4.83497399,1.16719359,0.000047903743,0.001483460000
2024-01-07,ETHUSDT,288,1440,2220.87000000,0.00631487,0.049638204848,1681610650.70692086,2.23961793,1.62455730,2.12728857,1.07431791,-0.000190708257,0.001202860000
2024-01-07,LINKUSDT,288,1440,13.15000000,-0.03954596,0.075285171103,70417880.26089820,2.66847543,1.45544758,2.95169899,1.03618401,-0.000173906368,0.001384860000
2024-01-07,SOLUSDT,288,1440,89.41400000,-0.01640914,0.094918021786,377825587.56870145,3.23305726,1.45116127,3.81878649,1.01661011,-0.000099842618,0.001237480000
2024-01-07,XRPUSDT,288,1440,0.55110000,-0.00939004,0.048085646888,138285645.89062148,4.31811191,1.74326689,4.96269416,1.08665474,-0.000107440167,0.001514980000
2024-01-08,AVAXUSDT,288,1440,36.07000000,-0.03660022,-0.039645134461,81615822.09625152,2.71008421,1.38198744,3.23386806,1.01129136,-0.000152375007,0.001615830000
2024-01-08,BTCUSDT,288,1440,46972.70000000,0.04589503,-0.018280831206,3249955314.32648563,1.05571131,1.24885025,1.05707776,1.09681919,-0.000030385486,0.002365510000
2024-01-08,DOGEUSDT,288,1440,0.08134000,-0.10457183,-0.025940496681,110877625.22898977,4.11645833,2.66259251,4.55588437,1.05366043,-0.000207578021,0.001904160000
2024-01-08,ETHUSDT,288,1440,2331.11000000,0.01716410,0.005718305871,1710473978.02284050,2.05103777,1.62446885,1.98121275,1.05973005,-0.000081730576,0.000890030000
2024-01-08,LINKUSDT,288,1440,14.14000000,-0.02473414,-0.030268741160,68676154.41292892,2.24864030,1.43755340,2.51535887,1.03869895,-0.000347898451,0.002093650000
2024-01-08,SOLUSDT,288,1440,97.90100000,-0.03513837,0.014770022778,364549410.48355007,2.94783699,1.35802866,3.42991028,1.00444114,-0.000166100028,0.001914530000
2024-01-08,XRPUSDT,288,1440,0.57760000,-0.02269269,-0.018524930748,135147573.05526364,3.69379563,1.56330349,4.42436646,1.03583926,-0.000225842236,0.002041830000
2024-01-09,AVAXUSDT,288,1440,34.64000000,0.01263158,0.112788683603,82646758.89979051,2.81283311,1.38419494,3.18501038,0.98392928,-0.000088475174,0.003185930000
2024-01-09,BTCUSDT,288,1440,46114.00000000,0.05776975,0.011903109685,3437704414.07917881,0.96984034,1.34121525,0.83320106,1.05458450,0.000102082194,0.004841900000
2024-01-09,DOGEUSDT,288,1440,0.07923000,-0.02024243,0.048718919601,108633193.20271763,4.11729442,2.51026737,4.47196820,1.01641277,0.000018246785,0.004610250000
2024-01-09,ETHUSDT,288,1440,2344.44000000,0.00567347,0.102958489021,1720178297.69531608,2.04090647,1.70293775,1.79061496,1.04279138,0.000031722993,0.002993450000
2024-01-09,LINKUSDT,288,1440,13.71200000,-0.02233992,0.099547841307,67141934.93844476,2.42822840,1.42785455,2.51989955,1.02072708,-0.000104895792,0.002729290000
2024-01-09,SOLUSDT,288,1440,99.34700000,0.10331423,0.027338520539,402212553.04491585,2.81780356,1.40447711,2.92724751,0.99497996,0.000134600618,0.003824580000
2024-01-09,XRPUSDT,288,1440,0.56690000,0.00408445,0.060328100194,135699575.97377771,3.84746900,1.66113742,4.33008780,1.00701394,-0.000069609979,0.003542160000
2024-01-10,AVAXUSDT,288,1440,38.54700000,-0.04109247,0.019794017693,79250599.59245968,2.84650364,1.36576079,3.36777415,0.98339284,-0.000147599424,0.002477320000
2024-01-10,BTCUSDT,288,1440,46662.90000000,-0.05636919,-0.006966990907,3243923793.48197985,1.38244781,1.33337291,1.40966964,1.04268962,0.000214400319,0.003784500000
2024-01-10,DOGEUSDT,288,1440,0.08309000,0.00399102,0.017812011072,109066750.70517935,3.90551409,2.30121094,4.42341141,0.99952390,0.000094591507,0.002954030000
2024-01-10,ETHUSDT,288,1440,2585.82000000,0.15616336,0.012672962542,1988807128.87851381,1.52820865,1.67378440,1.30542117,1.04784601,0.000254712535,0.002669850000
2024-01-10,LINKUSDT,288,1440,15.07700000,-0.03415401,-0.003780592956,64848768.59143144,2.33980251,1.46990223,2.42640257,1.02342433,-0.000044987424,0.002874520000
2024-01-10,SOLUSDT,288,1440,102.06300000,-0.00365928,-0.020918452328,400740745.57031280,3.14798117,1.54632159,3.50946017,0.99858570,0.000246303354,0.003723460000
2024-01-10,XRPUSDT,288,1440,0.60110000,0.04303422,0.001497255032,141539301.58862576,4.14413360,1.68371853,4.73193348,1.07745179,0.000177882243,0.002664330000
2024-01-11,AVAXUSDT,288,1440,39.31000000,0.15599081,-0.086008649199,91612964.56738992,3.07669418,1.36858623,3.25504645,1.02635822,-0.000067236590,0.002745170000
2024-01-11,BTCUSDT,288,1440,46337.80000000,-0.00001004,-0.076587580766,3243891234.14320707,1.51693235,1.32609819,1.56913754,1.02638251,0.000143628354,0.001527860000
2024-01-11,DOGEUSDT,288,1440,0.08457000,0.02050789,-0.053092113042,111303479.82175878,3.84129795,2.35938909,3.89562183,1.02761446,0.000179456951,0.001694310000
2024-01-11,ETHUSDT,288,1440,2618.59000000,0.12085035,-0.036389812838,2229155159.49830484,1.58477283,1.73977033,1.32291840,1.01959041,0.000270346778,0.001710740000
2024-01-11,LINKUSDT,288,1440,15.02000000,0.05437963,-0.057456724368,68375220.61347176,2.34475592,1.41541715,2.28615638,1.02951936,-0.000035935410,0.001339680000
2024-01-11,SOLUSDT,288,1440,99.92800000,0.11698470,-0.077806020335,447621282.74769980,3.33003903,1.75231509,3.61922259,1.01018402,0.000274985326,0.001606960000
2024-01-11,XRPUSDT,288,1440,0.60200000,0.17690384,-0.053488372093,166578147.79265636,4.31499210,1.98111654,4.45472617,1.00478483,0.000283485639,0.001354160000
2024-01-12,AVAXUSDT,288,1440,35.92900000,0.01457170,0.015224470483,92947921.09180355,3.17681496,1.39176773,3.35998174,1.03104643,0.000320806514,0.001657910000
2024-01-12,BTCUSDT,288,1440,42788.90000000,0.05546386,0.001343806454,3423809968.32125282,1.95804945,1.40530333,2.10648824,1.01687368,0.000289061861,0.002691750000
2024-01-12,DOGEUSDT,288,1440,0.08008000,0.00094860,0.010614385614,111409062.47384077,4.16687304,2.28835924,4.27469250,0.99670575,0.000411962757,0.001762050000
2024-01-12,ETHUSDT,288,1440,2523.30000000,0.05841157,0.021876114612,2359363610.10322332,1.73705403,1.83206232,1.43676215,1.05520677,0.000397533285,0.001897570000
2024-01-12,LINKUSDT,288,1440,14.15700000,0.02418314,0.013632831815,70028748.39154714,2.41452624,1.35864194,2.47618498,1.05274819,0.000130727604,0.002121200000
2024-01-12,SOLUSDT,288,1440,92.15300000,0.02599082,0.039966143262,459255328.79567724,3.78858332,1.76438965,4.27732319,0.96555582,0.000275958840,0.003019060000
2024-01-12,XRPUSDT,288,1440,0.56980000,-0.00848462,0.008775008775,165164794.75845125,5.02601277,2.13674931,5.15074436,1.04174306,0.000290191431,0.004029320000
2024-01-13,AVAXUSDT,288,1440,36.47600000,-0.07651965,-0.032706437109,85835578.87711576,3.37412575,1.37592968,4.04406298,0.99953840,0.000072445500,0.001612340000
2024-01-13,BTCUSDT,288,1440,42846.40000000,-0.05819540,-0.025941502670,3224559964.73409128,2.36622642,1.40823755,2.77293944,1.03147408,0.000156246764,0.000809660000
2024-01-13,DOGEUSDT,288,1440,0.08093000,-0.03632562,-0.011120721611,107362058.90643509,4.68837797,2.38135553,4.99951672,1.05938334,0.000201867021,0.001363280000
2024-01-13,ETHUSDT,288,1440,2578.50000000,-0.03123125,-0.040387822377,2285677733.59455776,2.13507726,1.86812765,1.97245641,1.00630908,0.000190917729,0.000962640000
2024-01-13,LINKUSDT,288,1440,14.35000000,-0.03431521,0.028919860627,67625696.86385089,2.31160453,1.34557850,2.55739703,1.01243219,0.000072074507,0.001110600000
2024-01-13,SOLUSDT,288,1440,95.83600000,-0.10520909,-0.020931591469,410937495.85135514,3.87681830,1.55949840,4.70797882,0.99255639,0.000005580764,0.000926750000
2024-01-13,XRPUSDT,288,1440,0.57480000,-0.07873658,0.002957550452,152160283.49594778,5.20609860,2.09059096,5.74930787,1.03113866,0.000125845319,0.001662430000
2024-01-14,AVAXUSDT,288,1440,35.28300000,0.00916837,0.009041181305,86622551.51184729,3.11621508,1.33827281,3.73372114,1.00109144,0.000093595361,0.001330740000
2024-01-14,BTCUSDT,288,1440,41734.90000000,0.00882606,0.018691790324,3253020130.24409485,2.38904611,1.40318171,2.76382613,1.04855668,0.000116847757,0.000654470000
2024-01-14,DOGEUSDT,288,1440,0.08003000,0.01415808,0.013120079970,108882099.23759039,4.15424454,2.45587794,4.43987053,1.03225789,0.000206818104,0.002449820000
2024-01-14,ETHUSDT,288,1440,2474.36000000,0.00677622,0.015296884851,2301165986.41457939,2.22933143,1.88709625,2.02558774,1.07385938,0.000321888549,0.000958610000
2024-01-14,LINKUSDT,288,1440,14.76500000,0.13361650,0.028445648493,76661606.10233404,1.80429324,1.38397098,1.89739761,1.05774552,0.000237086257,0.001433540000
2024-01-14,SOLUSDT,288,1440,93.83000000,0.10318884,0.005637855696,453341659.47436267,3.28002015,1.62620070,3.54584180,1.04169896,0.000347838208,0.001957560000
2024-01-14,XRPUSDT,288,1440,0.57650000,0.00950655,-0.001387684302,153606802.51288524,4.94081311,2.07771477,5.43247839,1.03231935,0.000173914292,0.001387750000
