symbol,feature,status,preferred_bucket,observations,low_bucket_mean_next_1h_return,low_bucket_hit_rate,high_bucket_mean_next_1h_return,high_bucket_hit_rate,correlation_to_next_1h_return,edge_score,next_step
NEARUSDT,sum_top_long_short_ratio,intraday_feature_priority,high,4885,-0.002278041268,0.44844517,0.001528627433,0.52945990,0.07647342,399.62678044,"repeat NEARUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
OPUSDT,count_long_short_ratio,intraday_feature_priority,low,4728,0.000867532182,0.48943364,-0.002618437967,0.45600677,-0.12408610,367.08154325,"repeat OPUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
ARBUSDT,count_long_short_ratio,intraday_feature_priority,low,4676,0.000321732165,0.50256410,-0.003111075150,0.38408896,-0.09544577,363.74390094,"repeat ARBUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
NEARUSDT,count_long_short_ratio,intraday_feature_priority,high,4885,-0.001067324711,0.46153846,0.001734039715,0.52127660,0.07618310,298.45224870,"repeat NEARUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
OPUSDT,count_top_long_short_ratio,intraday_feature_priority,low,4728,0.000723160355,0.49366019,-0.001972739705,0.47292724,-0.11428875,287.49776936,"repeat OPUSDT count_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
NEARUSDT,count_top_long_short_ratio,intraday_feature_priority,high,4885,0.000075127649,0.46235679,0.002635714879,0.54909984,0.07440934,275.14920118,"repeat NEARUSDT count_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
ARBUSDT,count_top_long_short_ratio,intraday_feature_priority,low,4676,-0.000466581980,0.46581197,-0.002814426165,0.39606501,-0.07994122,253.47565160,"repeat ARBUSDT count_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
OPUSDT,sum_top_long_short_ratio,intraday_feature_priority,high,4728,-0.002306675480,0.45308538,-0.000175914800,0.51692047,0.05933076,231.17773612,"repeat OPUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
NEARUSDT,abs_premium_close,intraday_feature_priority,high,4885,-0.000428847443,0.47790507,0.001648034194,0.53191489,0.02476671,224.80379254,"repeat NEARUSDT abs_premium_close 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
NEARUSDT,premium_close,intraday_feature_priority,low,4885,0.001519774749,0.52782324,-0.000524222863,0.48117840,-0.02552846,221.30967572,"repeat NEARUSDT premium_close 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
