symbol,feature,action,status,bucket,round_trip_cost_bps,prior_trades,recent_trades,combined_trades,prior_net_mean_1h,recent_net_mean_1h,combined_net_mean_1h,prior_hit_rate,recent_hit_rate,combined_hit_rate,score,next_step
ADAUSDT,count_long_short_ratio,short_opposite,paper_intraday_positive_mean_watch,low,8.0000,3712,3712,7424,-0.000661552540,0.000720235159,0.000029341309,0.41406250,0.50296336,0.45851293,61.27464818,do not promote ADAUSDT count_long_short_ratio short_opposite without stronger cost-aware repeat evidence
ARBUSDT,count_long_short_ratio,short_opposite,paper_intraday_cost_rejected,low,8.0000,3712,3712,7424,-0.000475880125,0.000449201111,-0.000013339507,0.47009698,0.52047414,0.49528556,-21.52252826,do not promote ARBUSDT count_long_short_ratio short_opposite without stronger cost-aware repeat evidence
ADAUSDT,count_long_short_ratio,long_preferred_short_opposite,paper_intraday_cost_rejected,low,8.0000,4950,4950,9900,-0.000541363277,0.000385473980,-0.000077944649,0.41878788,0.48383838,0.45131313,-29.74193964,do not promote ADAUSDT count_long_short_ratio long_preferred_short_opposite without stronger cost-aware repeat evidence
ARBUSDT,count_long_short_ratio,long_preferred_short_opposite,paper_intraday_cost_rejected,low,8.0000,4950,4950,9900,-0.000417457697,0.000213591267,-0.000101933215,0.47636364,0.50808081,0.49222222,-30.50443260,do not promote ARBUSDT count_long_short_ratio long_preferred_short_opposite without stronger cost-aware repeat evidence
ARBUSDT,count_top_long_short_ratio,short_opposite,paper_intraday_cost_rejected,low,8.0000,3712,3712,7424,-0.000513682558,0.000198719147,-0.000157481705,0.47332974,0.50942888,0.49137931,-36.09299811,do not promote ARBUSDT count_top_long_short_ratio short_opposite without stronger cost-aware repeat evidence
ARBUSDT,sum_top_long_short_ratio,short_opposite,paper_intraday_cost_rejected,low,8.0000,3712,3712,7424,-0.000841061156,0.000297098180,-0.000271981488,0.44881466,0.51239224,0.48060345,-47.97401090,do not promote ARBUSDT sum_top_long_short_ratio short_opposite without stronger cost-aware repeat evidence
ARBUSDT,count_top_long_short_ratio,long_preferred_short_opposite,paper_intraday_cost_rejected,low,8.0000,4950,4950,9900,-0.000474153710,-0.000162081076,-0.000318117393,0.48020202,0.49151515,0.48585859,-52.37739587,do not promote ARBUSDT count_top_long_short_ratio long_preferred_short_opposite without stronger cost-aware repeat evidence
DOGEUSDT,premium_close,short_opposite,paper_intraday_cost_rejected,low,8.0000,3712,3711,7423,-0.000631523858,-0.000055508596,-0.000343555026,0.45096983,0.46860684,0.45978715,-55.96401671,do not promote DOGEUSDT premium_close short_opposite without stronger cost-aware repeat evidence
UNIUSDT,abs_premium_close,short_opposite,paper_intraday_cost_rejected,high,8.0000,3708,3708,7416,-0.000838688158,0.000147345923,-0.000345671117,0.44714132,0.47842503,0.46278317,-56.05578486,do not promote UNIUSDT abs_premium_close short_opposite without stronger cost-aware repeat evidence
UNIUSDT,premium_close,short_opposite,paper_intraday_cost_rejected,low,8.0000,3708,3707,7415,-0.000837829568,0.000141525196,-0.000348218225,0.44714132,0.47774481,0.46244100,-56.32418253,do not promote UNIUSDT premium_close short_opposite without stronger cost-aware repeat evidence
DOGEUSDT,abs_premium_close,short_opposite,paper_intraday_cost_rejected,high,8.0000,3712,3711,7423,-0.000635680008,-0.000065700399,-0.000350728596,0.45070043,0.46779844,0.45924828,-56.70292832,do not promote DOGEUSDT abs_premium_close short_opposite without stronger cost-aware repeat evidence
UNIUSDT,abs_premium_close,long_preferred_short_opposite,paper_intraday_cost_rejected,high,8.0000,4945,4944,9889,-0.000645464748,-0.000145739399,-0.000395627340,0.45338726,0.47208738,0.46273637,-61.05327909,do not promote UNIUSDT abs_premium_close long_preferred_short_opposite without stronger cost-aware repeat evidence
UNIUSDT,premium_close,long_preferred_short_opposite,paper_intraday_cost_rejected,low,8.0000,4945,4944,9889,-0.000644177124,-0.000154851366,-0.000399538986,0.45338726,0.47107605,0.46223076,-61.46466810,do not promote UNIUSDT premium_close long_preferred_short_opposite without stronger cost-aware repeat evidence
DOGEUSDT,premium_close,long_preferred_short_opposite,paper_intraday_cost_rejected,low,8.0000,4950,4949,9899,-0.000602317741,-0.000258747032,-0.000430549740,0.45232323,0.46373005,0.45802606,-64.73393149,do not promote DOGEUSDT premium_close long_preferred_short_opposite without stronger cost-aware repeat evidence
DOGEUSDT,abs_premium_close,long_preferred_short_opposite,paper_intraday_cost_rejected,high,8.0000,4950,4949,9899,-0.000608551126,-0.000274031647,-0.000441308283,0.45191919,0.46271974,0.45731892,-65.83807147,do not promote DOGEUSDT abs_premium_close long_preferred_short_opposite without stronger cost-aware repeat evidence
ARBUSDT,sum_top_long_short_ratio,long_preferred_short_opposite,paper_intraday_cost_rejected,low,8.0000,4950,4950,9900,-0.000965155471,-0.000014532402,-0.000489843936,0.44303030,0.49757576,0.47030303,-70.17227242,do not promote ARBUSDT sum_top_long_short_ratio long_preferred_short_opposite without stronger cost-aware repeat evidence
ARBUSDT,count_long_short_ratio,long_preferred,paper_intraday_cost_rejected,low,8.0000,1238,1238,2476,-0.000242284797,-0.000492857634,-0.000367571215,0.49515347,0.47092084,0.48303716,-72.67563527,do not promote ARBUSDT count_long_short_ratio long_preferred without stronger cost-aware repeat evidence
ADAUSDT,count_long_short_ratio,long_preferred,paper_intraday_cost_rejected,low,8.0000,1238,1238,2476,-0.000180989655,-0.000618268749,-0.000399629202,0.43295638,0.42649435,0.42972536,-78.01390569,do not promote ADAUSDT count_long_short_ratio long_preferred without stronger cost-aware repeat evidence
UNIUSDT,abs_premium_close,long_preferred,paper_intraday_cost_rejected,high,8.0000,1237,1236,2473,-0.000066263129,-0.001024995367,-0.000545435408,0.47210994,0.45307443,0.46259604,-91.30969931,do not promote UNIUSDT abs_premium_close long_preferred without stronger cost-aware repeat evidence
UNIUSDT,premium_close,long_preferred,paper_intraday_cost_rejected,low,8.0000,1237,1237,2474,-0.000063689442,-0.001043022680,-0.000553356061,0.47210994,0.45109135,0.46160065,-92.13158019,do not promote UNIUSDT premium_close long_preferred without stronger cost-aware repeat evidence
DOGEUSDT,premium_close,long_preferred,paper_intraday_cost_rejected,low,8.0000,1238,1238,2476,-0.000514746573,-0.000867969838,-0.000691358206,0.45638126,0.44911147,0.45274637,-106.26596597,do not promote DOGEUSDT premium_close long_preferred without stronger cost-aware repeat evidence
DOGEUSDT,abs_premium_close,long_preferred,paper_intraday_cost_rejected,high,8.0000,1238,1238,2476,-0.000527208308,-0.000898520549,-0.000712864429,0.45557351,0.44749596,0.45153473,-108.46505354,do not promote DOGEUSDT abs_premium_close long_preferred without stronger cost-aware repeat evidence
ARBUSDT,count_top_long_short_ratio,long_preferred,paper_intraday_cost_rejected,low,8.0000,1238,1238,2476,-0.000355631027,-0.001243898869,-0.000799764948,0.50080775,0.43780291,0.46930533,-116.44428156,do not promote ARBUSDT count_top_long_short_ratio long_preferred without stronger cost-aware repeat evidence
ARBUSDT,sum_top_long_short_ratio,long_preferred,paper_intraday_cost_rejected,low,8.0000,1238,1238,2476,-0.001337237939,-0.000948920705,-0.001143079322,0.42568659,0.45315024,0.43941842,-151.97119551,do not promote ARBUSDT sum_top_long_short_ratio long_preferred without stronger cost-aware repeat evidence
