symbol,feature,action,status,bucket,round_trip_cost_bps,prior_trades,recent_trades,combined_trades,prior_net_mean_1h,recent_net_mean_1h,combined_net_mean_1h,prior_hit_rate,recent_hit_rate,combined_hit_rate,score,next_step
ARBUSDT,count_long_short_ratio,short_opposite,paper_intraday_cost_supported,low,2.0000,3712,3712,7424,0.000124119875,0.001049201111,0.000586660493,0.50080819,0.52047414,0.51064116,279.09169588,"paper-check ARBUSDT count_long_short_ratio short_opposite with live spread, funding timestamp, fill delay, and stop rules"
ARBUSDT,count_top_long_short_ratio,short_opposite,paper_intraday_cost_supported,low,2.0000,3712,3712,7424,0.000086317442,0.000798719147,0.000442518295,0.50404095,0.50942888,0.50673491,264.52122603,"paper-check ARBUSDT count_top_long_short_ratio short_opposite with live spread, funding timestamp, fill delay, and stop rules"
ADAUSDT,count_long_short_ratio,long_preferred_short_opposite,paper_intraday_recent_only,low,2.0000,4950,4950,9900,0.000058636723,0.000985473980,0.000522055351,0.49373737,0.52424242,0.50898990,192.56513107,extend ADAUSDT count_long_short_ratio long_preferred_short_opposite to another non-overlapping window before promotion
ARBUSDT,count_long_short_ratio,long_preferred_short_opposite,paper_intraday_recent_only,low,2.0000,4950,4950,9900,0.000182542303,0.000813591267,0.000498066785,0.49939394,0.50808081,0.50373737,189.95617346,extend ARBUSDT count_long_short_ratio long_preferred_short_opposite to another non-overlapping window before promotion
ADAUSDT,count_long_short_ratio,short_opposite,paper_intraday_recent_only,low,2.0000,3712,3712,7424,-0.000061552540,0.001320235159,0.000629341309,0.49030172,0.54283405,0.51656789,163.59684646,extend ADAUSDT count_long_short_ratio short_opposite to another non-overlapping window before promotion
ARBUSDT,count_top_long_short_ratio,long_preferred_short_opposite,paper_intraday_positive_mean_watch,low,2.0000,4950,4950,9900,0.000125846290,0.000437918924,0.000281882607,0.50323232,0.49151515,0.49737374,128.08321019,do not promote ARBUSDT count_top_long_short_ratio long_preferred_short_opposite without stronger cost-aware repeat evidence
DOGEUSDT,premium_close,short_opposite,paper_intraday_recent_only,low,2.0000,3712,3711,7423,-0.000031523858,0.000544491404,0.000256444974,0.50862069,0.52842899,0.51852351,126.38543769,extend DOGEUSDT premium_close short_opposite to another non-overlapping window before promotion
UNIUSDT,abs_premium_close,short_opposite,paper_intraday_recent_only,high,2.0000,3708,3708,7416,-0.000238688158,0.000747345923,0.000254328883,0.49217907,0.52184466,0.50701187,125.71336293,extend UNIUSDT abs_premium_close short_opposite to another non-overlapping window before promotion
DOGEUSDT,abs_premium_close,short_opposite,paper_intraday_recent_only,high,2.0000,3712,3711,7423,-0.000035680008,0.000534299601,0.000249271404,0.50835129,0.52789006,0.51811936,125.65191474,extend DOGEUSDT abs_premium_close short_opposite to another non-overlapping window before promotion
UNIUSDT,premium_close,short_opposite,paper_intraday_recent_only,low,2.0000,3708,3707,7415,-0.000237829568,0.000741525196,0.000251781775,0.49217907,0.52117615,0.50667566,125.44520385,extend UNIUSDT premium_close short_opposite to another non-overlapping window before promotion
UNIUSDT,abs_premium_close,long_preferred_short_opposite,paper_intraday_recent_only,high,2.0000,4945,4944,9889,-0.000045464748,0.000454260601,0.000204372660,0.50030334,0.51719256,0.50874709,120.78714967,extend UNIUSDT abs_premium_close long_preferred_short_opposite to another non-overlapping window before promotion
UNIUSDT,premium_close,long_preferred_short_opposite,paper_intraday_recent_only,low,2.0000,4945,4944,9889,-0.000044177124,0.000445148634,0.000200461014,0.50030334,0.51618123,0.50824148,120.37576066,extend UNIUSDT premium_close long_preferred_short_opposite to another non-overlapping window before promotion
DOGEUSDT,premium_close,long_preferred_short_opposite,paper_intraday_recent_only,low,2.0000,4950,4949,9899,-0.000002317741,0.000341252968,0.000169450260,0.50929293,0.52010507,0.51469845,117.53296416,extend DOGEUSDT premium_close long_preferred_short_opposite to another non-overlapping window before promotion
DOGEUSDT,abs_premium_close,long_preferred_short_opposite,paper_intraday_recent_only,high,2.0000,4950,4949,9899,-0.000008551126,0.000325968353,0.000158691717,0.50888889,0.51929683,0.51409233,116.43286499,extend DOGEUSDT abs_premium_close long_preferred_short_opposite to another non-overlapping window before promotion
ARBUSDT,count_long_short_ratio,long_preferred,paper_intraday_positive_mean_watch,low,2.0000,1238,1238,2476,0.000357715203,0.000107142366,0.000232428785,0.49515347,0.47092084,0.48303716,107.32436473,do not promote ARBUSDT count_long_short_ratio long_preferred without stronger cost-aware repeat evidence
ARBUSDT,sum_top_long_short_ratio,short_opposite,paper_intraday_positive_mean_watch,low,2.0000,3712,3712,7424,-0.000241061156,0.000897098180,0.000328018512,0.47979526,0.51239224,0.49609375,92.64560117,do not promote ARBUSDT sum_top_long_short_ratio short_opposite without stronger cost-aware repeat evidence
ARBUSDT,sum_top_long_short_ratio,long_preferred_short_opposite,paper_intraday_positive_mean_watch,low,2.0000,4950,4950,9900,-0.000365155471,0.000585467598,0.000110156064,0.46626263,0.49757576,0.48191919,70.29237404,do not promote ARBUSDT sum_top_long_short_ratio long_preferred_short_opposite without stronger cost-aware repeat evidence
ADAUSDT,count_long_short_ratio,long_preferred,paper_intraday_positive_mean_watch,low,2.0000,1238,1238,2476,0.000419010345,-0.000018268749,0.000200370798,0.50403877,0.46849758,0.48626817,64.24780675,do not promote ADAUSDT count_long_short_ratio long_preferred without stronger cost-aware repeat evidence
UNIUSDT,abs_premium_close,long_preferred,paper_intraday_positive_mean_watch,high,2.0000,1237,1236,2473,0.000533736871,-0.000424995367,0.000054564592,0.52465643,0.50323625,0.51395067,50.74448589,do not promote UNIUSDT abs_premium_close long_preferred without stronger cost-aware repeat evidence
UNIUSDT,premium_close,long_preferred,paper_intraday_positive_mean_watch,low,2.0000,1237,1237,2474,0.000536310558,-0.000443022680,0.000046643939,0.52465643,0.50121261,0.51293452,49.92177470,do not promote UNIUSDT premium_close long_preferred without stronger cost-aware repeat evidence
DOGEUSDT,premium_close,long_preferred,paper_intraday_cost_rejected,low,2.0000,1238,1238,2476,0.000085253427,-0.000267969838,-0.000091358206,0.51130856,0.49515347,0.50323102,-44.24657986,do not promote DOGEUSDT premium_close long_preferred without stronger cost-aware repeat evidence
DOGEUSDT,abs_premium_close,long_preferred,paper_intraday_cost_rejected,high,2.0000,1238,1238,2476,0.000072791692,-0.000298520549,-0.000112864429,0.51050081,0.49353796,0.50201939,-46.44566744,do not promote DOGEUSDT abs_premium_close long_preferred without stronger cost-aware repeat evidence
ARBUSDT,count_top_long_short_ratio,long_preferred,paper_intraday_cost_rejected,low,2.0000,1238,1238,2476,0.000244368973,-0.000643898869,-0.000199764948,0.50080775,0.43780291,0.46930533,-56.44428156,do not promote ARBUSDT count_top_long_short_ratio long_preferred without stronger cost-aware repeat evidence
ARBUSDT,sum_top_long_short_ratio,long_preferred,paper_intraday_cost_rejected,low,2.0000,1238,1238,2476,-0.000737237939,-0.000348920705,-0.000543079322,0.42568659,0.45315024,0.43941842,-91.97119551,do not promote ARBUSDT sum_top_long_short_ratio long_preferred without stronger cost-aware repeat evidence
