symbol,feature,status,preferred_bucket,observations,low_bucket_mean_next_1h_return,low_bucket_hit_rate,high_bucket_mean_next_1h_return,high_bucket_hit_rate,correlation_to_next_1h_return,edge_score,next_step
OPUSDT,sum_top_long_short_ratio,intraday_feature_priority,low,4705,0.001316953905,0.56499575,-0.001562905910,0.42905692,-0.16542251,310.37259647,"repeat OPUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
OPUSDT,count_top_long_short_ratio,intraday_feature_priority,high,4705,-0.000020867984,0.48258284,0.002188042998,0.54545455,0.07013866,239.18002272,"repeat OPUSDT count_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
BCHUSDT,sum_top_long_short_ratio,intraday_feature_priority,high,4928,-0.001276797513,0.43065693,0.000704114441,0.50243506,0.06850401,216.61461953,"repeat BCHUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
OPUSDT,count_long_short_ratio,intraday_feature_priority,high,4705,0.000179061155,0.49192863,0.002135143729,0.54205607,0.08495853,213.81125135,"repeat OPUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
NEARUSDT,count_long_short_ratio,intraday_feature_priority,low_mean_only,4755,0.001641063680,0.52985702,-0.000154151166,0.53069807,-0.06740051,195.89472616,"repeat NEARUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
UNIUSDT,sum_top_long_short_ratio,intraday_feature_priority,high,4831,-0.000446668850,0.47350993,0.001307724549,0.53807947,0.09355123,194.24745070,"repeat UNIUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
NEARUSDT,count_top_long_short_ratio,intraday_feature_priority,low_mean_only,4755,0.001471072835,0.52649285,-0.000004877530,0.53153911,-0.05561309,163.85868597,"repeat NEARUSDT count_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
ARBUSDT,count_long_short_ratio,intraday_feature_watch,low,4732,0.000543416784,0.51858108,-0.000650676348,0.48733108,-0.02865693,135.91995180,"repeat ARBUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
SOLUSDT,sum_top_long_short_ratio,intraday_feature_watch,high,4874,-0.000565587514,0.46841674,0.000535429710,0.56439705,0.05818857,129.14490302,"repeat SOLUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
ARBUSDT,sum_top_long_short_ratio,intraday_feature_watch,low,4732,-0.000549606840,0.45101351,-0.001591674845,0.43195266,-0.04794630,120.73755210,"repeat ARBUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
