symbol,feature,status,prior_bucket,recent_bucket,prior_score,recent_score,combined_score,prior_mean_edge,recent_mean_edge,prior_hit_edge,recent_hit_edge,next_step
ARBUSDT,count_long_short_ratio,intraday_repeat_watch,low,low,135.91995180,363.74390094,365.85272235,-0.001194093132,-0.003432807315,-0.03125000,-0.11847514,"run ARBUSDT count_long_short_ratio intraday paper label with fees, spread, funding PnL, fill assumptions, and stop behavior"
ARBUSDT,count_top_long_short_ratio,intraday_repeat_watch,low,low,115.79719603,253.47565160,319.65176556,-0.000995975595,-0.002347844185,-0.01899588,-0.06974696,"run ARBUSDT count_top_long_short_ratio intraday paper label with fees, spread, funding PnL, fill assumptions, and stop behavior"
ARBUSDT,sum_top_long_short_ratio,intraday_repeat_watch,low,low,120.73755210,187.48461818,312.38198616,-0.001042068005,-0.001695314204,-0.01906085,-0.05177192,"run ARBUSDT sum_top_long_short_ratio intraday paper label with fees, spread, funding PnL, fill assumptions, and stop behavior"
ADAUSDT,count_long_short_ratio,intraday_repeat_watch,low,low,96.09804603,201.61593265,285.64084177,-0.000793100036,-0.001836335408,-0.04384485,-0.04587156,"run ADAUSDT count_long_short_ratio intraday paper label with fees, spread, funding PnL, fill assumptions, and stop behavior"
UNIUSDT,abs_premium_close,intraday_repeat_watch,high,high,107.54766360,101.46352443,273.26576204,0.000901909042,0.000841099133,0.05463577,0.05157685,"run UNIUSDT abs_premium_close intraday paper label with fees, spread, funding PnL, fill assumptions, and stop behavior"
UNIUSDT,premium_close,intraday_repeat_watch,low,low,107.17566162,95.22607260,265.70641944,-0.000898460056,-0.000780210631,-0.05380795,-0.04747393,"run UNIUSDT premium_close intraday paper label with fees, spread, funding PnL, fill assumptions, and stop behavior"
OPUSDT,count_top_long_short_ratio,intraday_bucket_shift,high,low,239.18002272,287.49776936,264.51558114,0.002208910982,-0.002695900060,0.06287171,-0.02073295,explain OPUSDT count_top_long_short_ratio bucket shift by regime before any promotion
DOGEUSDT,premium_close,intraday_repeat_watch,low,low,87.46626775,132.85945520,261.53141234,-0.000690977492,-0.001134097066,-0.09024391,-0.09430895,"run DOGEUSDT premium_close intraday paper label with fees, spread, funding PnL, fill assumptions, and stop behavior"
OPUSDT,sum_top_long_short_ratio,intraday_bucket_shift,low,high,310.37259647,231.17773612,259.48780264,-0.002879859815,0.002130760680,-0.13593883,0.06383509,explain OPUSDT sum_top_long_short_ratio bucket shift by regime before any promotion
DOGEUSDT,abs_premium_close,intraday_repeat_watch,high,high,85.63907748,128.58455415,258.48380381,0.000673137001,0.001093161551,0.08943090,0.09105691,"run DOGEUSDT abs_premium_close intraday paper label with fees, spread, funding PnL, fill assumptions, and stop behavior"
OPUSDT,count_long_short_ratio,intraday_bucket_shift,high,low,213.81125135,367.08154325,249.98981027,0.001956082574,-0.003485970149,0.05012744,-0.03342687,explain OPUSDT count_long_short_ratio bucket shift by regime before any promotion
NEARUSDT,count_long_short_ratio,intraday_bucket_shift,low_mean_only,high,195.89472616,298.45224870,234.76412113,-0.001795214846,0.002801364426,0.00084105,0.05973814,explain NEARUSDT count_long_short_ratio bucket shift by regime before any promotion
NEARUSDT,count_top_long_short_ratio,intraday_bucket_shift,low_mean_only,high,163.85868597,275.14920118,191.66026340,-0.001475950365,0.002560587230,0.00504626,0.08674305,explain NEARUSDT count_top_long_short_ratio bucket shift by regime before any promotion
NEARUSDT,oi_value_change,intraday_recent_watch,low,low,79.87909656,176.13305172,191.08152622,-0.000641636675,-0.001591182342,-0.01766190,-0.06055646,keep NEARUSDT oi_value_change as context until another non-overlapping window repeats
NEARUSDT,premium_close,intraday_recent_watch,low,low,59.76031494,221.30967572,175.97431307,-0.000428670205,-0.002043997612,-0.04289318,-0.04664484,keep NEARUSDT premium_close as context until another non-overlapping window repeats
DOGEUSDT,sum_top_long_short_ratio,intraday_recent_watch,high,low,119.95653973,128.62283236,169.67241415,0.001029510249,-0.001097322548,0.03170731,-0.06666667,keep DOGEUSDT sum_top_long_short_ratio as context until another non-overlapping window repeats
NEARUSDT,abs_premium_close,intraday_recent_watch,high,high,52.58185501,224.80379254,168.05898452,0.000358230581,0.002076881637,0.04037006,0.05400982,keep NEARUSDT abs_premium_close as context until another non-overlapping window repeats
ADAUSDT,count_top_long_short_ratio,intraday_recent_watch,low,low,63.44104916,157.48479481,167.62621795,-0.000473219371,-0.001399206710,-0.01602024,-0.03169308,keep ADAUSDT count_top_long_short_ratio as context until another non-overlapping window repeats
SOLUSDT,abs_premium_close,intraday_recent_watch,high,high,61.34061607,106.27453043,154.86364537,0.000432952288,0.000870434216,0.07875307,0.06927465,keep SOLUSDT abs_premium_close as context until another non-overlapping window repeats
SOLUSDT,premium_close,intraday_recent_watch,low,low,60.13677944,109.25043895,154.01422312,-0.000421996694,-0.000898803538,-0.07711238,-0.07008964,keep SOLUSDT premium_close as context until another non-overlapping window repeats
SOLUSDT,count_long_short_ratio,intraday_recent_watch,low,low,44.78587900,160.54068743,145.85119229,-0.000292401075,-0.001432308034,-0.00656276,-0.04889975,keep SOLUSDT count_long_short_ratio as context until another non-overlapping window repeats
NEARUSDT,sum_taker_long_short_vol_ratio,intraday_recent_watch,low,high_mean_only,102.00481958,84.88736818,142.26580573,-0.000850903395,0.000693812285,-0.04037006,-0.00654665,keep NEARUSDT sum_taker_long_short_vol_ratio as context until another non-overlapping window repeats
DOGEUSDT,count_top_long_short_ratio,weak_intraday_repeat_context,low,low,99.42852294,66.41896226,139.58845930,-0.000832068775,-0.000505931343,-0.01544716,0.00000000,keep DOGEUSDT count_top_long_short_ratio as context until another non-overlapping window repeats
BCHUSDT,abs_premium_close,intraday_recent_watch,high,high,47.08137424,95.74233803,135.64611669,0.000309085200,0.000795416035,0.02551322,0.01862348,keep BCHUSDT abs_premium_close as context until another non-overlapping window repeats
SOLUSDT,count_top_long_short_ratio,intraday_recent_watch,low,low,42.82153712,116.27601670,134.64104788,-0.000271472601,-0.000985882841,-0.01394585,-0.05378973,keep SOLUSDT count_top_long_short_ratio as context until another non-overlapping window repeats
UNIUSDT,sum_top_long_short_ratio,weak_intraday_repeat_context,high,high,194.24745070,28.08706713,132.55397070,0.001754393399,0.000122278509,0.06456954,0.02103177,keep UNIUSDT sum_top_long_short_ratio as context until another non-overlapping window repeats
BCHUSDT,premium_close,intraday_recent_watch,low,low,44.23439049,96.63522560,132.40831371,-0.000284939047,-0.000804589759,-0.02398002,-0.01862348,keep BCHUSDT premium_close as context until another non-overlapping window repeats
OPUSDT,oi_value_change,weak_intraday_repeat_context,high,high,48.69220420,40.24855711,118.03670937,0.000321828499,0.000245570980,0.04248088,0.00717082,keep OPUSDT oi_value_change as context until another non-overlapping window repeats
BCHUSDT,sum_top_long_short_ratio,weak_intraday_repeat_context,high,high_mean_only,216.61461953,25.11655955,113.46279537,0.001980911954,0.000091470812,0.07177813,-0.01052631,keep BCHUSDT sum_top_long_short_ratio as context until another non-overlapping window repeats
SOLUSDT,sum_top_long_short_ratio,weak_intraday_repeat_context,high,low,129.14490302,72.11865534,112.37136701,0.001101017224,-0.000534576880,0.09598031,-0.10676446,keep SOLUSDT sum_top_long_short_ratio as context until another non-overlapping window repeats
ADAUSDT,premium_close,intraday_recent_watch,high,low,72.92866992,118.76790238,111.26798438,0.000561675520,-0.001019043749,0.03625633,-0.03753127,keep ADAUSDT premium_close as context until another non-overlapping window repeats
