symbol,feature,status,preferred_bucket,observations,low_bucket_mean_next_return,low_bucket_hit_rate,high_bucket_mean_next_return,high_bucket_hit_rate,correlation_to_next_return,edge_score,next_step
ARBUSDT,oi_value_change,symbol_feature_priority,high,64,-0.024941714004,0.11764706,0.027210798681,0.68750000,0.35322492,546.03594874,"rerun ARBUSDT oi_value_change on recent windows, then test funding PnL, fees, spread, and regime split"
ARBUSDT,mean_premium_close,symbol_feature_priority,high,64,-0.014104780763,0.29411765,0.034270184361,0.81250000,0.37845856,507.47838125,"rerun ARBUSDT mean_premium_close on recent windows, then test funding PnL, fees, spread, and regime split"
ARBUSDT,mean_funding_rate,symbol_feature_priority,high,64,-0.024423933625,0.15789474,0.017900969386,0.68750000,0.32658798,446.22092125,"rerun ARBUSDT mean_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
ARBUSDT,sum_funding_rate,symbol_feature_priority,high,64,-0.024423933625,0.15789474,0.017900969386,0.68750000,0.32658798,446.22092124,"rerun ARBUSDT sum_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
ARBUSDT,mean_sum_top_long_short_ratio,symbol_feature_priority,low,64,0.014161999211,0.64705882,-0.026646751279,0.25000000,-0.36174358,428.44884702,"rerun ARBUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
OPUSDT,oi_value_change,symbol_feature_priority,high,64,-0.017586134183,0.29411765,0.023275651912,0.62500000,0.32851499,426.66021949,"rerun OPUSDT oi_value_change on recent windows, then test funding PnL, fees, spread, and regime split"
ARBUSDT,max_abs_premium_close,symbol_feature_priority,low,64,0.019754428919,0.70588235,-0.017626731068,0.25000000,-0.28286763,394.06601133,"rerun ARBUSDT max_abs_premium_close on recent windows, then test funding PnL, fees, spread, and regime split"
ADAUSDT,mean_count_top_long_short_ratio,symbol_feature_priority,low,65,0.006337549284,0.64705882,-0.027323026156,0.17647059,-0.40846787,359.78981777,"rerun ADAUSDT mean_count_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
FILUSDT,sum_funding_rate,symbol_feature_priority,high,66,-0.024496994720,0.26315789,0.008422364061,0.64705882,0.21334612,346.35803349,"rerun FILUSDT sum_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
FILUSDT,mean_funding_rate,symbol_feature_priority,high,66,-0.024496994720,0.26315789,0.008422364061,0.64705882,0.21334612,346.35803349,"rerun FILUSDT mean_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
ADAUSDT,mean_count_long_short_ratio,symbol_feature_priority,low,65,0.001648522468,0.52941176,-0.030474758337,0.11764706,-0.37866384,342.35020254,"rerun ADAUSDT mean_count_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
ADAUSDT,max_abs_premium_close,symbol_feature_priority,low,65,0.002158285819,0.58823529,-0.029021213244,0.23529412,-0.40241638,331.91684762,"rerun ADAUSDT max_abs_premium_close on recent windows, then test funding PnL, fees, spread, and regime split"
AVAXUSDT,mean_sum_taker_long_short_vol_ratio,symbol_feature_priority,high,66,-0.022582955087,0.17647059,0.007036349870,0.64705882,0.31497962,317.55734786,"rerun AVAXUSDT mean_sum_taker_long_short_vol_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
