symbol,feature,status,preferred_bucket,observations,low_bucket_mean_next_return,low_bucket_hit_rate,high_bucket_mean_next_return,high_bucket_hit_rate,correlation_to_next_return,edge_score,next_step
UNIUSDT,mean_sum_top_long_short_ratio,symbol_feature_priority,low,89,0.030771114117,0.47826087,-0.003556982065,0.43478261,-0.14574482,351.73281474,"rerun UNIUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
NEARUSDT,mean_funding_rate,symbol_feature_priority,high_mean_only,88,-0.000719057388,0.46511628,0.032332456248,0.45454545,0.27309121,340.64123123,"rerun NEARUSDT mean_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
NEARUSDT,sum_funding_rate,symbol_feature_priority,high_mean_only,88,-0.000719057388,0.46511628,0.032332456248,0.45454545,0.27309121,340.64123123,"rerun NEARUSDT sum_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
UNIUSDT,oi_value_change,symbol_feature_priority,high,89,-0.006128705075,0.43478261,0.026301718376,0.43478261,-0.00975433,328.94932110,"rerun UNIUSDT oi_value_change on recent windows, then test funding PnL, fees, spread, and regime split"
DOGEUSDT,mean_premium_close,symbol_feature_priority,high,89,-0.002441000567,0.39130435,0.027242684006,0.65217391,0.17185376,311.24566004,"rerun DOGEUSDT mean_premium_close on recent windows, then test funding PnL, fees, spread, and regime split"
DOGEUSDT,sum_funding_rate,symbol_feature_priority,high,89,-0.000583785761,0.43902439,0.028176414531,0.65217391,0.15902033,300.56114754,"rerun DOGEUSDT sum_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
DOGEUSDT,mean_funding_rate,symbol_feature_priority,high,89,-0.000583785761,0.43902439,0.028176414531,0.65217391,0.15902033,300.56114754,"rerun DOGEUSDT mean_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
NEARUSDT,mean_sum_top_long_short_ratio,symbol_feature_priority,high_mean_only,88,0.005010596307,0.60869565,0.033517765262,0.40909091,0.15258898,297.51358782,"rerun NEARUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
BCHUSDT,mean_premium_close,symbol_feature_priority,high,89,0.002293571949,0.43478261,0.029931213727,0.65217391,0.15025404,289.26628129,"rerun BCHUSDT mean_premium_close on recent windows, then test funding PnL, fees, spread, and regime split"
FILUSDT,mean_sum_top_long_short_ratio,symbol_feature_priority,low,89,0.015021562237,0.65217391,-0.012302627509,0.39130435,-0.11095113,286.43265919,"rerun FILUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
BCHUSDT,mean_sum_top_long_short_ratio,symbol_feature_priority,high,89,0.010443977946,0.56521739,0.037896786305,0.56521739,0.21074627,283.19300899,"rerun BCHUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
