asset,status,side,action,survival_score,derivatives_score,label_gate_score,venue_count,actionable_venue_count,funding_rate,oi_volume_ratio,net_directional_return_1h_proxy,positive_directional_1h_rate,evidence,missing_work,next_probe
ASTER,needs_forward_unwind_label,none,short_carry_reversion_watch,83.82820325,25.26640325,38.00000000,29,0,0.00805300,6.70935398,-0.00054382,0.00000000,market=Aster (Futures); symbol=ASTER-USDT; status=derivatives_positioning_context; basis=-0.00235849; funding=0.00805300; oi_volume=6.70935398; label_status=crowding_context_only_needs_forward_labels,cross-venue context exists but forward labels are not established,label ASTER continuation versus unwind before treating crowding as alpha
SAHARA,crowded_context_without_unwind_label,watch_short_crowded_long,short_carry_reversion_watch,72.68053777,47.68053777,0.00000000,0,0,0.19440000,6.15725962,0.00000000,0.00000000,market=Bitget Futures; symbol=SAHARAUSDT_UMCBL; status=paper_oi_funding_crowding_watch; basis=-0.46279253; funding=0.19440000; oi_volume=6.15725962; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect SAHARA unwind labels before using crowded positioning as a signal
ZEC,crowded_context_without_unwind_label,watch_long_crowded_short,long_carry_reversion_watch,71.20450995,46.20450995,0.00000000,0,0,-0.21166400,4.09953714,0.00000000,0.00000000,market=WhiteBIT Futures; symbol=ZEC_PERP; status=paper_oi_funding_crowding_watch; basis=0.30162834; funding=-0.21166400; oi_volume=4.09953714; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect ZEC unwind labels before using crowded positioning as a signal
KHUSDT,crowded_context_without_unwind_label,watch_long_crowded_short,long_carry_reversion_watch,69.81132527,44.81132527,0.00000000,0,0,-0.03370000,3.93375849,0.00000000,0.00000000,market=KuCoin Futures; symbol=HUSDTM; status=paper_oi_funding_crowding_watch; basis=0.01337117; funding=-0.03370000; oi_volume=3.93375849; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect KHUSDT unwind labels before using crowded positioning as a signal
KBEATUSDT,crowded_context_without_unwind_label,watch_long_crowded_short,long_carry_reversion_watch,69.23006864,44.23006864,0.00000000,0,0,-0.04610000,1.31858702,0.00000000,0.00000000,market=KuCoin Futures; symbol=BEATUSDTM; status=paper_oi_funding_crowding_watch; basis=0.08602544; funding=-0.04610000; oi_volume=1.31858702; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect KBEATUSDT unwind labels before using crowded positioning as a signal
LAB,crowded_context_without_unwind_label,watch_short_crowded_long,short_carry_reversion_watch,68.67412565,43.67412565,0.00000000,0,0,0.12120000,2.18815068,0.00000000,0.00000000,market=Bitget Futures; symbol=LABUSDT_UMCBL; status=paper_oi_funding_crowding_watch; basis=-0.42149965; funding=0.12120000; oi_volume=2.18815068; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect LAB unwind labels before using crowded positioning as a signal
ETH,crowded_context_without_unwind_label,watch_long_crowded_short,long_carry_reversion_watch,66.11121388,41.11121388,0.00000000,0,0,-0.14570000,1.76594358,0.00000000,0.00000000,market=Variational Omni; symbol=ETH-PERP; status=paper_oi_funding_crowding_watch; basis=0.09489064; funding=-0.14570000; oi_volume=1.76594358; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect ETH unwind labels before using crowded positioning as a signal
H,crowded_context_without_unwind_label,watch_long_crowded_short,long_carry_reversion_watch,65.10670449,40.10670449,0.00000000,0,0,-0.05188400,1.25086327,0.00000000,0.00000000,market=Bybit (Futures); symbol=HUSDT; status=paper_oi_funding_crowding_watch; basis=0.12461429; funding=-0.05188400; oi_volume=1.25086327; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect H unwind labels before using crowded positioning as a signal
BEAT,crowded_context_without_unwind_label,none,,62.96136043,37.96136043,0.00000000,0,0,0.13640000,0.41073896,0.00000000,0.00000000,market=OrangeX Futures; symbol=BEAT-USDT-PERPETUAL; status=derivatives_positioning_context; basis=-0.12316114; funding=0.13640000; oi_volume=0.41073896; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect BEAT unwind labels before using crowded positioning as a signal
TRX,crowded_context_without_unwind_label,watch_long_crowded_short,long_carry_reversion_watch,62.29595700,37.29595700,0.00000000,0,0,-0.03073200,2.32459662,0.00000000,0.00000000,market=CoinW (Futures); symbol=TRX/USDT; status=paper_oi_funding_crowding_watch; basis=0.00000000; funding=-0.03073200; oi_volume=2.32459662; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect TRX unwind labels before using crowded positioning as a signal
