asset,action,status,score,label_status,label_observations,net_directional_return_1h_proxy,venue_count,actionable_venue_count,max_derivatives_score,max_oi_volume_ratio,max_abs_funding_rate,venue_examples,reason,next_step
ATOM,long_carry_reversion_watch,single_venue_context_only,85.33450743,paper_carry_reversion_needs_more_labels,6,-0.00199578,1,0,25.13964924,4.50385075,0.00658500,LBank (Futures)/ATOMUSDT/score=25.13964924,only one matching derivatives venue is visible,collect more ATOM crowding labels and require cross-venue OI/funding confirmation
ZRO,short_carry_reversion_watch,mapping_gap_no_cross_venue_context,84.78818270,paper_carry_reversion_needs_more_labels,6,-0.00047289,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using ZRO as a crowding-unwind factor
VIRTUAL,long_carry_reversion_watch,mapping_gap_no_cross_venue_context,82.64038245,paper_carry_reversion_needs_more_labels,6,-0.00072955,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using VIRTUAL as a crowding-unwind factor
AAVE,long_carry_reversion_watch,mapping_gap_no_cross_venue_context,82.26687046,paper_carry_reversion_needs_more_labels,6,-0.00048117,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using AAVE as a crowding-unwind factor
HEMI,short_carry_reversion_watch,mapping_gap_no_cross_venue_context,82.24061619,paper_carry_reversion_needs_more_labels,6,-0.00229704,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using HEMI as a crowding-unwind factor
TRUMP,long_carry_reversion_watch,mapping_gap_no_cross_venue_context,81.27528424,paper_carry_reversion_needs_more_labels,6,-0.00058699,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using TRUMP as a crowding-unwind factor
SNX,long_carry_reversion_watch,mapping_gap_no_cross_venue_context,80.91983965,paper_carry_reversion_needs_more_labels,6,-0.00203165,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using SNX as a crowding-unwind factor
XMR,short_carry_reversion_watch,mapping_gap_no_cross_venue_context,80.91379902,paper_carry_reversion_needs_more_labels,6,-0.00078183,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using XMR as a crowding-unwind factor
STBL,short_carry_reversion_watch,mapping_gap_no_cross_venue_context,80.56668698,paper_carry_reversion_needs_more_labels,6,-0.00346132,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using STBL as a crowding-unwind factor
APEX,short_carry_reversion_watch,mapping_gap_no_cross_venue_context,80.21455830,paper_carry_reversion_needs_more_labels,6,-0.00576651,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using APEX as a crowding-unwind factor
CFX,short_carry_reversion_watch,mapping_gap_no_cross_venue_context,79.93643283,paper_carry_reversion_needs_more_labels,6,-0.00156329,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using CFX as a crowding-unwind factor
AZTEC,short_carry_reversion_watch,mapping_gap_no_cross_venue_context,79.90244451,paper_carry_reversion_needs_more_labels,6,-0.00272896,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using AZTEC as a crowding-unwind factor
SEI,long_carry_reversion_watch,mapping_gap_no_cross_venue_context,79.86911352,paper_carry_reversion_needs_more_labels,6,-0.00089655,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using SEI as a crowding-unwind factor
DYDX,short_carry_reversion_watch,mapping_gap_no_cross_venue_context,79.57852229,paper_carry_reversion_needs_more_labels,6,-0.00569376,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using DYDX as a crowding-unwind factor
UMA,long_carry_reversion_watch,mapping_gap_no_cross_venue_context,79.31476540,paper_carry_reversion_needs_more_labels,6,-0.00256593,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using UMA as a crowding-unwind factor
MET,long_carry_reversion_watch,mapping_gap_no_cross_venue_context,78.92239890,paper_carry_reversion_needs_more_labels,6,-0.00236909,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using MET as a crowding-unwind factor
ETC,long_carry_reversion_watch,mapping_gap_no_cross_venue_context,78.77232133,paper_carry_reversion_needs_more_labels,6,-0.00131313,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using ETC as a crowding-unwind factor
POPCAT,long_carry_reversion_watch,mapping_gap_no_cross_venue_context,78.67276735,paper_carry_reversion_needs_more_labels,6,-0.00134482,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using POPCAT as a crowding-unwind factor
BSV,long_carry_reversion_watch,mapping_gap_no_cross_venue_context,78.34498215,paper_carry_reversion_needs_more_labels,6,-0.00317015,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using BSV as a crowding-unwind factor
GRIFFAIN,short_carry_reversion_watch,mapping_gap_no_cross_venue_context,78.21396299,paper_carry_reversion_needs_more_labels,6,-0.00323688,0,0,0.00000000,0.00000000,0.00000000,,no matching CoinGecko derivatives rows,fix symbol mapping before using GRIFFAIN as a crowding-unwind factor
