asset,action,observations,mean_score,min_score,mean_annualized_funding,min_abs_annualized_funding,mean_mark_oracle_diff,mean_oi_volume_ratio,mean_impact_spread
ZRO,short_carry_reversion_watch,6,12.02462608,11.98569987,0.31289727,0.31198652,0.000801684882,12.22732312,0.000508605627
HEMI,short_carry_reversion_watch,6,10.38913617,10.35754834,0.10950000,0.10950000,0.000780780781,19.60437150,0.002309539961
APEX,short_carry_reversion_watch,6,10.09781379,10.07341145,0.10950000,0.10950000,0.001348015948,14.36405226,0.005779010971
HMSTR,short_carry_reversion_watch,6,10.01969597,9.99630179,0.10950000,0.10950000,0.005469484978,24.41857187,0.010869565217
VIRTUAL,long_carry_reversion_watch,6,10.00515667,9.97120748,-0.74919856,0.74801728,-0.001670984645,5.36683118,0.000815073382
AAVE,long_carry_reversion_watch,6,9.50745565,9.48247232,-0.08015604,0.07811380,-0.001009880539,8.90150014,0.000490320612
DYDX,short_carry_reversion_watch,6,9.42540277,9.25834731,0.10950000,0.10950000,0.001154494558,9.26028556,0.005706260964
STBL,short_carry_reversion_watch,6,9.29734921,9.24810547,0.10950000,0.10950000,0.001254911030,8.92838025,0.003473824453
PURR,short_carry_reversion_watch,6,8.94846991,8.91594050,0.10950000,0.10950000,0.004386699655,8.82196050,0.009576986888
SNX,long_carry_reversion_watch,6,8.93566448,8.84725227,-0.98861593,0.98104642,-0.001975823782,3.65001498,0.002144505363
TRUMP,long_carry_reversion_watch,6,8.56877730,8.54077090,-0.55037883,0.54488514,-0.001063500516,5.18224904,0.000649814752
XMR,short_carry_reversion_watch,6,8.30471619,8.27040442,0.52147506,0.51555578,0.001283127458,4.60343547,0.000841363462
AZTEC,short_carry_reversion_watch,6,8.26692664,8.23029532,0.10950000,0.10950000,0.000105033197,7.95349756,0.002741464270
ATOM,long_carry_reversion_watch,6,8.06145023,8.03374468,-0.30502466,0.30429437,-0.001623681681,6.38331759,0.002030600553
CFX,short_carry_reversion_watch,6,7.71807679,7.65704922,0.44427610,0.43698296,0.002080259286,5.08878436,0.001614004367
UMA,long_carry_reversion_watch,6,7.59772963,7.46908639,-1.00698536,0.99777626,-0.003416013926,2.66837743,0.002680881117
SEI,long_carry_reversion_watch,6,7.31739070,7.29878624,-0.70919252,0.70838353,-0.001705311250,3.04549794,0.000977512413
MET,long_carry_reversion_watch,6,7.10694427,7.09058028,-0.04222262,0.04005422,-0.001461375408,6.96838253,0.002373910670
BSV,long_carry_reversion_watch,6,6.93005910,6.90605143,-0.82917590,0.82406284,-0.002556661139,2.58058791,0.003264808681
GRIFFAIN,short_carry_reversion_watch,6,6.83240124,6.78200401,0.10950000,0.10950000,0.001029007447,6.51722931,0.003249376494
ETC,long_carry_reversion_watch,6,6.42888687,6.38955714,-0.03238163,0.03086849,-0.001178218471,6.25914650,0.001316827610
POPCAT,long_carry_reversion_watch,6,6.34517941,6.30621034,-0.57728181,0.57607424,-0.001975096052,3.04707470,0.001410723865
NIL,long_carry_reversion_watch,6,6.19086214,6.11299328,-0.79119984,0.78867769,-0.003532097121,1.63767228,0.003260142723
SKY,long_carry_reversion_watch,5,5.42590017,5.39084726,-0.04014428,0.03789576,-0.001083749933,5.23448142,0.001469788945
ETHFI,short_carry_reversion_watch,4,5.39610837,5.36079345,0.10950000,0.10950000,0.000778099161,4.85472857,0.001738249286
ALT,long_carry_reversion_watch,2,5.43243228,5.42803789,-0.74433063,0.74209201,-0.001858093932,1.57959100,0.001772170065
ASTER,short_carry_reversion_watch,1,5.36918460,5.36918460,0.10950000,0.10950000,0.000518867925,4.63203707,0.000556323862
