asset,action,annualized_funding,mark_oracle_diff,premium,open_interest,open_interest_notional,day_notional_volume,oi_volume_ratio,impact_spread,carry_reversion_score,reason
PROVE,long_carry_reversion_watch,-5.13708475,-0.005067567568,-0.004176904200,1697862.00000000,330013.43694000,404442.58807000,0.81597103,0.001929806505,30.03706872,long perp receives funding and mark is below oracle
MOVE,long_carry_reversion_watch,-3.79744423,-0.004162412629,-0.002984371300,22466828.00000000,284879.37904000,135943.33519900,2.09557444,0.002840012622,21.79606414,long perp receives funding and mark is below oracle
STABLE,long_carry_reversion_watch,-2.77229034,-0.004417731029,-0.002524417700,66816392.00000000,2213493.43417600,765828.58507100,2.89032491,0.002565573028,19.45117227,long perp receives funding and mark is below oracle
HEMI,short_carry_reversion_watch,0.10950000,0.001624548736,0.000541516200,286091106.00000000,1587519.54719400,72170.22107100,21.99687799,0.003243243243,10.38365866,short perp receives funding and mark is above oracle
APEX,short_carry_reversion_watch,0.10950000,0.002163415105,0.000703109900,4764314.00000000,1235910.69474000,83780.39116000,14.75178950,0.004069285756,10.36607477,short perp receives funding and mark is above oracle
SNX,long_carry_reversion_watch,-1.18050461,-0.002722470540,-0.001828525000,3284306.20000000,806067.27066600,216275.83815900,3.72703339,0.002241238794,10.11887123,long perp receives funding and mark is below oracle
AERO,long_carry_reversion_watch,-0.41805961,-0.002258543834,-0.001078751900,14969428.00000000,5025835.75672000,669619.85153000,7.50550592,0.001786751240,10.01519749,long perp receives funding and mark is below oracle
ZRO,short_carry_reversion_watch,0.10950000,0.000370162647,0.000145821600,28118526.00000000,25076945.04258000,2834425.34734700,8.84727660,0.000594290328,9.53505429,short perp receives funding and mark is above oracle
TRX,long_carry_reversion_watch,-0.26849750,-0.000948853723,-0.000817238500,47341592.00000000,15452295.62880000,1994216.45754000,7.74855486,0.000563768671,9.49896744,long perp receives funding and mark is below oracle
CC,short_carry_reversion_watch,0.76867861,0.002223320158,0.001414278700,37695288.00000000,6117191.33664000,1396669.04001000,4.37984316,0.001509643231,9.21016975,short perp receives funding and mark is above oracle
AZTEC,long_carry_reversion_watch,-0.20880599,-0.002406891310,-0.001520141900,92713956.00000000,1460244.80700000,179910.13529500,8.11652331,0.002858594842,9.20664360,long perp receives funding and mark is below oracle
PURR,short_carry_reversion_watch,0.10950000,0.010142558132,0.000000000000,76060884.00000000,7378286.05242000,820279.32750100,8.99484579,0.016285838132,9.02809660,short perp receives funding and mark is above oracle
ZK,long_carry_reversion_watch,-1.23539915,-0.002799227799,-0.000772200800,78134322.00000000,807205.68058200,368960.34045000,2.18778441,0.003967102080,8.96774397,long perp receives funding and mark is below oracle
PENDLE,long_carry_reversion_watch,-0.25833941,-0.001027667984,-0.000219762800,5493678.00000000,6942360.88860000,990918.49710000,7.00598577,0.001746835443,8.48857600,long perp receives funding and mark is below oracle
