asset,action,status,validation_score,monitor_observations,mean_crowding_score,min_crowding_score,mean_annualized_funding,mean_mark_oracle_diff,mean_oi_volume_ratio,mean_impact_spread,label_observations,coverage_15m,coverage_1h,mean_directional_return_15m,mean_directional_return_1h,funding_return_1h,impact_cost_proxy,net_directional_return_1h_proxy,positive_directional_15m_rate,positive_directional_1h_rate,next_step
DYDX,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,181.20773229,6,9.42540277,9.25834731,0.10950000,0.001154494558,9.26028556,0.005706260964,6,6,6,0.00505618,0.04157303,0.00001250,0.00570626,0.03587927,1.00000000,1.00000000,"repeat DYDX short_carry_reversion_watch over fresh windows, then add funding PnL, fees, spread, and stop behavior"
ZRO,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,172.25348270,6,12.02462608,11.98569987,0.31289727,0.000801684882,12.22732312,0.000508605627,6,6,6,0.00369479,0.02877051,0.00003572,0.00050861,0.02829762,1.00000000,1.00000000,"repeat ZRO short_carry_reversion_watch over fresh windows, then add funding PnL, fees, spread, and stop behavior"
XMR,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,168.47572902,6,8.30471619,8.27040442,0.52147506,0.001283127458,4.60343547,0.000841363462,6,6,6,0.00730117,0.02526076,0.00005953,0.00084136,0.02447893,1.00000000,1.00000000,"repeat XMR short_carry_reversion_watch over fresh windows, then add funding PnL, fees, spread, and stop behavior"
GRIFFAIN,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,168.40603299,6,6.83240124,6.78200401,0.10950000,0.001029007447,6.51722931,0.003249376494,6,6,6,0.00755886,0.02763321,0.00001250,0.00324938,0.02439633,1.00000000,1.00000000,"repeat GRIFFAIN short_carry_reversion_watch over fresh windows, then add funding PnL, fees, spread, and stop behavior"
HEMI,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,167.59840619,6,10.38913617,10.35754834,0.10950000,0.000780780781,19.60437150,0.002309539961,6,6,6,0.00524033,0.02511746,0.00001250,0.00230954,0.02282042,1.00000000,1.00000000,"repeat HEMI short_carry_reversion_watch over fresh windows, then add funding PnL, fees, spread, and stop behavior"
APEX,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,166.04988830,6,10.09781379,10.07341145,0.10950000,0.001348015948,14.36405226,0.005779010971,6,6,6,0.00049428,0.03034105,0.00001250,0.00577901,0.02457454,1.00000000,1.00000000,"repeat APEX short_carry_reversion_watch over fresh windows, then add funding PnL, fees, spread, and stop behavior"
CFX,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,164.00336283,6,7.71807679,7.65704922,0.44427610,0.002080259286,5.08878436,0.001614004367,6,6,6,0.00375272,0.02531421,0.00005072,0.00161400,0.02375092,1.00000000,1.00000000,"repeat CFX short_carry_reversion_watch over fresh windows, then add funding PnL, fees, spread, and stop behavior"
ETHFI,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,158.51202373,4,5.39610837,5.36079345,0.10950000,0.000778099161,4.85472857,0.001738249286,4,4,4,0.00567095,0.02630784,0.00001250,0.00173825,0.02458209,1.00000000,1.00000000,"repeat ETHFI short_carry_reversion_watch over fresh windows, then add funding PnL, fees, spread, and stop behavior"
PURR,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,155.22439647,6,8.94846991,8.91594050,0.10950000,0.004386699655,8.82196050,0.009576986888,6,6,6,0.00390028,0.01915789,0.00001250,0.00957699,0.00959340,1.00000000,1.00000000,"repeat PURR short_carry_reversion_watch over fresh windows, then add funding PnL, fees, spread, and stop behavior"
HMSTR,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,143.40198336,6,10.01969597,9.99630179,0.10950000,0.005469484978,24.41857187,0.010869565217,6,6,6,0.00540541,0.00540541,0.00001250,0.01086957,-0.00545166,1.00000000,1.00000000,"repeat HMSTR short_carry_reversion_watch over fresh windows, then add funding PnL, fees, spread, and stop behavior"
AZTEC,short_carry_reversion_watch,paper_delayed_carry_reversion_watch,133.22439450,6,8.26692664,8.23029532,0.10950000,0.000105033197,7.95349756,0.002741464270,6,6,6,-0.00075844,0.02408039,0.00001250,0.00274146,0.02135143,0.00000000,1.00000000,check whether AZTEC short_carry_reversion_watch needs delayed entry rather than immediate entry
ASTER,short_carry_reversion_watch,paper_carry_reversion_needs_more_labels,99.51290267,1,5.36918460,5.36918460,0.10950000,0.000518867925,4.63203707,0.000556323862,1,1,1,0.00454953,0.02186610,0.00001250,0.00055632,0.02132228,1.00000000,1.00000000,collect more ASTER short_carry_reversion_watch labels before treating it as an alpha candidate
STBL,short_carry_reversion_watch,paper_carry_reversion_needs_more_labels,91.38627698,6,9.29734921,9.24810547,0.10950000,0.001254911030,8.92838025,0.003473824453,6,6,6,0.00581959,0.00000000,0.00001250,0.00347382,-0.00346132,1.00000000,0.00000000,collect more STBL short_carry_reversion_watch labels before treating it as an alpha candidate
SNX,long_carry_reversion_watch,paper_carry_reversion_needs_more_labels,68.34114965,6,8.93566448,8.84725227,-0.98861593,-0.001975823782,3.65001498,0.002144505363,6,6,6,0.00086859,-0.01844728,0.00011286,0.00214451,-0.02047893,1.00000000,0.00000000,collect more SNX long_carry_reversion_watch labels before treating it as an alpha candidate
ALT,long_carry_reversion_watch,paper_carry_reversion_needs_more_labels,33.95001187,2,5.43243228,5.42803789,-0.74433063,-0.001858093932,1.57959100,0.001772170065,2,2,2,-0.00586562,-0.02577320,0.00008497,0.00177217,-0.02746040,0.00000000,0.00000000,collect more ALT long_carry_reversion_watch labels before treating it as an alpha candidate
BSV,long_carry_reversion_watch,paper_carry_reversion_reject,24.65183215,6,6.93005910,6.90605143,-0.82917590,-0.002556661139,2.58058791,0.003264808681,6,6,6,-0.00300426,-0.01568889,0.00009465,0.00326481,-0.01885904,0.00000000,0.00000000,do not promote BSV long_carry_reversion_watch; investigate whether the opposite side or no-trade rule is better
ETC,long_carry_reversion_watch,paper_carry_reversion_reject,23.36998133,6,6.42888687,6.38955714,-0.03238163,-0.001178218471,6.25914650,0.001316827610,6,6,6,-0.00129742,-0.01910492,0.00000370,0.00131683,-0.02041805,0.00000000,0.00000000,do not promote ETC long_carry_reversion_watch; investigate whether the opposite side or no-trade rule is better
ATOM,long_carry_reversion_watch,paper_carry_reversion_reject,22.51832004,6,8.06145023,8.03374468,-0.30502466,-0.001623681681,6.38331759,0.002030600553,6,6,6,-0.00201721,-0.02052803,0.00003482,0.00203060,-0.02252381,0.00000000,0.00000000,do not promote ATOM long_carry_reversion_watch; investigate whether the opposite side or no-trade rule is better
AAVE,long_carry_reversion_watch,paper_carry_reversion_reject,19.07399046,6,9.50745565,9.48247232,-0.08015604,-0.001009880539,8.90150014,0.000490320612,6,6,6,-0.00568972,-0.02250316,0.00000915,0.00049032,-0.02298433,0.00000000,0.00000000,do not promote AAVE long_carry_reversion_watch; investigate whether the opposite side or no-trade rule is better
UMA,long_carry_reversion_watch,paper_carry_reversion_reject,17.85419540,6,7.59772963,7.46908639,-1.00698536,-0.003416013926,2.66837743,0.002680881117,6,6,6,-0.00345821,-0.02300236,0.00011495,0.00268088,-0.02556829,0.00000000,0.00000000,do not promote UMA long_carry_reversion_watch; investigate whether the opposite side or no-trade rule is better
TRUMP,long_carry_reversion_watch,paper_carry_reversion_reject,13.39622424,6,8.56877730,8.54077090,-0.55037883,-0.001063500516,5.18224904,0.000649814752,6,6,6,-0.00562244,-0.02725662,0.00006283,0.00064981,-0.02784361,0.00000000,0.00000000,do not promote TRUMP long_carry_reversion_watch; investigate whether the opposite side or no-trade rule is better
MET,long_carry_reversion_watch,paper_carry_reversion_reject,11.21225890,6,7.10694427,7.09058028,-0.04222262,-0.001461375408,6.96838253,0.002373910670,6,6,6,-0.00286445,-0.02984569,0.00000482,0.00237391,-0.03221478,0.00000000,0.00000000,do not promote MET long_carry_reversion_watch; investigate whether the opposite side or no-trade rule is better
VIRTUAL,long_carry_reversion_watch,paper_carry_reversion_reject,9.94614245,6,10.00515667,9.97120748,-0.74919856,-0.001670984645,5.36683118,0.000815073382,6,6,6,-0.00727985,-0.03041439,0.00008552,0.00081507,-0.03114394,0.00000000,0.00000000,do not promote VIRTUAL long_carry_reversion_watch; investigate whether the opposite side or no-trade rule is better
SEI,long_carry_reversion_watch,paper_carry_reversion_reject,9.47196352,6,7.31739070,7.29878624,-0.70919252,-0.001705311250,3.04549794,0.000977512413,6,6,6,-0.00688391,-0.02851324,0.00008096,0.00097751,-0.02940979,0.00000000,0.00000000,do not promote SEI long_carry_reversion_watch; investigate whether the opposite side or no-trade rule is better
SKY,long_carry_reversion_watch,paper_carry_reversion_reject,7.26701704,5,5.42590017,5.39084726,-0.04014428,-0.001083749933,5.23448142,0.001469788945,5,5,5,-0.00313238,-0.02929390,0.00000458,0.00146979,-0.03075911,0.00000000,0.00000000,do not promote SKY long_carry_reversion_watch; investigate whether the opposite side or no-trade rule is better
NIL,long_carry_reversion_watch,paper_carry_reversion_reject,-2.00579941,6,6.19086214,6.11299328,-0.79119984,-0.003532097121,1.63767228,0.003260142723,6,6,6,-0.00518860,-0.03942315,0.00009032,0.00326014,-0.04259297,0.00000000,0.00000000,do not promote NIL long_carry_reversion_watch; investigate whether the opposite side or no-trade rule is better
POPCAT,long_carry_reversion_watch,paper_carry_reversion_reject,-3.38863265,6,6.34517941,6.30621034,-0.57728181,-0.001975096052,3.04707470,0.001410723865,6,6,6,-0.01290354,-0.03415786,0.00006590,0.00141072,-0.03550268,0.00000000,0.00000000,do not promote POPCAT long_carry_reversion_watch; investigate whether the opposite side or no-trade rule is better
