asset,source_status,side,status,action,score,candidate_score,monitor_observations,monitor_action,current_outcome_15m,current_net_15m_bps,current_outcome_1h,current_net_1h_bps,execution_gate,candidate_size_usd,conservative_net_15m_bps,conservative_net_1h_bps,spread_bps,visible_depth_usage_10bps,history_action,history_observations,history_win_1h,history_mean_net_1h_bps,reason,next_step
ZEC,paper_crowded_momentum_reversal_candidate,short_perp,dislocation_repeat_execution_candidate,repeat_paper_probe,85.13371900,22.53052995,17,repeat_label_priority,paper_15m_win,24.17129512,paper_1h_win,226.45347872,paper_execution_probe,250.00,27.40709049,229.68929049,2.56269875,0.00368108,repeat_paper_probe_priority,3,3,105.79866382,repeated 1h label history and current public-book execution gate both pass,"run a small repeated paper probe for ZEC and record 15m/1h/4h mark, funding, spread, and stop behavior"
PENGU,paper_crowded_momentum_reversal_candidate,short_perp,dislocation_repeat_needs_execution_check,refresh_execution_gate,47.06461804,13.32854554,13,repeat_label_priority,paper_15m_loss,-103.98646609,paper_1h_win,147.09138160,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,3,2,63.87708267,repeated 1h label history is positive but the current execution gate is missing or weak,refresh PENGU public-book execution gate before any paper probe
FET,paper_crowded_momentum_reversal_candidate,short_perp,dislocation_repeat_needs_execution_check,refresh_execution_gate,46.81966640,10.23852258,8,repeat_label_priority,paper_15m_loss,-56.48864467,paper_1h_win,195.31058640,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,3,2,49.17998391,repeated 1h label history is positive but the current execution gate is missing or weak,refresh FET public-book execution gate before any paper probe
DYDX,paper_crowded_momentum_reversal_candidate,short_perp,dislocation_repeat_needs_execution_check,refresh_execution_gate,46.80509638,13.54458516,13,repeat_label_priority,paper_15m_loss,-87.75408885,paper_1h_win,139.67558996,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,3,2,48.30578306,repeated 1h label history is positive but the current execution gate is missing or weak,refresh DYDX public-book execution gate before any paper probe
DASH,paper_crowded_momentum_reversal_candidate,short_perp,dislocation_repeat_needs_execution_check,refresh_execution_gate,46.78859797,15.98412620,17,repeat_label_priority,paper_15m_loss,-47.83240137,paper_1h_win,137.85175304,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,3,2,47.31587820,repeated 1h label history is positive but the current execution gate is missing or weak,refresh DASH public-book execution gate before any paper probe
VVV,paper_crowded_momentum_reversal_candidate,short_perp,dislocation_repeat_needs_execution_check,refresh_execution_gate,46.26697365,10.57334916,0,,paper_15m_loss,-125.74270044,paper_1h_win,196.01841900,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,1,1,196.01841900,repeated 1h label history is positive but the current execution gate is missing or weak,refresh VVV public-book execution gate before any paper probe
ZEN,paper_crowded_momentum_reversal_candidate,short_perp,dislocation_repeat_needs_execution_check,refresh_execution_gate,43.58006322,11.35770437,10,repeat_label_priority,paper_15m_loss,-75.44033673,paper_1h_win,158.09320794,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,3,1,34.80379333,repeated 1h label history is positive but the current execution gate is missing or weak,refresh ZEN public-book execution gate before any paper probe
XMR,paper_extreme_funding_carry_candidate,short_perp,dislocation_repeat_needs_execution_check,refresh_execution_gate,43.46353764,10.35275154,4,repeat_label_priority,paper_15m_loss,-71.53333999,paper_1h_win,107.28726176,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,3,1,27.81225825,repeated 1h label history is positive but the current execution gate is missing or weak,refresh XMR public-book execution gate before any paper probe
kLUNC,paper_crowded_momentum_reversal_candidate,short_perp,dislocation_repeat_needs_execution_check,refresh_execution_gate,43.43179781,11.09001085,0,,paper_15m_loss,-22.35642614,paper_1h_win,177.97673838,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,3,1,25.90786845,repeated 1h label history is positive but the current execution gate is missing or weak,refresh kLUNC public-book execution gate before any paper probe
BCH,paper_crowded_momentum_reversal_candidate,short_perp,dislocation_repeat_needs_execution_check,refresh_execution_gate,43.22628615,11.05637530,0,,paper_15m_loss,-28.72617569,paper_1h_win,146.15778258,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,3,1,13.57716915,repeated 1h label history is positive but the current execution gate is missing or weak,refresh BCH public-book execution gate before any paper probe
