asset,timestamp,status,side,score,return_24h,annualized_funding,mark_oracle_diff,premium,open_interest_notional,day_notional_volume,oi_volume_ratio,impact_spread,reason,next_step
JTO,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_continuation_candidate,long_perp,32.15452269,0.23455803,-0.49300492,-0.001293661061,-0.000777813700,2906980.20480000,9436065.24132000,0.30807123,0.001123650082,large 24h move with meaningful OI/volume; test continuation,"label JTO paper_crowded_momentum_continuation_candidate over 15m/1h/4h with funding, spread, and depth costs"
JTO,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_reversal_candidate,short_perp,27.33134429,0.23455803,-0.49300492,-0.001293661061,-0.000777813700,2906980.20480000,9436065.24132000,0.30807123,0.001123650082,large 24h move with meaningful OI/volume; test snapback,"label JTO paper_crowded_momentum_reversal_candidate over 15m/1h/4h with funding, spread, and depth costs"
ZEC,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_continuation_candidate,long_perp,26.50650582,0.17940760,-0.34729808,-0.001014619748,-0.000264262300,214391939.59319997,505013040.07609975,0.42452753,0.000583532343,large 24h move with meaningful OI/volume; test continuation,"label ZEC paper_crowded_momentum_continuation_candidate over 15m/1h/4h with funding, spread, and depth costs"
STABLE,2026-06-08T00:23:12.195825+00:00,paper_extreme_funding_carry_candidate,long_perp,26.24220018,-0.01689524,-4.01023076,-0.005314280653,-0.004280948300,2261599.40808200,880532.05225300,2.56844643,0.002789897011,extreme funding may pay carry or precede crowded unwind,"label STABLE paper_extreme_funding_carry_candidate over 15m/1h/4h with funding, spread, and depth costs"
ZEC,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_reversal_candidate,short_perp,22.53052995,0.17940760,-0.34729808,-0.001014619748,-0.000264262300,214391939.59319997,505013040.07609975,0.42452753,0.000583532343,large 24h move with meaningful OI/volume; test snapback,"label ZEC paper_crowded_momentum_reversal_candidate over 15m/1h/4h with funding, spread, and depth costs"
PURR,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_continuation_candidate,long_perp,20.61187764,0.10569938,0.10950000,0.006720977597,0.000000000000,7168035.26786200,783969.97046000,9.14325234,0.012514790692,large 24h move with meaningful OI/volume; test continuation,"label PURR paper_crowded_momentum_continuation_candidate over 15m/1h/4h with funding, spread, and depth costs"
STBL,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_continuation_candidate,long_perp,20.33215756,0.09498600,0.10950000,0.000599712138,0.000000000000,2247295.01019400,323900.42988900,6.93822793,0.003476384560,large 24h move with meaningful OI/volume; test continuation,"label STBL paper_crowded_momentum_continuation_candidate over 15m/1h/4h with funding, spread, and depth costs"
EIGEN,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_continuation_candidate,long_perp,19.55746062,0.11008040,0.10950000,-0.001668520578,0.000000000000,3926495.97371000,1036762.71283300,3.78726581,0.002227171492,large 24h move with meaningful OI/volume; test continuation,"label EIGEN paper_crowded_momentum_continuation_candidate over 15m/1h/4h with funding, spread, and depth costs"
DASH,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_continuation_candidate,long_perp,18.80485435,0.12876336,0.10950000,-0.000621789673,-0.000075696100,932658.92650000,2676359.95564000,0.34848038,0.001274005951,large 24h move with meaningful OI/volume; test continuation,"label DASH paper_crowded_momentum_continuation_candidate over 15m/1h/4h with funding, spread, and depth costs"
MANTA,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_continuation_candidate,short_perp,18.44382637,-0.10755576,0.10950000,-0.000261643119,0.000000000000,1938152.57700000,683059.00491300,2.83745996,0.001308215594,large 24h move with meaningful OI/volume; test continuation,"label MANTA paper_crowded_momentum_continuation_candidate over 15m/1h/4h with funding, spread, and depth costs"
