asset,timestamp,status,side,score,return_24h,annualized_funding,mark_oracle_diff,premium,open_interest_notional,day_notional_volume,oi_volume_ratio,impact_spread,reason,next_step
PURR,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_continuation_candidate,long_perp,20.61187764,0.10569938,0.10950000,0.006720977597,0.000000000000,7168035.26786200,783969.97046000,9.14325234,0.012514790692,large 24h move with meaningful OI/volume; test continuation,"label PURR paper_crowded_momentum_continuation_candidate over 15m/1h/4h with funding, spread, and depth costs"
DASH,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_continuation_candidate,long_perp,18.80485435,0.12876336,0.10950000,-0.000621789673,-0.000075696100,932658.92650000,2676359.95564000,0.34848038,0.001274005951,large 24h move with meaningful OI/volume; test continuation,"label DASH paper_crowded_momentum_continuation_candidate over 15m/1h/4h with funding, spread, and depth costs"
PURR,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_reversal_candidate,short_perp,17.52009599,0.10569938,0.10950000,0.006720977597,0.000000000000,7168035.26786200,783969.97046000,9.14325234,0.012514790692,large 24h move with meaningful OI/volume; test snapback,"label PURR paper_crowded_momentum_reversal_candidate over 15m/1h/4h with funding, spread, and depth costs"
LDO,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_continuation_candidate,long_perp,17.50584442,0.05778072,0.10950000,-0.000772911299,-0.000257637100,4720789.15024200,603612.17652400,7.82089781,0.000994475138,large 24h move with meaningful OI/volume; test continuation,"label LDO paper_crowded_momentum_continuation_candidate over 15m/1h/4h with funding, spread, and depth costs"
MON,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_continuation_candidate,long_perp,16.08073846,0.05418719,-0.00359948,-0.001435750179,-0.000717875100,27008719.48070400,4095809.79632400,6.59423187,0.001302902327,large 24h move with meaningful OI/volume; test continuation,"label MON paper_crowded_momentum_continuation_candidate over 15m/1h/4h with funding, spread, and depth costs"
DASH,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_reversal_candidate,short_perp,15.98412620,0.12876336,0.10950000,-0.000621789673,-0.000075696100,932658.92650000,2676359.95564000,0.34848038,0.001274005951,large 24h move with meaningful OI/volume; test snapback,"label DASH paper_crowded_momentum_reversal_candidate over 15m/1h/4h with funding, spread, and depth costs"
LDO,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_reversal_candidate,short_perp,14.87996776,0.05778072,0.10950000,-0.000772911299,-0.000257637100,4720789.15024200,603612.17652400,7.82089781,0.000994475138,large 24h move with meaningful OI/volume; test snapback,"label LDO paper_crowded_momentum_reversal_candidate over 15m/1h/4h with funding, spread, and depth costs"
PURR,2026-06-08T00:23:12.195825+00:00,paper_mark_oracle_reversion_candidate,short_perp,14.53942964,0.10569938,0.10950000,0.006720977597,0.000000000000,7168035.26786200,783969.97046000,9.14325234,0.012514790692,mark/oracle dislocation is large enough to label reversion,"label PURR paper_mark_oracle_reversion_candidate over 15m/1h/4h with funding, spread, and depth costs"
MON,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_reversal_candidate,short_perp,13.66862769,0.05418719,-0.00359948,-0.001435750179,-0.000717875100,27008719.48070400,4095809.79632400,6.59423187,0.001302902327,large 24h move with meaningful OI/volume; test snapback,"label MON paper_crowded_momentum_reversal_candidate over 15m/1h/4h with funding, spread, and depth costs"
kLUNC,2026-06-08T00:23:12.195825+00:00,paper_crowded_momentum_continuation_candidate,long_perp,13.04707159,0.07847315,-0.04425902,-0.001364580243,-0.001646395700,793673.23648000,789463.28286700,1.00533268,0.001471856323,large 24h move with meaningful OI/volume; test continuation,"label kLUNC paper_crowded_momentum_continuation_candidate over 15m/1h/4h with funding, spread, and depth costs"
