asset,status,side,observations,covered_15m,covered_1h,covered_4h,win_15m,win_1h,win_4h,mean_net_15m_bps,mean_net_1h_bps,mean_net_4h_bps,best_net_15m_bps,best_net_1h_bps,best_net_4h_bps,history_action
MON,paper_crowded_momentum_continuation_candidate,long_perp,2,2,0,0,2,0,0,34.77912735,0.00000000,0.00000000,46.53800191,0.00000000,0.00000000,wait_for_1h_or_repeat_label
WLD,paper_crowded_momentum_reversal_candidate,short_perp,2,2,0,0,2,0,0,21.11575081,0.00000000,0.00000000,25.69814753,0.00000000,0.00000000,wait_for_1h_or_repeat_label
ZRO,paper_extreme_funding_carry_candidate,short_perp,1,1,0,0,1,0,0,38.26788873,0.00000000,0.00000000,38.26788873,0.00000000,0.00000000,wait_for_1h_or_repeat_label
AIXBT,paper_crowded_momentum_reversal_candidate,short_perp,2,1,0,0,1,0,0,14.85504521,0.00000000,0.00000000,14.85504521,0.00000000,0.00000000,wait_for_1h_or_repeat_label
kLUNC,paper_crowded_momentum_reversal_candidate,short_perp,2,1,0,0,1,0,0,10.87091379,0.00000000,0.00000000,10.87091379,0.00000000,0.00000000,wait_for_1h_or_repeat_label
PNUT,paper_crowded_momentum_reversal_candidate,short_perp,1,1,0,0,1,0,0,9.03474672,0.00000000,0.00000000,9.03474672,0.00000000,0.00000000,wait_for_1h_or_repeat_label
ZEC,paper_crowded_momentum_reversal_candidate,short_perp,2,2,0,0,1,0,0,8.51846137,0.00000000,0.00000000,25.66682132,0.00000000,0.00000000,wait_for_1h_or_repeat_label
EIGEN,paper_crowded_momentum_reversal_candidate,short_perp,2,2,0,0,1,0,0,6.60710404,0.00000000,0.00000000,39.86816385,0.00000000,0.00000000,wait_for_1h_or_repeat_label
ADA,paper_crowded_momentum_reversal_candidate,short_perp,2,2,0,0,1,0,0,3.61989953,0.00000000,0.00000000,17.68575622,0.00000000,0.00000000,wait_for_1h_or_repeat_label
kBONK,paper_crowded_momentum_reversal_candidate,short_perp,1,1,0,0,1,0,0,3.52746225,0.00000000,0.00000000,3.52746225,0.00000000,0.00000000,wait_for_1h_or_repeat_label
SOL,paper_crowded_momentum_reversal_candidate,short_perp,2,2,0,0,1,0,0,3.01303447,0.00000000,0.00000000,6.18803055,0.00000000,0.00000000,wait_for_1h_or_repeat_label
MEGA,paper_crowded_momentum_continuation_candidate,long_perp,2,2,0,0,1,0,0,2.89577316,0.00000000,0.00000000,29.61113513,0.00000000,0.00000000,wait_for_1h_or_repeat_label
LDO,paper_crowded_momentum_continuation_candidate,long_perp,3,2,0,0,1,0,0,2.39584029,0.00000000,0.00000000,52.64723806,0.00000000,0.00000000,wait_for_1h_or_repeat_label
CAKE,paper_crowded_momentum_reversal_candidate,short_perp,1,1,0,0,1,0,0,0.92612300,0.00000000,0.00000000,0.92612300,0.00000000,0.00000000,wait_for_1h_or_repeat_label
APE,paper_mark_oracle_reversion_candidate,long_perp,1,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,pending_label
SUPER,paper_mark_oracle_reversion_candidate,long_perp,1,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,pending_label
XRP,paper_crowded_momentum_reversal_candidate,short_perp,2,2,0,0,1,0,0,-0.44092156,0.00000000,0.00000000,8.17338500,0.00000000,0.00000000,deprioritize_until_fresh_snapshot
BNB,paper_crowded_momentum_reversal_candidate,short_perp,2,2,0,0,1,0,0,-0.52855511,0.00000000,0.00000000,5.43529567,0.00000000,0.00000000,deprioritize_until_fresh_snapshot
HYPE,paper_crowded_momentum_continuation_candidate,long_perp,2,2,0,0,1,0,0,-1.62839078,0.00000000,0.00000000,14.23486741,0.00000000,0.00000000,deprioritize_until_fresh_snapshot
