asset,status,side,monitor_action,observations,first_seen_at,last_seen_at,mean_score,max_score,min_score,mean_return_24h,mean_annualized_funding,mean_mark_oracle_diff,mean_premium,mean_oi_volume_ratio,mean_impact_spread
STABLE,paper_extreme_funding_carry_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,35.06556025,35.16296507,34.83766236,0.00144459,-5.46783315,-0.006481915388,-0.005176221356,2.44767727,0.002700669472
JTO,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,32.26356512,32.45750676,31.86820347,0.23511762,-0.66697608,-0.001501756598,-0.001778228389,0.31062197,0.001659259796
ZEC,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,31.58405716,32.40949316,31.10702961,0.22016369,-0.51433882,-0.001068089866,-0.001417717767,0.43260477,0.000532990767
JTO,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,27.42403035,27.58888075,27.08797295,0.23511762,-0.66697608,-0.001501756598,-0.001778228389,0.31062197,0.001659259796
ZEC,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,26.84644859,27.54806919,26.44097517,0.22016369,-0.51433882,-0.001068089866,-0.001417717767,0.43260477,0.000532990767
STBL,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,22.08630846,22.32484655,21.66994382,0.10948452,0.10950000,0.001097392978,0.000000000000,6.97271011,0.003559023052
DASH,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,21.40123560,21.54657812,21.28527757,0.15067358,0.10950000,-0.000632474281,-0.000262977411,0.34456905,0.001384408028
EIGEN,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,20.60101013,20.92609540,20.32660080,0.11948771,0.10950000,-0.000865262788,-0.000308916867,3.77868840,0.002536538823
WLD,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,19.78185228,20.13427249,19.49603072,0.12822863,0.10950000,-0.000579336310,-0.000753434100,0.55918186,0.000862816509
MANTA,paper_crowded_momentum_continuation_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,18.99480801,19.61587955,18.62917398,-0.11219183,0.10950000,0.000175454167,0.000000000000,2.91790880,0.001622247894
TAO,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,18.77758192,18.97434744,18.65762225,0.10458597,0.06676463,-0.000809805853,-0.000950525833,2.90015791,0.000735489313
STBL,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,18.77336219,18.97611957,18.41945225,0.10948452,0.10950000,0.001097392978,0.000000000000,6.97271011,0.003559023052
LINK,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,18.52805845,18.74892860,18.25966028,0.06985909,0.10950000,-0.000450757961,-0.000414013778,6.84304637,0.000572753618
DASH,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,18.19105026,18.31459140,18.09248593,0.15067358,0.10950000,-0.000632474281,-0.000262977411,0.34456905,0.001384408028
MEGA,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,18.09430106,18.23174581,17.91294342,0.09161653,0.05360682,-0.001559522423,-0.001268728056,4.26634508,0.001344744338
AERO,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,17.94115384,18.17895764,17.80258422,0.05683551,-0.56641712,-0.002192414567,-0.001708451189,9.80760066,0.001216157223
EIGEN,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,17.51085861,17.78718109,17.27761068,0.11948771,0.10950000,-0.000865262788,-0.000308916867,3.77868840,0.002536538823
LDO,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,17.46530492,17.63607508,17.32983725,0.05881258,-0.03731488,-0.001062427346,-0.000923353100,7.77019680,0.001166198027
NEAR,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,17.26227702,17.52484268,16.80234527,0.10254667,0.10950000,-0.000021674462,-0.000239356144,1.19184751,0.000925501065
PENGU,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,17.09592544,17.95303932,16.49064242,0.10630019,0.05525506,-0.000654885333,-0.000752172300,1.21251597,0.000671466675
FARTCOIN,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,16.89330907,17.15426110,16.74696943,0.08916337,0.10950000,-0.000278600461,-0.000547950356,2.99096591,0.001145144722
WLD,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,16.81457444,17.11413162,16.57162611,0.12822863,0.10950000,-0.000579336310,-0.000753434100,0.55918186,0.000862816509
DYDX,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,16.59212832,16.96620890,16.23566269,0.07666848,0.10950000,0.000261122777,0.000000000000,5.19085538,0.003472950849
