asset,status,side,queue_action,priority_score,observations,mean_score,last_outcome_15m,last_net_15m_bps,last_outcome_1h,last_net_1h_bps,execution_gate,conservative_net_15m_bps,reason,next_step
STABLE,paper_extreme_funding_carry_candidate,long_perp,monitor_conflict_relabel,47.06556025,9,35.06556025,paper_15m_loss,-39.27415635,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for STABLE 1h label, then rerun execution check if still visible"
JTO,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,44.26356512,9,32.26356512,paper_15m_loss,-64.63338996,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for JTO 1h label, then rerun execution check if still visible"
ZEC,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,43.58405716,9,31.58405716,paper_15m_loss,-22.36008675,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for ZEC 1h label, then rerun execution check if still visible"
JTO,paper_crowded_momentum_reversal_candidate,short_perp,repeat_paper_probe_candidate,43.24516405,9,27.42403035,paper_15m_win,16.42861424,pending_1h,,paper_execution_probe,21.78272272,repeated monitor candidate already passed the public-book paper gate,repeat JTO paper probe on a fresh snapshot and record fill/outcome evidence
ZEC,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,38.84644859,9,26.84644859,paper_15m_loss,-8.62989859,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for ZEC 1h label, then rerun execution check if still visible"
EIGEN,paper_crowded_momentum_reversal_candidate,short_perp,repeat_forward_label_priority,38.27864636,9,17.51085861,paper_15m_win,39.86816385,pending_1h,,too_large_for_visible_depth,47.80971369,repeated monitor candidate has a positive prior paper label,"wait for EIGEN 1h label, then rerun execution check if still visible"
MEGA,paper_crowded_momentum_continuation_candidate,long_perp,repeat_paper_probe_candidate,36.73298445,9,18.09430106,paper_15m_win,29.61113513,pending_1h,,paper_execution_probe,36.77569873,repeated monitor candidate already passed the public-book paper gate,repeat MEGA paper probe on a fresh snapshot and record fill/outcome evidence
MANTA,paper_crowded_momentum_continuation_candidate,short_perp,repeat_paper_probe_candidate,34.68720746,9,18.99480801,paper_15m_win,13.56681083,pending_1h,,paper_execution_probe,23.35718365,repeated monitor candidate already passed the public-book paper gate,repeat MANTA paper probe on a fresh snapshot and record fill/outcome evidence
MON,paper_crowded_momentum_continuation_candidate,long_perp,repeat_paper_probe_candidate,34.53047898,9,16.41760858,paper_15m_win,23.02025280,pending_1h,,paper_execution_probe,38.10845121,repeated monitor candidate already passed the public-book paper gate,repeat MON paper probe on a fresh snapshot and record fill/outcome evidence
STBL,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,34.08630846,9,22.08630846,paper_15m_loss,-57.16821094,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for STBL 1h label, then rerun execution check if still visible"
WLD,paper_crowded_momentum_reversal_candidate,short_perp,repeat_paper_probe_candidate,34.02738762,9,16.81457444,paper_15m_win,25.69814753,pending_1h,,paper_execution_probe,26.42998428,repeated monitor candidate already passed the public-book paper gate,repeat WLD paper probe on a fresh snapshot and record fill/outcome evidence
TAO,paper_crowded_momentum_continuation_candidate,long_perp,repeat_paper_probe_candidate,33.48284720,9,18.77758192,paper_15m_win,11.35177042,pending_1h,,paper_execution_probe,15.70088241,repeated monitor candidate already passed the public-book paper gate,repeat TAO paper probe on a fresh snapshot and record fill/outcome evidence
DASH,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,33.40123560,9,21.40123560,paper_15m_loss,-66.04594491,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for DASH 1h label, then rerun execution check if still visible"
DASH,paper_crowded_momentum_reversal_candidate,short_perp,repeat_paper_probe_candidate,33.34423338,9,18.19105026,paper_15m_win,9.27323413,pending_1h,,paper_execution_probe,22.25859711,repeated monitor candidate already passed the public-book paper gate,repeat DASH paper probe on a fresh snapshot and record fill/outcome evidence
EIGEN,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,32.60101013,9,20.60101013,paper_15m_loss,-104.23865747,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for EIGEN 1h label, then rerun execution check if still visible"
WLD,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,31.78185228,9,19.78185228,paper_15m_loss,-61.46866519,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for WLD 1h label, then rerun execution check if still visible"
STBL,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,30.77336219,9,18.77336219,paper_15m_loss,-42.07109176,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for STBL 1h label, then rerun execution check if still visible"
LINK,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,30.52805845,9,18.52805845,paper_15m_loss,-33.70625965,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for LINK 1h label, then rerun execution check if still visible"
AERO,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,29.94115384,9,17.94115384,paper_15m_loss,-29.51858047,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for AERO 1h label, then rerun execution check if still visible"
NEAR,paper_crowded_momentum_continuation_candidate,long_perp,repeat_forward_label_priority,29.71626948,9,17.26227702,paper_15m_win,4.53992462,pending_1h,,,,repeated monitor candidate has a positive prior paper label,"wait for NEAR 1h label, then rerun execution check if still visible"
LDO,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,29.46530492,9,17.46530492,paper_15m_loss,-47.85555748,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for LDO 1h label, then rerun execution check if still visible"
PENGU,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,29.09592544,9,17.09592544,paper_15m_loss,-7.17097418,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for PENGU 1h label, then rerun execution check if still visible"
FARTCOIN,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,28.89330907,9,16.89330907,paper_15m_loss,-13.52887728,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for FARTCOIN 1h label, then rerun execution check if still visible"
ONDO,paper_crowded_momentum_continuation_candidate,long_perp,repeat_paper_probe_candidate,28.73759898,6,12.93892147,paper_15m_win,18.30297950,pending_1h,,paper_execution_probe,19.68379556,repeated monitor candidate already passed the public-book paper gate,repeat ONDO paper probe on a fresh snapshot and record fill/outcome evidence
DYDX,paper_crowded_momentum_continuation_candidate,long_perp,repeat_forward_label_priority,28.62978962,9,16.59212832,paper_15m_win,0.37661296,pending_1h,,,,repeated monitor candidate has a positive prior paper label,"wait for DYDX 1h label, then rerun execution check if still visible"
PUMP,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,28.34837794,9,16.34837794,paper_15m_loss,-23.12078861,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for PUMP 1h label, then rerun execution check if still visible"
BIO,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,28.14820668,9,16.14820668,paper_15m_loss,-44.75739981,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for BIO 1h label, then rerun execution check if still visible"
MANTA,paper_crowded_momentum_reversal_candidate,long_perp,monitor_conflict_relabel,28.14558680,9,16.14558680,paper_15m_loss,-64.96809305,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for MANTA 1h label, then rerun execution check if still visible"
LINK,paper_crowded_momentum_reversal_candidate,short_perp,repeat_forward_label_priority,28.10373290,9,15.74884968,paper_15m_win,3.54883219,pending_1h,,,,repeated monitor candidate has a positive prior paper label,"wait for LINK 1h label, then rerun execution check if still visible"
TAO,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,27.96094463,9,15.96094463,paper_15m_loss,-42.97150522,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for TAO 1h label, then rerun execution check if still visible"
