asset,first_seen_at,last_seen_at,observations,status,side,score,open_interest_notional_first,open_interest_notional_last,open_interest_notional_change,open_interest_notional_change_pct,return_24h,annualized_funding,oi_volume_ratio,impact_spread,reason,next_step
PURR,2026-06-07T23:44:56.069100+00:00,2026-06-08T00:23:43.672499+00:00,17,paper_oi_funding_crowding_watch,long_perp,38.99241271,6974964.48323400,7177048.37665800,202083.89342400,0.02897275,0.10699443,0.10950000,9.14277715,0.012507051848,OI notional is rising into an up move; test crowded continuation versus late-long squeeze risk,"label PURR OI-shift candidate over 15m/1h/4h with funding, spread, depth, and failure-regime separation"
IMX,2026-06-07T23:45:01.568536+00:00,2026-06-08T00:23:43.672499+00:00,15,paper_oi_funding_crowding_watch,long_perp,33.97975558,1642297.23540000,1690171.48645800,47874.25105800,0.02915078,0.07690482,0.10950000,2.32003053,0.002792885492,OI notional is rising into an up move; test crowded continuation versus late-long squeeze risk,"label IMX OI-shift candidate over 15m/1h/4h with funding, spread, depth, and failure-regime separation"
ZEC,2026-06-07T23:44:56.069100+00:00,2026-06-08T00:23:43.672499+00:00,17,paper_oi_unwind_watch,context_only,30.36444448,218614062.39119998,214947675.31700003,-3666387.07419994,-0.01677105,0.18264728,-0.34577209,0.42561027,0.000375546857,OI notional is falling into an up move; test short-cover exhaustion versus cleaner continuation,"label ZEC OI-shift candidate over 15m/1h/4h with funding, spread, depth, and failure-regime separation"
NEAR,2026-06-07T23:44:56.069100+00:00,2026-06-08T00:23:43.672499+00:00,17,paper_oi_funding_crowding_watch,long_perp,28.33499080,70358929.31927998,71845148.93424013,1486219.61496015,0.02112340,0.10186976,0.10950000,1.19648594,0.000438778246,OI notional is rising into an up move; test crowded continuation versus late-long squeeze risk,"label NEAR OI-shift candidate over 15m/1h/4h with funding, spread, depth, and failure-regime separation"
DASH,2026-06-07T23:44:56.069100+00:00,2026-06-08T00:23:43.672499+00:00,17,paper_oi_funding_crowding_watch,long_perp,27.87029733,916085.70240000,933769.02450000,17683.32210000,0.01930313,0.13010687,0.10950000,0.34889516,0.001231550376,OI notional is rising into an up move; test crowded continuation versus late-long squeeze risk,"label DASH OI-shift candidate over 15m/1h/4h with funding, spread, depth, and failure-regime separation"
PENGU,2026-06-07T23:44:56.069100+00:00,2026-06-08T00:23:43.672499+00:00,17,paper_oi_unwind_watch,context_only,25.01210476,3682038.98928600,3614896.72466400,-67142.26462200,-0.01823508,0.09311934,-0.25177204,1.11717608,0.000726532985,OI notional is falling into an up move; test short-cover exhaustion versus cleaner continuation,"label PENGU OI-shift candidate over 15m/1h/4h with funding, spread, depth, and failure-regime separation"
HYPE,2026-06-08T00:00:41.773035+00:00,2026-06-08T00:23:43.672499+00:00,8,paper_oi_funding_crowding_watch,long_perp,22.49605437,1262101744.84319973,1281904465.26010013,19802720.41690040,0.01569027,0.07838923,0.10950000,2.00602727,0.000039522112,OI notional is rising into an up move; test crowded continuation versus late-long squeeze risk,"label HYPE OI-shift candidate over 15m/1h/4h with funding, spread, depth, and failure-regime separation"
SPX,2026-06-07T23:44:56.069100+00:00,2026-06-08T00:00:58.468892+00:00,13,paper_oi_unwind_watch,context_only,20.81966708,2757851.50977600,2716940.72601600,-40910.78376000,-0.01483430,0.07098734,-0.29329268,2.07368102,0.001923865393,OI notional is falling into an up move; test short-cover exhaustion versus cleaner continuation,"label SPX OI-shift candidate over 15m/1h/4h with funding, spread, depth, and failure-regime separation"
ATOM,2026-06-07T23:44:56.069100+00:00,2026-06-08T00:23:43.672499+00:00,17,paper_oi_funding_crowding_watch,long_perp,20.47407689,2422094.68124000,2449897.78096400,27803.09972400,0.01147895,0.05150900,0.06524886,6.41298157,0.001519756839,OI notional is rising into an up move; test crowded continuation versus late-long squeeze risk,"label ATOM OI-shift candidate over 15m/1h/4h with funding, spread, depth, and failure-regime separation"
FARTCOIN,2026-06-07T23:44:56.069100+00:00,2026-06-08T00:23:43.672499+00:00,17,paper_oi_unwind_watch,context_only,18.42738656,17134491.46352000,16957898.89119600,-176592.57232400,-0.01030626,0.08042745,0.10950000,2.86828997,0.000867453158,OI notional is falling into an up move; test short-cover exhaustion versus cleaner continuation,"label FARTCOIN OI-shift candidate over 15m/1h/4h with funding, spread, depth, and failure-regime separation"
