candidate_id,scope,context,asset,action,samples,hit_rate,mean_reward_bps,median_reward_bps,best_reward_bps,worst_reward_bps,score,decision,evidence,next_step
hype_volume_price_dislocation_paper_long,asset_family_action,volume_price_dislocation,HYPE,paper_long,5,0.60000000,304.07423095,492.32908920,514.02103278,0.00000000,351.57423095,promote_action_preference_candidate,"samples=5, reward_range=0.00..514.02, examples=paper-05-hype-volume-dislocation, paper-29-hype-policy-expansion, lane-hype-hype-volume-price-dislocation, repeat-paper-05-hype-volume-dislocation, repeat-paper-29-hype-policy-expansion","turn HYPE volume_price_dislocation/paper_long into a leakage-safe policy split and rerun with explicit costs, fills, and failure regimes"
hype_microstructure_flow_paper_long,asset_family_action,microstructure_flow,HYPE,paper_long,5,0.60000000,299.73584224,492.32908920,514.02103278,0.00000000,347.23584224,promote_action_preference_candidate,"samples=5, reward_range=0.00..514.02, examples=paper-17-hype-policy-expansion, lane-hype-hype-microstructure-flow-paper-probe, lane-hype-hype-microstructure-flow-probe, repeat-paper-17-hype-policy-expansion, repeat-paper-01-hype-policy-expansion","turn HYPE microstructure_flow/paper_long into a leakage-safe policy split and rerun with explicit costs, fills, and failure regimes"
repeat_execution_paper_long,family_action,repeat_execution,,paper_long,8,0.87500000,132.21227355,108.80135440,346.47978328,-0.37016845,189.08727355,promote_action_preference_candidate,"samples=8, reward_range=-0.37..346.48, examples=repeat-paper-02-sui-repeat-execution, repeat-paper-01-sui-repeat-execution, paper-02-sui-repeat-execution, repeat-repeat-paper-02-sui-repeat-execution, repeat-repeat-paper-01-sui-repeat-execution","turn repeat_execution/paper_long into a leakage-safe policy split and rerun with explicit costs, fills, and failure regimes"
zec_unclassified_paper_long,asset_family_action,unclassified,ZEC,paper_long,8,0.75000000,118.41325337,157.88433782,157.88433782,0.00000000,172.16325337,promote_action_preference_candidate,"samples=8, reward_range=0.00..157.88, examples=paper-44-zec-attention-event, paper-46-zec-sector-rotation, paper-23-zec-wallet-entity-flow, lane-zec-zec-attention-price-context, lane-zec-zec-institutional-flow-news-event","turn ZEC unclassified/paper_long into a leakage-safe policy split and rerun with explicit costs, fills, and failure regimes"
sui_repeat_execution_paper_long,asset_family_action,repeat_execution,SUI,paper_long,7,0.85714286,101.60262930,108.26365750,145.09113615,-0.37016845,158.03120073,promote_action_preference_candidate,"samples=7, reward_range=-0.37..145.09, examples=repeat-paper-02-sui-repeat-execution, repeat-paper-01-sui-repeat-execution, paper-02-sui-repeat-execution, repeat-repeat-paper-02-sui-repeat-execution, repeat-repeat-paper-01-sui-repeat-execution","turn SUI repeat_execution/paper_long into a leakage-safe policy split and rerun with explicit costs, fills, and failure regimes"
stablecoin_migration_paper_long,family_action,stablecoin_migration,,paper_long,3,1.00000000,90.65177342,63.21719944,145.52092138,63.21719944,143.15177342,promote_action_preference_candidate,"samples=3, reward_range=63.22..145.52, examples=lane-sol-solana-stablecoin-migration, paper-36-sol-stablecoin-migration, repeat-lane-sol-solana-stablecoin-migration","turn stablecoin_migration/paper_long into a leakage-safe policy split and rerun with explicit costs, fills, and failure regimes"
sol_stablecoin_migration_paper_long,asset_family_action,stablecoin_migration,SOL,paper_long,3,1.00000000,90.65177342,63.21719944,145.52092138,63.21719944,143.15177342,promote_action_preference_candidate,"samples=3, reward_range=63.22..145.52, examples=lane-sol-solana-stablecoin-migration, paper-36-sol-stablecoin-migration, repeat-lane-sol-solana-stablecoin-migration","turn SOL stablecoin_migration/paper_long into a leakage-safe policy split and rerun with explicit costs, fills, and failure regimes"
sol_volume_price_dislocation_paper_long,asset_family_action,volume_price_dislocation,SOL,paper_long,6,0.83333333,85.65419686,92.85637052,145.52092138,0.00000000,141.48753019,promote_action_preference_candidate,"samples=6, reward_range=0.00..145.52, examples=lane-sol-sol-volume-price-dislocation, repeat-lane-sol-sol-volume-price-dislocation, repeat-paper-09-sol-volume-dislocation, repeat-repeat-paper-09-sol-volume-dislocation, paper-13-sol-volume-dislocation","turn SOL volume_price_dislocation/paper_long into a leakage-safe policy split and rerun with explicit costs, fills, and failure regimes"
unclassified_paper_long,family_action,unclassified,,paper_long,32,0.71875000,75.06613823,63.21719944,492.32908920,-186.40652194,128.03488823,promote_action_preference_candidate,"samples=32, reward_range=-186.41..492.33, examples=lane-hype-hype-attention-price-context, paper-44-zec-attention-event, paper-46-zec-sector-rotation, paper-23-zec-wallet-entity-flow, lane-zec-zec-attention-price-context","turn unclassified/paper_long into a leakage-safe policy split and rerun with explicit costs, fills, and failure regimes"
sol_unclassified_paper_long,asset_family_action,unclassified,SOL,paper_long,6,0.83333333,66.39828652,63.21719944,145.52092138,0.00000000,122.23161986,promote_action_preference_candidate,"samples=6, reward_range=0.00..145.52, examples=lane-sol-sol-attention-price-context, paper-20-sol-event-crypto-hedge, lane-sol-sol-1971905-event-crypto-hedge, lane-sol-sol-2176262-event-crypto-hedge, repeat-lane-sol-sol-attention-price-context","turn SOL unclassified/paper_long into a leakage-safe policy split and rerun with explicit costs, fills, and failure regimes"
