candidate_id,context,asset,action,train_samples,train_hit_rate,train_mean_reward_bps,test_samples,test_hit_rate,test_mean_reward_bps,oos_score,decision,evidence,next_step
zec_news_event_paper_long,news_event,ZEC,paper_long,7,1.00000000,491.78596745,6,1.00000000,461.88771836,582.65561347,oos_supported_action_preference,train=7 mean=491.79 hit=1.000; repeat=6 mean=461.89 hit=1.000,"paper-check zec_news_event_paper_long with explicit stop, fill, and reward attribution before any model training"
zec_wallet_entity_flow_paper_long,wallet_entity_flow,ZEC,paper_long,3,1.00000000,456.54760977,3,1.00000000,397.55053812,510.03267959,oos_supported_action_preference,train=3 mean=456.55 hit=1.000; repeat=3 mean=397.55 hit=1.000,"paper-check zec_wallet_entity_flow_paper_long with explicit stop, fill, and reward attribution before any model training"
news_event_paper_long,news_event,,paper_long,18,0.50000000,176.53847155,8,0.87500000,345.53389357,412.76466430,oos_supported_action_preference,train=18 mean=176.54 hit=0.500; repeat=8 mean=345.53 hit=0.875,"paper-check news_event_paper_long with explicit stop, fill, and reward attribution before any model training"
zec_sector_rotation_paper_long,sector_rotation,ZEC,paper_long,8,1.00000000,333.21335789,2,1.00000000,429.71912824,377.46142251,oos_supported_action_preference,train=8 mean=333.21 hit=1.000; repeat=2 mean=429.72 hit=1.000,"paper-check zec_sector_rotation_paper_long with explicit stop, fill, and reward attribution before any model training"
sector_rotation_paper_long,sector_rotation,,paper_long,9,0.88888889,292.50974812,2,1.00000000,429.71912824,370.80032549,oos_supported_action_preference,train=9 mean=292.51 hit=0.889; repeat=2 mean=429.72 hit=1.000,"paper-check sector_rotation_paper_long with explicit stop, fill, and reward attribution before any model training"
wallet_entity_flow_paper_long,wallet_entity_flow,,paper_long,7,0.71428571,196.06435173,11,0.72727273,104.70648652,171.50574967,oos_supported_action_preference,train=7 mean=196.06 hit=0.714; repeat=11 mean=104.71 hit=0.727,"paper-check wallet_entity_flow_paper_long with explicit stop, fill, and reward attribution before any model training"
sol_volume_price_dislocation_paper_long,volume_price_dislocation,SOL,paper_long,2,0.50000000,127.75226219,6,0.66666667,123.59948631,170.87471253,oos_supported_action_preference,train=2 mean=127.75 hit=0.500; repeat=6 mean=123.60 hit=0.667,"paper-check sol_volume_price_dislocation_paper_long with explicit stop, fill, and reward attribution before any model training"
repeat_execution_paper_long,repeat_execution,,paper_long,3,1.00000000,283.91449523,6,0.66666667,53.89125583,133.47843011,oos_supported_action_preference,train=3 mean=283.91 hit=1.000; repeat=6 mean=53.89 hit=0.667,"paper-check repeat_execution_paper_long with explicit stop, fill, and reward attribution before any model training"
near_microstructure_flow_paper_long,microstructure_flow,NEAR,paper_long,2,1.00000000,198.03585881,10,1.00000000,65.73544312,132.53902900,oos_supported_action_preference,train=2 mean=198.04 hit=1.000; repeat=10 mean=65.74 hit=1.000,"paper-check near_microstructure_flow_paper_long with explicit stop, fill, and reward attribution before any model training"
execution_edge_paper_long,execution_edge,,paper_long,8,0.87500000,134.39498818,2,1.00000000,104.08173753,129.92207325,oos_supported_action_preference,train=8 mean=134.39 hit=0.875; repeat=2 mean=104.08 hit=1.000,"paper-check execution_edge_paper_long with explicit stop, fill, and reward attribution before any model training"
sol_execution_edge_paper_long,execution_edge,SOL,paper_long,2,1.00000000,176.12899647,2,1.00000000,104.08173753,128.00072467,oos_supported_action_preference,train=2 mean=176.13 hit=1.000; repeat=2 mean=104.08 hit=1.000,"paper-check sol_execution_edge_paper_long with explicit stop, fill, and reward attribution before any model training"
stablecoin_migration_paper_long,stablecoin_migration,,paper_long,2,0.50000000,127.75226219,4,0.50000000,68.12661490,110.40184112,oos_supported_action_preference,train=2 mean=127.75 hit=0.500; repeat=4 mean=68.13 hit=0.500,"paper-check stablecoin_migration_paper_long with explicit stop, fill, and reward attribution before any model training"
sol_stablecoin_migration_paper_long,stablecoin_migration,SOL,paper_long,2,0.50000000,127.75226219,4,0.50000000,68.12661490,110.40184112,oos_supported_action_preference,train=2 mean=127.75 hit=0.500; repeat=4 mean=68.13 hit=0.500,"paper-check sol_stablecoin_migration_paper_long with explicit stop, fill, and reward attribution before any model training"
sol_event_crypto_hedge_paper_long,event_crypto_hedge,SOL,paper_long,4,0.50000000,86.13842964,7,0.57142857,57.82436265,102.38798423,oos_supported_action_preference,train=4 mean=86.14 hit=0.500; repeat=7 mean=57.82 hit=0.571,"paper-check sol_event_crypto_hedge_paper_long with explicit stop, fill, and reward attribution before any model training"
bera_microstructure_flow_paper_long,microstructure_flow,BERA,paper_long,0,0.00000000,0.00000000,2,1.00000000,517.91484793,381.27656529,needs_repeat_oos,train=0 mean=0.00 hit=0.000; repeat=2 mean=517.91 hit=1.000,collect repeat samples for bera_microstructure_flow_paper_long before treating it as an action preference
chip_microstructure_flow_paper_long,microstructure_flow,CHIP,paper_long,0,0.00000000,0.00000000,2,1.00000000,477.94594841,354.63063227,needs_repeat_oos,train=0 mean=0.00 hit=0.000; repeat=2 mean=477.95 hit=1.000,collect repeat samples for chip_microstructure_flow_paper_long before treating it as an action preference
liquidation_intensity_paper_long,liquidation_intensity,,paper_long,0,0.00000000,0.00000000,2,1.00000000,113.78101403,111.85400935,needs_repeat_oos,train=0 mean=0.00 hit=0.000; repeat=2 mean=113.78 hit=1.000,collect repeat samples for liquidation_intensity_paper_long before treating it as an action preference
sui_liquidation_intensity_paper_long,liquidation_intensity,SUI,paper_long,0,0.00000000,0.00000000,2,1.00000000,113.78101403,111.85400935,needs_repeat_oos,train=0 mean=0.00 hit=0.000; repeat=2 mean=113.78 hit=1.000,collect repeat samples for sui_liquidation_intensity_paper_long before treating it as an action preference
sui_microstructure_flow_paper_long,microstructure_flow,SUI,paper_long,0,0.00000000,0.00000000,2,1.00000000,109.72724371,109.15149581,needs_repeat_oos,train=0 mean=0.00 hit=0.000; repeat=2 mean=109.73 hit=1.000,collect repeat samples for sui_microstructure_flow_paper_long before treating it as an action preference
inj_volume_price_dislocation_paper_long,volume_price_dislocation,INJ,paper_long,0,0.00000000,0.00000000,5,1.00000000,63.88397197,105.88397197,needs_repeat_oos,train=0 mean=0.00 hit=0.000; repeat=5 mean=63.88 hit=1.000,collect repeat samples for inj_volume_price_dislocation_paper_long before treating it as an action preference
apt_wallet_entity_flow_paper_long,wallet_entity_flow,APT,paper_long,1,1.00000000,17.04770220,3,1.00000000,42.80987429,87.66225940,needs_repeat_oos,train=1 mean=17.05 hit=1.000; repeat=3 mean=42.81 hit=1.000,collect repeat samples for apt_wallet_entity_flow_paper_long before treating it as an action preference
sui_repeat_execution_paper_long,repeat_execution,SUI,paper_long,0,0.00000000,0.00000000,6,0.66666667,53.89125583,85.89125583,needs_repeat_oos,train=0 mean=0.00 hit=0.000; repeat=6 mean=53.89 hit=0.667,collect repeat samples for sui_repeat_execution_paper_long before treating it as an action preference
near_unclassified_paper_long,unclassified,NEAR,paper_long,2,1.00000000,39.52261469,1,1.00000000,38.60203883,54.81960775,needs_repeat_oos,train=2 mean=39.52 hit=1.000; repeat=1 mean=38.60 hit=1.000,collect repeat samples for near_unclassified_paper_long before treating it as an action preference
chip_repeat_execution_paper_long,repeat_execution,CHIP,paper_long,3,1.00000000,283.91449523,0,0.00000000,0.00000000,47.58717428,needs_repeat_oos,train=3 mean=283.91 hit=1.000; repeat=0 mean=0.00 hit=0.000,collect repeat samples for chip_repeat_execution_paper_long before treating it as an action preference
chip_execution_edge_paper_long,execution_edge,CHIP,paper_long,3,1.00000000,283.91449523,0,0.00000000,0.00000000,47.58717428,needs_repeat_oos,train=3 mean=283.91 hit=1.000; repeat=0 mean=0.00 hit=0.000,collect repeat samples for chip_execution_edge_paper_long before treating it as an action preference
zec_event_pressure_paper_long,event_pressure,ZEC,paper_long,2,1.00000000,333.21335789,0,0.00000000,0.00000000,38.32133579,needs_repeat_oos,train=2 mean=333.21 hit=1.000; repeat=0 mean=0.00 hit=0.000,collect repeat samples for zec_event_pressure_paper_long before treating it as an action preference
protocol_fee_paper_long,protocol_fee,,paper_long,3,1.00000000,75.96075041,0,0.00000000,0.00000000,16.39411256,needs_repeat_oos,train=3 mean=75.96 hit=1.000; repeat=0 mean=0.00 hit=0.000,collect repeat samples for protocol_fee_paper_long before treating it as an action preference
uni_protocol_fee_paper_long,protocol_fee,UNI,paper_long,3,1.00000000,75.96075041,0,0.00000000,0.00000000,16.39411256,needs_repeat_oos,train=3 mean=75.96 hit=1.000; repeat=0 mean=0.00 hit=0.000,collect repeat samples for uni_protocol_fee_paper_long before treating it as an action preference
basis_term_structure_paper_short,basis_term_structure,,paper_short,2,1.00000000,63.24833459,0,0.00000000,0.00000000,11.32483346,needs_repeat_oos,train=2 mean=63.25 hit=1.000; repeat=0 mean=0.00 hit=0.000,collect repeat samples for basis_term_structure_paper_short before treating it as an action preference
near_execution_edge_paper_long,execution_edge,NEAR,paper_long,2,1.00000000,38.60203883,0,0.00000000,0.00000000,8.86020388,needs_repeat_oos,train=2 mean=38.60 hit=1.000; repeat=0 mean=0.00 hit=0.000,collect repeat samples for near_execution_edge_paper_long before treating it as an action preference
microstructure_flow_paper_long,microstructure_flow,,paper_long,5,1.00000000,222.96302351,40,0.45000000,-10.61364884,53.33080469,oos_failed_action_preference,train=5 mean=222.96 hit=1.000; repeat=40 mean=-10.61 hit=0.450,deprioritize microstructure_flow_paper_long; repeat samples do not support the initial action preference
