context,records,initial_records,repeat_records,cost_known_records,hit_rate,mean_reward_bps,repeat_hit_rate,repeat_mean_reward_bps,worst_reward_bps,best_reward_bps,frontier_score,decision,evidence,next_step
news_event,26,18,8,16,0.61538462,228.53706294,0.87500000,345.53389357,-206.04565083,703.21611354,282.05411135,expand_with_failure_split,records=26 initial=18 repeat=8 cost_known=16 hit=0.615 repeat_hit=0.875,"open more news_event labels, but split the failure regime before increasing size or confidence"
sector_rotation,11,9,2,10,0.90909091,317.45690815,1.00000000,429.71912824,-33.11913000,526.22489859,240.17961976,expand_context_now,records=11 initial=9 repeat=2 cost_known=10 hit=0.909 repeat_hit=1.000,"open more sector_rotation paper labels across fresh assets, venues, and failure regimes"
wallet_entity_flow,20,9,11,14,0.70000000,112.21256687,0.72727273,104.70648652,-329.54878168,703.21611354,104.10501295,expand_with_failure_split,records=20 initial=9 repeat=11 cost_known=14 hit=0.700 repeat_hit=0.727,"open more wallet_entity_flow labels, but split the failure regime before increasing size or confidence"
liquidation_intensity,2,0,2,2,1.00000000,113.78101403,1.00000000,113.78101403,95.38855192,132.17347613,103.73503236,expand_context_now,records=2 initial=0 repeat=2 cost_known=2 hit=1.000 repeat_hit=1.000,"open more liquidation_intensity paper labels across fresh assets, venues, and failure regimes"
repeat_execution,9,3,6,7,0.77777778,130.56566896,0.66666667,53.89125583,-120.90909091,283.91449523,96.46847663,expand_context_now,records=9 initial=3 repeat=6 cost_known=7 hit=0.778 repeat_hit=0.667,"open more repeat_execution paper labels across fresh assets, venues, and failure regimes"
execution_edge,11,9,2,9,0.81818182,86.70678171,1.00000000,104.08173753,-329.54878168,283.91449523,60.75338599,expand_with_failure_split,records=11 initial=9 repeat=2 cost_known=9 hit=0.818 repeat_hit=1.000,"open more execution_edge labels, but split the failure regime before increasing size or confidence"
stablecoin_migration,7,3,4,4,0.57142857,115.59205179,0.50000000,68.12661490,-3.85213720,281.13337854,100.48243742,watch_context,records=7 initial=3 repeat=4 cost_known=4 hit=0.571 repeat_hit=0.500,keep stablecoin_migration on watch until repeat sample count exceeds 4
volume_price_dislocation,43,11,32,19,0.44186047,-1.06232715,0.50000000,-2.87036614,-206.04565083,299.97171860,16.92324478,shrink_or_rework_context,records=43 initial=11 repeat=32 cost_known=19 hit=0.442 repeat_hit=0.500,stop blind volume_price_dislocation expansion; isolate why repeat_mean=-2.87 and worst=-206.05
event_crypto_hedge,39,16,23,17,0.43589744,-3.17898068,0.39130435,-10.86695779,-184.30745079,176.12899647,10.74194161,shrink_or_rework_context,records=39 initial=16 repeat=23 cost_known=17 hit=0.436 repeat_hit=0.391,stop blind event_crypto_hedge expansion; isolate why repeat_mean=-10.87 and worst=-184.31
basis_term_structure,4,4,0,2,0.50000000,-4.19653279,0.00000000,0.00000000,-84.95486773,76.91836385,6.45538003,shrink_or_rework_context,records=4 initial=4 repeat=0 cost_known=2 hit=0.500 repeat_hit=0.000,stop blind basis_term_structure expansion; isolate why repeat_mean=0.00 and worst=-84.95
microstructure_flow,45,5,40,23,0.51111111,15.33931475,0.45000000,-10.61364884,-314.55252223,743.47564683,6.35318071,shrink_or_rework_context,records=45 initial=5 repeat=40 cost_known=23 hit=0.511 repeat_hit=0.450,stop blind microstructure_flow expansion; isolate why repeat_mean=-10.61 and worst=-314.55
event_pressure,9,7,2,3,0.33333333,26.62947825,0.00000000,-64.33743481,-206.04565083,333.21335789,-17.80665676,shrink_or_rework_context,records=9 initial=7 repeat=2 cost_known=3 hit=0.333 repeat_hit=0.000,stop blind event_pressure expansion; isolate why repeat_mean=-64.34 and worst=-206.05
options_volatility,6,5,1,1,0.16666667,-48.16436575,0.00000000,-47.80938945,-110.85145904,2.91687921,-22.03336172,shrink_or_rework_context,records=6 initial=5 repeat=1 cost_known=1 hit=0.167 repeat_hit=0.000,stop blind options_volatility expansion; isolate why repeat_mean=-47.81 and worst=-110.85
unclassified,15,13,2,4,0.26666667,-130.48229744,0.50000000,-137.30246576,-712.89862193,333.21335789,-119.20194797,shrink_or_rework_context,records=15 initial=13 repeat=2 cost_known=4 hit=0.267 repeat_hit=0.500,stop blind unclassified expansion; isolate why repeat_mean=-137.30 and worst=-712.90
protocol_fee,8,6,2,3,0.37500000,-169.25607558,0.00000000,-348.94366984,-368.33855799,75.96075041,-160.60738390,shrink_or_rework_context,records=8 initial=6 repeat=2 cost_known=3 hit=0.375 repeat_hit=0.000,stop blind protocol_fee expansion; isolate why repeat_mean=-348.94 and worst=-368.34
token_unlock,3,1,2,0,0.00000000,-338.35143220,0.00000000,-353.40004822,-368.33855799,-308.25420015,-217.10672711,shrink_or_rework_context,records=3 initial=1 repeat=2 cost_known=0 hit=0.000 repeat_hit=0.000,stop blind token_unlock expansion; isolate why repeat_mean=-353.40 and worst=-368.34
intraday_derivatives,24,14,10,1,0.04166667,-208.99637864,0.00000000,-263.95904962,-353.43525859,8.92923388,-219.60343114,shrink_or_rework_context,records=24 initial=14 repeat=10 cost_known=1 hit=0.042 repeat_hit=0.000,stop blind intraday_derivatives expansion; isolate why repeat_mean=-263.96 and worst=-353.44
