ticket_id,target_id,context,seed_id,asset,action,checkpoint_status,outcome,directional_return_bps,estimated_net_after_cost_bps,risk_action,frontier_score,decision,evidence,next_step
paper-11-zec-policy-expansion,zec_zec_institutional_flow_news_event_from_news_event_paper_long,news_event,news_event_paper_long,ZEC,paper_long,ready,paper_mark_win,342.89586628,333.21335789,cost_adjusted_paper_probe,475.19709613,repeat_policy_expansion_now,checkpoint=ready; outcome=paper_mark_win; dir_bps=342.90; net_bps=333.21335789; risk=cost_adjusted_paper_probe,open a repeat policy-expansion ticket for zec_zec_institutional_flow_news_event_from_news_event_paper_long and compare it to its seed context news_event
paper-12-zec-policy-expansion,zec_zec_narrative_event_news_event_from_news_event_paper_long,news_event,news_event_paper_long,ZEC,paper_long,ready,paper_mark_win,342.89586628,333.21335789,cost_adjusted_paper_probe,475.19709613,repeat_policy_expansion_now,checkpoint=ready; outcome=paper_mark_win; dir_bps=342.90; net_bps=333.21335789; risk=cost_adjusted_paper_probe,open a repeat policy-expansion ticket for zec_zec_narrative_event_news_event_from_news_event_paper_long and compare it to its seed context news_event
paper-14-zec-policy-expansion,zec_zec_attention_price_context_from_news_event_paper_long,news_event,news_event_paper_long,ZEC,paper_long,ready,paper_mark_win,342.89586628,333.21335789,cost_adjusted_paper_probe,475.19709613,repeat_policy_expansion_now,checkpoint=ready; outcome=paper_mark_win; dir_bps=342.90; net_bps=333.21335789; risk=cost_adjusted_paper_probe,open a repeat policy-expansion ticket for zec_zec_attention_price_context_from_news_event_paper_long and compare it to its seed context news_event
paper-01-chip-policy-expansion,chip_chip_okx_exchange_catalyst_repeat_execution_gate_from_repeat_execution_paper_long,repeat_execution,repeat_execution_paper_long,CHIP,paper_long,ready,paper_mark_win,297.10256017,283.91449523,cost_adjusted_paper_probe,431.39122494,repeat_policy_expansion_now,checkpoint=ready; outcome=paper_mark_win; dir_bps=297.10; net_bps=283.91449523; risk=cost_adjusted_paper_probe,open a repeat policy-expansion ticket for chip_chip_okx_exchange_catalyst_repeat_execution_gate_from_repeat_execution_paper_long and compare it to its seed context repeat_execution
paper-06-chip-policy-expansion,chip_chip_okx_exchange_catalyst_repeat_execution_gate_from_sui_repeat_execution_paper_long,repeat_execution,sui_repeat_execution_paper_long,CHIP,paper_long,ready,paper_mark_win,297.10256017,283.91449523,cost_adjusted_paper_probe,431.39122494,repeat_policy_expansion_now,checkpoint=ready; outcome=paper_mark_win; dir_bps=297.10; net_bps=283.91449523; risk=cost_adjusted_paper_probe,open a repeat policy-expansion ticket for chip_chip_okx_exchange_catalyst_repeat_execution_gate_from_sui_repeat_execution_paper_long and compare it to its seed context repeat_execution
paper-08-sol-policy-expansion,sol_sol_attention_price_context_from_zec_news_event_paper_long,news_event,zec_news_event_paper_long,SOL,paper_long,ready,paper_mark_loss,-3.85213720,,,38.13160104,rework_policy_expansion_target,checkpoint=ready; outcome=paper_mark_loss; dir_bps=-3.85; net_bps=missing; risk=missing,do not repeat sol_sol_attention_price_context_from_zec_news_event_paper_long; isolate the failure regime against context news_event
paper-16-sol-policy-expansion,sol_sol_attention_price_context_from_news_event_paper_long,news_event,news_event_paper_long,SOL,paper_long,ready,paper_mark_loss,-3.85213720,,,38.13160104,rework_policy_expansion_target,checkpoint=ready; outcome=paper_mark_loss; dir_bps=-3.85; net_bps=missing; risk=missing,do not repeat sol_sol_attention_price_context_from_news_event_paper_long; isolate the failure regime against context news_event
paper-22-sol-policy-expansion,sol_sol_volume_price_dislocation_from_volume_price_dislocation_paper_long,volume_price_dislocation,volume_price_dislocation_paper_long,SOL,paper_long,ready,paper_mark_loss,-3.85213720,,,30.35458969,rework_policy_expansion_target,checkpoint=ready; outcome=paper_mark_loss; dir_bps=-3.85; net_bps=missing; risk=missing,do not repeat sol_sol_volume_price_dislocation_from_volume_price_dislocation_paper_long; isolate the failure regime against context volume_price_dislocation
paper-05-link-policy-expansion,link_link_volume_price_dislocation_from_sol_volume_price_dislocation_paper_long,volume_price_dislocation,sol_volume_price_dislocation_paper_long,LINK,paper_long,ready,paper_mark_loss,-33.11913000,,,1.08759689,rework_policy_expansion_target,checkpoint=ready; outcome=paper_mark_loss; dir_bps=-33.12; net_bps=missing; risk=missing,do not repeat link_link_volume_price_dislocation_from_sol_volume_price_dislocation_paper_long; isolate the failure regime against context volume_price_dislocation
paper-23-link-policy-expansion,link_link_volume_price_dislocation_from_volume_price_dislocation_paper_long,volume_price_dislocation,volume_price_dislocation_paper_long,LINK,paper_long,ready,paper_mark_loss,-33.11913000,,,1.08759689,rework_policy_expansion_target,checkpoint=ready; outcome=paper_mark_loss; dir_bps=-33.12; net_bps=missing; risk=missing,do not repeat link_link_volume_price_dislocation_from_volume_price_dislocation_paper_long; isolate the failure regime against context volume_price_dislocation
paper-04-eth-policy-expansion,eth_eth_volume_price_dislocation_from_sol_volume_price_dislocation_paper_long,volume_price_dislocation,sol_volume_price_dislocation_paper_long,ETH,paper_long,ready,paper_mark_loss,-58.32793260,,,-24.12120571,rework_policy_expansion_target,checkpoint=ready; outcome=paper_mark_loss; dir_bps=-58.33; net_bps=missing; risk=missing,do not repeat eth_eth_volume_price_dislocation_from_sol_volume_price_dislocation_paper_long; isolate the failure regime against context volume_price_dislocation
paper-21-eth-policy-expansion,eth_eth_volume_price_dislocation_from_volume_price_dislocation_paper_long,volume_price_dislocation,volume_price_dislocation_paper_long,ETH,paper_long,ready,paper_mark_loss,-58.32793260,,,-24.12120571,rework_policy_expansion_target,checkpoint=ready; outcome=paper_mark_loss; dir_bps=-58.33; net_bps=missing; risk=missing,do not repeat eth_eth_volume_price_dislocation_from_volume_price_dislocation_paper_long; isolate the failure regime against context volume_price_dislocation
paper-09-btc-policy-expansion,btc_btc_institutional_flow_news_event_quality_gate_from_zec_news_event_paper_long,news_event,zec_news_event_paper_long,BTC,paper_long,ready,paper_mark_loss,-84.95486773,,,-42.97112949,rework_policy_expansion_target,checkpoint=ready; outcome=paper_mark_loss; dir_bps=-84.95; net_bps=missing; risk=missing,do not repeat btc_btc_institutional_flow_news_event_quality_gate_from_zec_news_event_paper_long; isolate the failure regime against context news_event
paper-18-btc-policy-expansion,btc_btc_institutional_flow_news_event_quality_gate_from_news_event_paper_long,news_event,news_event_paper_long,BTC,paper_long,ready,paper_mark_loss,-84.95486773,,,-42.97112949,rework_policy_expansion_target,checkpoint=ready; outcome=paper_mark_loss; dir_bps=-84.95; net_bps=missing; risk=missing,do not repeat btc_btc_institutional_flow_news_event_quality_gate_from_news_event_paper_long; isolate the failure regime against context news_event
paper-07-hype-policy-expansion,hype_hype_attention_price_context_from_zec_news_event_paper_long,news_event,zec_news_event_paper_long,HYPE,paper_long,ready,paper_mark_loss,-206.04565083,,,-164.06191259,rework_policy_expansion_target,checkpoint=ready; outcome=paper_mark_loss; dir_bps=-206.05; net_bps=missing; risk=missing,do not repeat hype_hype_attention_price_context_from_zec_news_event_paper_long; isolate the failure regime against context news_event
paper-15-hype-policy-expansion,hype_hype_attention_price_context_from_news_event_paper_long,news_event,news_event_paper_long,HYPE,paper_long,ready,paper_mark_loss,-206.04565083,,,-164.06191259,rework_policy_expansion_target,checkpoint=ready; outcome=paper_mark_loss; dir_bps=-206.05; net_bps=missing; risk=missing,do not repeat hype_hype_attention_price_context_from_news_event_paper_long; isolate the failure regime against context news_event
paper-02-hype-policy-expansion,hype_hype_volume_price_dislocation_from_sol_volume_price_dislocation_paper_long,volume_price_dislocation,sol_volume_price_dislocation_paper_long,HYPE,paper_long,ready,paper_mark_loss,-206.04565083,,,-171.83892394,rework_policy_expansion_target,checkpoint=ready; outcome=paper_mark_loss; dir_bps=-206.05; net_bps=missing; risk=missing,do not repeat hype_hype_volume_price_dislocation_from_sol_volume_price_dislocation_paper_long; isolate the failure regime against context volume_price_dislocation
paper-19-hype-policy-expansion,hype_hype_volume_price_dislocation_from_volume_price_dislocation_paper_long,volume_price_dislocation,volume_price_dislocation_paper_long,HYPE,paper_long,ready,paper_mark_loss,-206.04565083,,,-171.83892394,rework_policy_expansion_target,checkpoint=ready; outcome=paper_mark_loss; dir_bps=-206.05; net_bps=missing; risk=missing,do not repeat hype_hype_volume_price_dislocation_from_volume_price_dislocation_paper_long; isolate the failure regime against context volume_price_dislocation
