token_symbol,protocol,fee_status,fee_to_market_cap,fee_to_fdv,fee_growth_7d,funding,current_price,price_change_1h,price_change_24h,price_change_7d,price_change_30d,volume_to_market_cap,status,side,score,evidence,next_step
JUP,Jupiter Perpetual Exchange,paper_value_growth_candidate,0.58869359,0.28483285,204.43000000,0.01434800,0.158975000000,1.74876985,3.54740602,-16.78066684,-35.70079862,0.04516743,fee_growth_price_lag_candidate,long_token,93.92628500,fee_to_mcap=0.5887; fee_to_fdv=0.2848; fee_growth_7d=204.43; funding=0.0143; price_24h=3.55; price_7d=-16.78; price_30d=-35.70; volume_to_mcap=0.0452,"paper-label JUP as fee-growth lag setup over 4h, 12h, 24h, and 7d"
AAVE,Aave V3,paper_value_growth_candidate,0.97205477,0.92223161,129.80000000,-0.08443089,64.130000000000,0.73504215,5.28979906,-21.81700209,-32.86618379,0.20883539,fee_growth_price_lag_candidate,long_token,87.98000000,fee_to_mcap=0.9721; fee_to_fdv=0.9222; fee_growth_7d=129.80; funding=-0.0844; price_24h=5.29; price_7d=-21.82; price_30d=-32.87; volume_to_mcap=0.2088,"paper-label AAVE as fee-growth lag setup over 4h, 12h, 24h, and 7d"
UNI,Uniswap V3,paper_value_growth_candidate,0.32666346,0.22731448,105.16000000,0.10950000,2.580000000000,0.36855351,4.45508439,-14.57582395,-30.21078328,0.09217142,fee_growth_price_lag_candidate,long_token,77.82327195,fee_to_mcap=0.3267; fee_to_fdv=0.2273; fee_growth_7d=105.16; funding=0.1095; price_24h=4.46; price_7d=-14.58; price_30d=-30.21; volume_to_mcap=0.0922,"paper-label UNI as fee-growth lag setup over 4h, 12h, 24h, and 7d"
CRV,Curve DEX,paper_value_growth_candidate,0.18545541,0.11818592,210.10000000,0.10950000,0.197663000000,0.60526190,6.11712719,-8.57324047,-23.50433199,0.11569285,fee_growth_price_lag_candidate,long_token,59.94737347,fee_to_mcap=0.1855; fee_to_fdv=0.1182; fee_growth_7d=210.10; funding=0.1095; price_24h=6.12; price_7d=-8.57; price_30d=-23.50; volume_to_mcap=0.1157,"paper-label CRV as fee-growth lag setup over 4h, 12h, 24h, and 7d"
ENA,Ethena USDe,watch,0.43086377,0.26695601,27.49000000,0.04029246,0.090569000000,1.05769025,0.71449309,2.49194596,-31.82670770,0.20492946,fee_price_context_watch,none,59.44460100,fee_to_mcap=0.4309; fee_to_fdv=0.2670; fee_growth_7d=27.49; funding=0.0403; price_24h=0.71; price_7d=2.49; price_30d=-31.83; volume_to_mcap=0.2049,collect another ENA fee and price snapshot before promotion
MORPHO,Morpho Blue,paper_value_growth_candidate,0.17924822,0.11580812,140.56000000,0.08392606,1.750000000000,2.02619611,6.04062619,-19.06418248,-16.34935331,0.01015212,fee_growth_price_lag_candidate,long_token,58.56163400,fee_to_mcap=0.1792; fee_to_fdv=0.1158; fee_growth_7d=140.56; funding=0.0839; price_24h=6.04; price_7d=-19.06; price_30d=-16.35; volume_to_mcap=0.0102,"paper-label MORPHO as fee-growth lag setup over 4h, 12h, 24h, and 7d"
AERO,Aerodrome Slipstream,watch,0.33871106,0.16787421,40.32000000,-0.72090946,0.344426000000,2.56425441,8.19619845,-16.56357968,-24.12880974,0.03663555,fee_price_context_watch,none,50.81942100,fee_to_mcap=0.3387; fee_to_fdv=0.1679; fee_growth_7d=40.32; funding=-0.7209; price_24h=8.20; price_7d=-16.56; price_30d=-24.13; volume_to_mcap=0.0366,collect another AERO fee and price snapshot before promotion
PENDLE,Pendle,paper_value_watch,0.11558836,0.07006559,158.55000000,0.00814943,1.280000000000,1.46065179,5.23046054,-5.79376340,-37.96338698,0.14422575,fee_growth_price_lag_candidate,long_token,40.21415840,fee_to_mcap=0.1156; fee_to_fdv=0.0701; fee_growth_7d=158.55; funding=0.0081; price_24h=5.23; price_7d=-5.79; price_30d=-37.96; volume_to_mcap=0.1442,"paper-label PENDLE as fee-growth lag setup over 4h, 12h, 24h, and 7d"
UNI,Uniswap V4,watch,0.14907531,0.10373666,-33.04000000,0.10950000,2.580000000000,0.36855351,4.45508439,-14.57582395,-30.21078328,0.09217142,fee_decay_price_weakness_context,watch_or_short,31.97719700,fee_to_mcap=0.1491; fee_to_fdv=0.1037; fee_growth_7d=-33.04; funding=0.1095; price_24h=4.46; price_7d=-14.58; price_30d=-30.21; volume_to_mcap=0.0922,test whether UNI fee decay and weak price persist before any short thesis
HYPE,Hyperliquid Perps,watch,0.07219123,0.01680991,93.34000000,-0.06815595,61.680000000000,3.99013913,7.87720647,-14.97641710,42.41344536,0.05272706,fee_price_context_watch,none,18.23411400,fee_to_mcap=0.0722; fee_to_fdv=0.0168; fee_growth_7d=93.34; funding=-0.0682; price_24h=7.88; price_7d=-14.98; price_30d=42.41; volume_to_mcap=0.0527,collect another HYPE fee and price snapshot before promotion
