slug,name,category,token_symbol,protocol_group,total_24h,total_7d,total_30d,change_7d_over_7d,change_30d_over_30d,annualized_1y,funding,day_volume_usd,open_interest_usd,score,status,side,reason,next_step
curve-dex,Curve DEX,Dexs,CRV,curve,212630.00000000,2393608.00000000,5005855.00000000,222.41000000,79.76000000,55895007.00000000,0.10950000,7514947.92990000,4141060.65170000,52.00296886,paper_long_context,long_token_or_relative_value,DEX fee growth accelerated and funding is not too expensive,label CRV returns after protocol fee-growth snapshots and join to funding/unlock context
jupiter-perpetual-exchange,Jupiter Perpetual Exchange,Derivatives,JUP,jupiter,328220.00000000,3881957.00000000,8801350.00000000,232.55000000,18.34000000,311067064.00000000,-0.27536359,1687125.81923000,3574808.99040000,50.30260033,paper_long_context,long_token_or_relative_value,perp exchange fee growth accelerated and funding is not too expensive,label JUP returns after protocol fee-growth snapshots and join to funding/unlock context
hyperliquid-perps,Hyperliquid Perps,Derivatives,HYPE,hyperliquid,2406951.00000000,28154279.00000000,72198318.00000000,111.41000000,28.06000000,992857671.00000000,-0.14422721,472484140.97399998,87428602.17900001,44.18751226,paper_long_context,long_token_or_relative_value,perp exchange fee growth accelerated and funding is not too expensive,label HYPE returns after protocol fee-growth snapshots and join to funding/unlock context
morpho-blue,Morpho Blue,Lending,MORPHO,morpho,430213.00000000,8318388.00000000,19684070.00000000,140.49000000,29.83000000,202669769.00000000,0.10950000,1650759.76900000,4263844.11456000,42.30383927,paper_long_context,long_token_or_relative_value,lending fee growth accelerated and funding is not too expensive,label MORPHO returns after protocol fee-growth snapshots and join to funding/unlock context
uniswap-v3,Uniswap V3,Dexs,UNI,uniswap,803167.00000000,8381348.00000000,21191585.00000000,126.91000000,25.46000000,526156805.00000000,0.10950000,15001077.54700000,8392322.70300000,42.05888194,paper_long_context,long_token_or_relative_value,DEX fee growth accelerated and funding is not too expensive,label UNI returns after protocol fee-growth snapshots and join to funding/unlock context
aave-v3,Aave V3,Lending,AAVE,aave,956029.00000000,17090582.00000000,42561357.00000000,129.82000000,-44.97000000,947188529.00000000,-0.15325068,20695256.28720000,9208215.54840000,40.32501860,paper_long_context,long_token_or_relative_value,lending fee growth accelerated and funding is not too expensive,label AAVE returns after protocol fee-growth snapshots and join to funding/unlock context
pendle,Pendle,Yield,PENDLE,pendle,13836.00000000,295467.00000000,1182347.00000000,158.66000000,-29.47000000,25299021.00000000,0.10950000,1148384.69050000,7050295.05600000,39.13874862,watch,none,fee base is still small for a strong standalone candidate,label PENDLE returns after protocol fee-growth snapshots and join to funding/unlock context
ethereum,Ethereum,Chain,ETH,ethereum,332131.00000000,4266566.00000000,14862648.00000000,78.11000000,-47.08000000,314510673.00000000,-0.07914734,8592851583.29899979,1185006811.39379263,37.72997466,paper_long_context,long_token_or_relative_value,chain fee base accelerated and funding is not too expensive,label ETH returns after protocol fee-growth snapshots and join to funding/unlock context
aerodrome-slipstream,Aerodrome Slipstream,Dexs,AERO,aerodrome,268850.00000000,2635419.00000000,8050843.00000000,73.72000000,15.96000000,110545844.00000000,0.10950000,657861.36714000,5112830.30660000,33.86388679,watch,none,Base DEX fee growth is material but not a clean growth/decay setup,label AERO returns after protocol fee-growth snapshots and join to funding/unlock context
hyper-foundation-hype-staking,Hyper Foundation HYPE Staking,Staking Pool,HYPE,hyperliquid,812237.00000000,6580879.00000000,24103864.00000000,2.11000000,66.33000000,260876139.07407409,-0.14422721,472484140.97399998,87428602.17900001,33.68061134,watch,none,staking fee capture context is material but not a clean growth/decay setup,label HYPE returns after protocol fee-growth snapshots and join to funding/unlock context
ethena-usde,Ethena USDe,Basis Trading,ENA,ethena,612.00000000,4108356.00000000,15734658.00000000,27.49000000,-16.85000000,362904289.00000000,0.03265951,26544245.92040000,6019353.56160000,30.08904562,watch,none,basis product fee growth is material but not a clean growth/decay setup,label ENA returns after protocol fee-growth snapshots and join to funding/unlock context
bsc,BSC,Chain,BNB,bnb-chain,264864.00000000,2670340.00000000,10306354.00000000,7.18000000,-1.97000000,214191549.00000000,-0.03724293,84167295.30000001,44593606.50800000,29.65328759,watch,none,chain fee base is material but not a clean growth/decay setup,label BNB returns after protocol fee-growth snapshots and join to funding/unlock context
solana,Solana,Chain,SOL,solana,288317.00000000,2595118.00000000,13022104.00000000,-8.33000000,-12.94000000,312829446.00000000,-0.11740450,712605928.71719992,181159836.85710007,29.28914962,watch,none,chain fee base is material but not a clean growth/decay setup,label SOL returns after protocol fee-growth snapshots and join to funding/unlock context
