subject,status,alpha_kind,readiness_score,chain,token_symbol,flow_direction,week_change_usd,week_change_pct,directional_return_1h,directional_return_4h,provider_evidence,current_proxy_evidence,missing_data,next_probe,research_reference
Ethereum/ETH,direct_exchange_inflow_data_required,direct_exchange_stablecoin_inflow,181.20817662,Ethereum,ETH,stablecoin_supply_outflow,-2549343868.46000004,-0.01701757,,,CryptoQuant stablecoin exchange flow API: https://cryptoquant.com/en/docs; Glassnode exchange-flow metrics: https://docs.glassnode.com/data/metric-catalog; Arkham transfer/entity API: https://docs.intel.arkm.com/openapi/transfers,proxy_status=needs_exchange_wallet_map_before_exchange_inflow_alpha; exchange_interpretation=exchange_inflow_research_target_but_wallet_map_missing; chain_interpretation=chain_liquidity_reversal_control,"tagged exchange stablecoin deposits, provider access token, exchange/entity labels, and 1h return labels",obtain or emulate exchange-tagged stablecoin netflow for ETH; keep Ethereum chain supply out of the direct alpha label,https://arxiv.org/abs/2411.06327
Solana/SOL,proxy_label_candidate_not_exchange_inflow,chain_liquidity_proxy,115.03692962,Solana,SOL,stablecoin_supply_inflow,930837276.44000006,0.07649276,,,CryptoQuant stablecoin exchange flow API: https://cryptoquant.com/en/docs; Glassnode exchange-flow metrics: https://docs.glassnode.com/data/metric-catalog; Arkham transfer/entity API: https://docs.intel.arkm.com/openapi/transfers,proxy_status=chain_liquidity_proxy_alpha_candidate; exchange_interpretation=chain_token_liquidity_proxy_not_exchange_inflow; chain_interpretation=chain_liquidity_inflow_alpha_candidate,"chain proxy forward labels, beta control, bridge route, funding PnL, spread/depth, and venue mapping","label SOL as chain-liquidity proxy, then compare against beta and costs before any trade",https://arxiv.org/abs/2411.06327
Polygon/POL,proxy_label_candidate_not_exchange_inflow,chain_liquidity_proxy,102.05666993,Polygon,POL,stablecoin_supply_outflow,-212411978.06999999,-0.05823015,,,CryptoQuant stablecoin exchange flow API: https://cryptoquant.com/en/docs; Glassnode exchange-flow metrics: https://docs.glassnode.com/data/metric-catalog; Arkham transfer/entity API: https://docs.intel.arkm.com/openapi/transfers,proxy_status=chain_liquidity_proxy_alpha_candidate; exchange_interpretation=chain_token_liquidity_proxy_not_exchange_inflow; chain_interpretation=chain_liquidity_outflow_alpha_candidate,"chain proxy forward labels, beta control, bridge route, funding PnL, spread/depth, and venue mapping","label POL as chain-liquidity proxy, then compare against beta and costs before any trade",https://arxiv.org/abs/2411.06327
Tron/TRX,chain_proxy_watch_not_exchange_inflow,context_only,55.20324428,Tron,TRX,stablecoin_supply_outflow,-455311942.58999997,-0.00507003,,,CryptoQuant stablecoin exchange flow API: https://cryptoquant.com/en/docs; Glassnode exchange-flow metrics: https://docs.glassnode.com/data/metric-catalog; Arkham transfer/entity API: https://docs.intel.arkm.com/openapi/transfers,proxy_status=chain_liquidity_proxy_watch; exchange_interpretation=chain_token_liquidity_proxy_not_exchange_inflow; chain_interpretation=chain_liquidity_reversal_control,tradable token mapping and forward labels,keep Tron as context until mapped to a tradable token and labeled,https://arxiv.org/abs/2411.06327
Sui/SUI,chain_proxy_watch_not_exchange_inflow,context_only,50.82712940,Sui,SUI,stablecoin_supply_inflow,25095018.91000000,0.07501224,,,CryptoQuant stablecoin exchange flow API: https://cryptoquant.com/en/docs; Glassnode exchange-flow metrics: https://docs.glassnode.com/data/metric-catalog; Arkham transfer/entity API: https://docs.intel.arkm.com/openapi/transfers,proxy_status=chain_liquidity_proxy_watch; exchange_interpretation=chain_token_liquidity_proxy_not_exchange_inflow; chain_interpretation=chain_liquidity_context_only,tradable token mapping and forward labels,keep Sui as context until mapped to a tradable token and labeled,https://arxiv.org/abs/2411.06327
Avalanche/AVAX,chain_proxy_watch_not_exchange_inflow,context_only,50.48089467,Avalanche,AVAX,stablecoin_supply_outflow,-49109348.96000000,-0.05704847,,,CryptoQuant stablecoin exchange flow API: https://cryptoquant.com/en/docs; Glassnode exchange-flow metrics: https://docs.glassnode.com/data/metric-catalog; Arkham transfer/entity API: https://docs.intel.arkm.com/openapi/transfers,proxy_status=chain_liquidity_proxy_watch; exchange_interpretation=chain_token_liquidity_proxy_not_exchange_inflow; chain_interpretation=chain_liquidity_context_only,tradable token mapping and forward labels,keep Avalanche as context until mapped to a tradable token and labeled,https://arxiv.org/abs/2411.06327
Berachain/BERA,chain_proxy_watch_not_exchange_inflow,context_only,50.22930404,Berachain,BERA,stablecoin_supply_outflow,-5189916.67000000,-0.06883513,,,CryptoQuant stablecoin exchange flow API: https://cryptoquant.com/en/docs; Glassnode exchange-flow metrics: https://docs.glassnode.com/data/metric-catalog; Arkham transfer/entity API: https://docs.intel.arkm.com/openapi/transfers,proxy_status=chain_liquidity_proxy_watch; exchange_interpretation=chain_token_liquidity_proxy_not_exchange_inflow; chain_interpretation=chain_liquidity_context_only,tradable token mapping and forward labels,keep Berachain as context until mapped to a tradable token and labeled,https://arxiv.org/abs/2411.06327
Arbitrum/ARB,chain_proxy_watch_not_exchange_inflow,context_only,50.00213602,Arbitrum,ARB,stablecoin_supply_outflow,-97793289.20999999,-0.02594405,,,CryptoQuant stablecoin exchange flow API: https://cryptoquant.com/en/docs; Glassnode exchange-flow metrics: https://docs.glassnode.com/data/metric-catalog; Arkham transfer/entity API: https://docs.intel.arkm.com/openapi/transfers,proxy_status=chain_liquidity_proxy_watch; exchange_interpretation=chain_token_liquidity_proxy_not_exchange_inflow; chain_interpretation=chain_liquidity_context_only,tradable token mapping and forward labels,keep Arbitrum as context until mapped to a tradable token and labeled,https://arxiv.org/abs/2411.06327
Starknet/unmapped,unmapped_chain_context_not_alpha,context_only,25.38849006,Starknet,,stablecoin_supply_outflow,-81675885.70000000,-0.31155785,,,CryptoQuant stablecoin exchange flow API: https://cryptoquant.com/en/docs; Glassnode exchange-flow metrics: https://docs.glassnode.com/data/metric-catalog; Arkham transfer/entity API: https://docs.intel.arkm.com/openapi/transfers,proxy_status=unmapped_chain_liquidity_context; exchange_interpretation=chain_activity_proxy_not_exchange_inflow; chain_interpretation=chain_liquidity_context_only,tradable token mapping and forward labels,keep Starknet as context until mapped to a tradable token and labeled,https://arxiv.org/abs/2411.06327
Stellar/unmapped,unmapped_chain_context_not_alpha,context_only,25.11908159,Stellar,,stablecoin_supply_inflow,65828328.93000000,0.32162106,,,CryptoQuant stablecoin exchange flow API: https://cryptoquant.com/en/docs; Glassnode exchange-flow metrics: https://docs.glassnode.com/data/metric-catalog; Arkham transfer/entity API: https://docs.intel.arkm.com/openapi/transfers,proxy_status=unmapped_chain_liquidity_context; exchange_interpretation=chain_activity_proxy_not_exchange_inflow; chain_interpretation=chain_liquidity_context_only,tradable token mapping and forward labels,keep Stellar as context until mapped to a tradable token and labeled,https://arxiv.org/abs/2411.06327
Ink/unmapped,unmapped_chain_context_not_alpha,context_only,24.44455625,Ink,,stablecoin_supply_inflow,26150367.68000000,0.16962014,,,CryptoQuant stablecoin exchange flow API: https://cryptoquant.com/en/docs; Glassnode exchange-flow metrics: https://docs.glassnode.com/data/metric-catalog; Arkham transfer/entity API: https://docs.intel.arkm.com/openapi/transfers,proxy_status=unmapped_chain_liquidity_context; exchange_interpretation=chain_activity_proxy_not_exchange_inflow; chain_interpretation=chain_liquidity_context_only,tradable token mapping and forward labels,keep Ink as context until mapped to a tradable token and labeled,https://arxiv.org/abs/2411.06327
XDC/unmapped,unmapped_chain_context_not_alpha,context_only,24.42753908,XDC,,stablecoin_supply_inflow,25149357.42000000,0.40681272,,,CryptoQuant stablecoin exchange flow API: https://cryptoquant.com/en/docs; Glassnode exchange-flow metrics: https://docs.glassnode.com/data/metric-catalog; Arkham transfer/entity API: https://docs.intel.arkm.com/openapi/transfers,proxy_status=unmapped_chain_liquidity_context; exchange_interpretation=chain_activity_proxy_not_exchange_inflow; chain_interpretation=chain_liquidity_context_only,tradable token mapping and forward labels,keep XDC as context until mapped to a tradable token and labeled,https://arxiv.org/abs/2411.06327
Cardano/unmapped,unmapped_chain_context_not_alpha,context_only,24.10208158,Cardano,,stablecoin_supply_outflow,-6004798.62000000,-0.22773650,,,CryptoQuant stablecoin exchange flow API: https://cryptoquant.com/en/docs; Glassnode exchange-flow metrics: https://docs.glassnode.com/data/metric-catalog; Arkham transfer/entity API: https://docs.intel.arkm.com/openapi/transfers,proxy_status=unmapped_chain_liquidity_context; exchange_interpretation=chain_activity_proxy_not_exchange_inflow; chain_interpretation=chain_liquidity_context_only,tradable token mapping and forward labels,keep Cardano as context until mapped to a tradable token and labeled,https://arxiv.org/abs/2411.06327
