symbol,name,peg_type,peg_mechanism,current_supply_usd,week_change_usd,month_change_usd,price,peg_deviation,supply_stress_score,score,status,side,reason,next_step
pmUSD,pmUSD,peggedUSD,crypto-backed,68165057.64,0.00,0.00,0.68028182,-0.31971818,0.00000000,3197.18175310,paper_depeg_repeg_watch,watch_repeg_or_short_risk,material below-peg deviation,"check pmUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
USYC,Circle USYC,peggedUSD,fiat-backed,2826060662.32,-133106235.99,-161330754.18,1.12720324,0.12720324,0.64225607,1297.03237959,paper_premium_mean_reversion_watch,watch_premium_reversion,material above-peg deviation,"check USYC redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDY,Ondo US Dollar Yield,peggedUSD,fiat-backed,2126529918.90,-1385973.61,-8025240.16,1.12670334,0.12670334,0.01783914,1268.81729501,paper_premium_mean_reversion_watch,watch_premium_reversion,material above-peg deviation,"check USDY redemption route, liquidity, exchange depth, and repeated peg snapshots"
reUSD,Re Protocol reUSD,peggedUSD,crypto-backed,166101062.95,-23891237.69,-9131471.87,1.08141220,0.08141220,1.60328169,839.12199545,paper_premium_mean_reversion_watch,watch_premium_reversion,material above-peg deviation,"check reUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
apxUSD,apxUSD,peggedUSD,crypto-backed,394372440.91,-104276927.98,93224469.27,0.95041530,-0.04958470,3.35328372,520.84696026,paper_depeg_repeg_watch,watch_repeg_or_short_risk,material below-peg deviation,"check apxUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
DOLA,Dola,peggedUSD,crypto-backed,89993615.06,0.00,9445996.22,0.99431539,-0.00568461,0.31488888,81.84608068,paper_depeg_repeg_watch,watch_repeg_or_short_risk,material below-peg deviation,"check DOLA redemption route, liquidity, exchange depth, and repeated peg snapshots"
FRAX,Frax,peggedUSD,algorithmic,200267655.46,-4839585.09,6432288.80,0.99527774,-0.00472226,0.33801123,72.22256074,watch,none,near peg without major supply stress,"check FRAX redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDf,Falcon USD,peggedUSD,crypto-backed,1297337335.41,-204943062.61,-320667343.70,0.99617438,-0.00382562,2.32124103,63.25619233,peg_supply_stress_watch,none,large supply change with near-peg price,"check USDf redemption route, liquidity, exchange depth, and repeated peg snapshots"
satUSD,River Stablecoin,peggedUSD,crypto-backed,158300304.34,-1412.42,18189.59,0.99423398,-0.00576602,0.00043394,57.70362868,paper_depeg_repeg_watch,watch_repeg_or_short_risk,material below-peg deviation,"check satUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
FDUSD,First Digital USD,peggedUSD,fiat-backed,338783879.15,-14959993.78,-64879196.95,0.99733292,-0.00266708,1.01609772,51.67081494,peg_supply_stress_watch,none,large supply change with near-peg price,"check FDUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
GUSD,Gate USD,peggedUSD,fiat-backed,319471772.25,0.00,149495029.78,0.99834929,-0.00165071,1.40383323,41.50711725,peg_supply_stress_watch,none,large supply change with near-peg price,"check GUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDU,Unitas,peggedUSD,crypto-backed,63438362.81,-1342933.55,-28032733.25,0.99842072,-0.00157928,1.53735896,40.79275950,peg_supply_stress_watch,none,large supply change with near-peg price,"check USDU redemption route, liquidity, exchange depth, and repeated peg snapshots"
JUPUSD,JupUSD,peggedUSD,crypto-backed,50915259.11,1078065.88,-11516262.68,0.99853504,-0.00146496,0.89029198,39.64959256,peg_supply_stress_watch,none,large supply change with near-peg price,"check JUPUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
IUSD,infiniFi USD,peggedUSD,crypto-backed,78491941.09,-17149634.31,-3336355.01,0.99863968,-0.00136032,2.31240820,38.60320282,peg_supply_stress_watch,none,large supply change with near-peg price,"check IUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
NUSD,Neutrl USD,peggedUSD,crypto-backed,131191778.30,-11756081.25,-19911931.61,0.99874252,-0.00125748,1.35143078,37.57484545,peg_supply_stress_watch,none,large supply change with near-peg price,"check NUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
CASH,CASH,peggedUSD,fiat-backed,128792586.72,12629867.05,3202905.50,0.99892572,-0.00107428,1.05524231,35.74277649,peg_supply_stress_watch,none,large supply change with near-peg price,"check CASH redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDSUI,Sui Dollar,peggedUSD,fiat-backed,76733657.74,1660962.88,3749433.62,0.99913776,-0.00086224,0.36304707,33.62235952,watch,none,near peg without major supply stress,"check USDSUI redemption route, liquidity, exchange depth, and repeated peg snapshots"
crvUSD,crvUSD,peggedUSD,crypto-backed,196632396.59,-49342441.22,-83037945.90,0.99925268,-0.00074732,3.77627625,32.47323639,peg_supply_stress_watch,none,large supply change with near-peg price,"check crvUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
USD1,World Liberty Financial USD,peggedUSD,fiat-backed,4641039414.60,-108061792.38,159560091.15,0.99936240,-0.00063760,0.33598038,31.37596926,watch,none,near peg without major supply stress,"check USD1 redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDe,Ethena USDe,peggedUSD,crypto-backed,4501041728.12,-2380590.89,534143835.56,0.99941830,-0.00058170,0.36130245,30.81696994,peg_supply_stress_watch,none,large supply change with near-peg price,"check USDe redemption route, liquidity, exchange depth, and repeated peg snapshots"
USAT,USAT,peggedUSD,fiat-backed,167399610.08,9908331.38,13727332.77,0.99948871,-0.00051129,0.83790704,30.11289323,peg_supply_stress_watch,none,large supply change with near-peg price,"check USAT redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDD,USDD,peggedUSD,crypto-backed,1357914350.40,-78525772.11,-96301732.52,0.99952230,-0.00047770,0.79103879,29.77701575,peg_supply_stress_watch,none,large supply change with near-peg price,"check USDD redemption route, liquidity, exchange depth, and repeated peg snapshots"
USX,Solstice USX,peggedUSD,crypto-backed,490408621.58,-10575228.35,111772342.80,0.99954917,-0.00045083,0.89939143,29.50829972,peg_supply_stress_watch,none,large supply change with near-peg price,"check USX redemption route, liquidity, exchange depth, and repeated peg snapshots"
rwaUSDi,rwaUSDi,peggedUSD,crypto-backed,359850522.36,7213311.67,49977828.73,0.99955657,-0.00044343,0.61710791,29.43425373,peg_supply_stress_watch,none,large supply change with near-peg price,"check rwaUSDi redemption route, liquidity, exchange depth, and repeated peg snapshots"
MOVEUSD,CFX MoveUSD,peggedUSD,fiat-backed,118258454.11,-1315538.08,118258454.11,0.99955657,-0.00044343,3.11124262,29.43425373,peg_supply_stress_watch,none,large supply change with near-peg price,"check MOVEUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
MSUSD,Main Street USD,peggedUSD,crypto-backed,81783764.25,378330.88,12845522.47,0.99960789,-0.00039211,0.51746061,28.92112433,peg_supply_stress_watch,none,large supply change with near-peg price,"check MSUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
PYUSD,PayPal USD,peggedUSD,fiat-backed,2851240389.74,-200698126.30,-578032751.52,0.99966511,-0.00033489,1.31208843,28.34889145,peg_supply_stress_watch,none,large supply change with near-peg price,"check PYUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
DAI,Dai,peggedUSD,crypto-backed,4505662792.21,-76496997.40,-134767722.44,0.99969317,-0.00030683,0.25951191,28.06825993,watch,none,near peg without major supply stress,"check DAI redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDH,USDH Stablecoin,peggedUSD,fiat-backed,55826867.66,-5525055.78,-50641853.32,1.00029212,0.00029212,3.71104679,27.92124269,peg_supply_stress_watch,none,large supply change with near-peg price,"check USDH redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDGO,USDGO,peggedUSD,fiat-backed,305891852.85,-17695635.03,-86222384.87,1.00029084,0.00029084,1.42410954,27.90835845,peg_supply_stress_watch,none,large supply change with near-peg price,"check USDGO redemption route, liquidity, exchange depth, and repeated peg snapshots"
CUSD,Cap cUSD,peggedUSD,crypto-backed,80639979.62,-11464161.00,-30440484.71,0.99971580,-0.00028420,2.55410610,27.84200000,peg_supply_stress_watch,none,large supply change with near-peg price,"check CUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDTB,Ethena USDtb,peggedUSD,fiat-backed,1056432062.26,-48153581.78,371679964.61,1.00024078,0.00024078,1.51129047,27.40782072,peg_supply_stress_watch,none,large supply change with near-peg price,"check USDTB redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDS,Sky Dollar,peggedUSD,crypto-backed,8565000481.92,-263805156.71,-190595364.46,0.99976594,-0.00023406,0.37476211,27.34056930,watch,none,near peg without major supply stress,"check USDS redemption route, liquidity, exchange depth, and repeated peg snapshots"
AUSD,Agora Dollar,peggedUSD,fiat-backed,153806814.21,7918299.89,422566.59,0.99978362,-0.00021638,0.52306329,27.16380741,peg_supply_stress_watch,none,large supply change with near-peg price,"check AUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
RLUSD,Ripple USD,peggedUSD,fiat-backed,1685745520.05,-12325572.71,150335645.40,0.99984960,-0.00015040,0.34065798,26.50402195,watch,none,near peg without major supply stress,"check RLUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
YLDS,YLDS,peggedUSD,fiat-backed,527878867.34,-31948296.88,-1356818.34,0.99986657,-0.00013343,0.61293119,26.33427668,peg_supply_stress_watch,none,large supply change with near-peg price,"check YLDS redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDai,USD.AI,peggedUSD,crypto-backed,201090638.15,-86969887.70,-45306698.30,0.99987044,-0.00012956,5.00082441,26.29557270,peg_supply_stress_watch,none,large supply change with near-peg price,"check USDai redemption route, liquidity, exchange depth, and repeated peg snapshots"
U,United Stables,peggedUSD,crypto-backed,999762244.99,-69993348.38,-47995370.32,0.99990355,-0.00009645,0.84412029,25.96451646,peg_supply_stress_watch,none,large supply change with near-peg price,"check U redemption route, liquidity, exchange depth, and repeated peg snapshots"
LISUSD,Lista USD,peggedUSD,crypto-backed,75208538.49,-221562.39,-949475.87,0.99810818,-0.00189182,0.06733347,25.65153291,watch,none,near peg without major supply stress,"check LISUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
FRXUSD,Frax USD,peggedUSD,fiat-backed,127010699.22,-4143913.10,-10679607.43,1.00000639,0.00000639,0.57851782,25.06390681,watch,none,near peg without major supply stress,"check FRXUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
cgUSD,Cygnus Finance Global USD,peggedUSD,fiat-backed,75615215.03,55937.12,217891.06,0.99765628,-0.00234372,0.01604233,25.04145590,watch,none,near peg without major supply stress,"check cgUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDG,Global Dollar,peggedUSD,fiat-backed,2498329554.57,-48742934.56,-16956190.11,1.00011104,0.00011104,0.21546313,22.65667419,watch,none,near peg without major supply stress,"check USDG redemption route, liquidity, exchange depth, and repeated peg snapshots"
avUSD,Avant USD,peggedUSD,fiat-backed,96911991.14,-854424.99,-3874289.60,1.00000945,0.00000945,0.20809725,20.90422874,watch,none,near peg without major supply stress,"check avUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDF,Astherus,peggedUSD,crypto-backed,116665623.08,-14703.90,-2612689.11,0.99873523,-0.00126477,0.06844438,19.49218696,watch,none,near peg without major supply stress,"check USDF redemption route, liquidity, exchange depth, and repeated peg snapshots"
USD0,Usual USD,peggedUSD,fiat-backed,552567960.13,-673622.56,-5307358.03,0.99853737,-0.00146263,0.04100545,18.72679864,watch,none,near peg without major supply stress,"check USD0 redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDC,USD Coin,peggedUSD,fiat-backed,75654748495.53,-228445703.74,-2778844564.72,0.99955657,-0.00044343,0.14038763,18.47301659,watch,none,near peg without major supply stress,"check USDC redemption route, liquidity, exchange depth, and repeated peg snapshots"
USDT,Tether,peggedUSD,fiat-backed,186886714332.69,-1465598466.55,-2704417846.34,0.99950788,-0.00049212,0.12183444,17.10463199,watch,none,near peg without major supply stress,"check USDT redemption route, liquidity, exchange depth, and repeated peg snapshots"
TUSD,TrueUSD,peggedUSD,fiat-backed,483847045.30,0.00,0.00,0.99868381,-0.00131619,0.00000000,13.16189240,watch,none,near peg without major supply stress,"check TUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
BUIDL,BlackRock USD,peggedUSD,fiat-backed,2950279206.32,-31068114.27,-11084464.23,1.00000000,0.00000000,0.11657694,11.65769445,watch,none,near peg without major supply stress,"check BUIDL redemption route, liquidity, exchange depth, and repeated peg snapshots"
DUSD,StandX DUSD,peggedUSD,crypto-backed,100602939.72,10235.58,377018.86,0.99912787,-0.00087213,0.01226020,9.94732178,watch,none,near peg without major supply stress,"check DUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
GHO,GHO,peggedUSD,crypto-backed,583516783.89,0.00,0.00,0.99917258,-0.00082742,0.00000000,8.27424841,watch,none,near peg without major supply stress,"check GHO redemption route, liquidity, exchange depth, and repeated peg snapshots"
MUST,Mustang Finance,peggedUSD,crypto-backed,154302409.52,1427.01,9228.97,0.99955657,-0.00044343,0.00027191,4.46144513,watch,none,near peg without major supply stress,"check MUST redemption route, liquidity, exchange depth, and repeated peg snapshots"
FLEXUSD,flexUSD,peggedUSD,crypto-backed,166276481.41,0.00,0.00,0.99955657,-0.00044343,0.00000000,4.43425373,watch,none,near peg without major supply stress,"check FLEXUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
USP,USP Stablecoin,peggedUSD,crypto-backed,65408871.94,0.00,0.00,0.99955657,-0.00044343,0.00000000,4.43425373,watch,none,near peg without major supply stress,"check USP redemption route, liquidity, exchange depth, and repeated peg snapshots"
BUSD,Binance Peg BUSD,peggedUSD,crypto-backed,232991263.44,9.73,105.67,1.00028986,0.00028986,0.00000178,2.89873801,watch,none,near peg without major supply stress,"check BUSD redemption route, liquidity, exchange depth, and repeated peg snapshots"
