chain,token_symbol,migration_status,stablecoin_flow_direction,week_change_usd,week_change_pct,top_asset,directional_return_1h,directional_return_4h,exchange_inflow_interpretation,chain_liquidity_interpretation,status,priority,missing_data,next_probe,research_reference
Ethereum,ETH,chain_stablecoin_flow_reversal_watch,stablecoin_supply_outflow,-2499493730.17000008,-0.01668352,USDT,,,exchange_inflow_research_target_but_wallet_map_missing,chain_liquidity_reversal_control,needs_exchange_wallet_map_before_exchange_inflow_alpha,102.00202240,"exchange wallet map, tagged stablecoin deposits, and 1h exchange-inflow labels",collect exchange-tagged stablecoin netflow for ETH; do not treat Ethereum supply as exchange inflow yet,https://arxiv.org/abs/2411.06327
Solana,SOL,paper_chain_stablecoin_inflow_watch,stablecoin_supply_inflow,881166597.41999996,0.07240569,USDC,,,chain_token_liquidity_proxy_not_exchange_inflow,chain_liquidity_inflow_alpha_candidate,chain_liquidity_proxy_alpha_candidate,86.31201475,"chain-level forward labels, bridge route, venue coverage, funding, and spread/depth","label SOL as a chain-liquidity proxy and compare against funding, spread, and beta controls",https://arxiv.org/abs/2411.06327
Polygon,POL,paper_chain_stablecoin_outflow_watch,stablecoin_supply_outflow,-218594198.83000001,-0.05992381,USDC,,,chain_token_liquidity_proxy_not_exchange_inflow,chain_liquidity_outflow_alpha_candidate,chain_liquidity_proxy_alpha_candidate,71.56274118,"chain-level forward labels, bridge route, venue coverage, funding, and spread/depth","label POL as a chain-liquidity proxy and compare against funding, spread, and beta controls",https://arxiv.org/abs/2411.06327
Hyperliquid L1,HYPE,paper_chain_stablecoin_inflow_watch,stablecoin_supply_inflow,235067901.74000001,0.03585025,USDC,,,chain_token_liquidity_proxy_not_exchange_inflow,chain_liquidity_inflow_alpha_candidate,chain_liquidity_proxy_alpha_candidate,69.00338803,"chain-level forward labels, bridge route, venue coverage, funding, and spread/depth","label HYPE as a chain-liquidity proxy and compare against funding, spread, and beta controls",https://arxiv.org/abs/2411.06327
Arbitrum,ARB,paper_chain_stablecoin_outflow_watch,stablecoin_supply_outflow,-121911731.11000000,-0.03234007,PYUSD,,,chain_token_liquidity_proxy_not_exchange_inflow,chain_liquidity_outflow_alpha_candidate,chain_liquidity_proxy_alpha_candidate,66.31904302,"chain-level forward labels, bridge route, venue coverage, funding, and spread/depth","label ARB as a chain-liquidity proxy and compare against funding, spread, and beta controls",https://arxiv.org/abs/2411.06327
Tron,TRX,chain_stablecoin_flow_reversal_watch,stablecoin_supply_outflow,-448381368.05000001,-0.00499237,USDT,,,chain_token_liquidity_proxy_not_exchange_inflow,chain_liquidity_reversal_control,chain_liquidity_proxy_watch,44.56671176,"tradable token mapping, forward labels, and venue coverage",keep Tron stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
Sui,SUI,chain_stablecoin_context,stablecoin_supply_inflow,23370579.79000000,0.06985592,USDC,,,chain_token_liquidity_proxy_not_exchange_inflow,chain_liquidity_context_only,chain_liquidity_proxy_watch,43.85012200,"tradable token mapping, forward labels, and venue coverage",keep Sui stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
Berachain,BERA,chain_stablecoin_context,stablecoin_supply_outflow,-5179278.67000000,-0.06869007,USDe,,,chain_token_liquidity_proxy_not_exchange_inflow,chain_liquidity_context_only,chain_liquidity_proxy_watch,43.34639397,"tradable token mapping, forward labels, and venue coverage",keep Berachain stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
Starknet,,chain_stablecoin_context,stablecoin_supply_outflow,-81560658.70999999,-0.31111619,USDC,,,chain_activity_proxy_not_exchange_inflow,chain_liquidity_context_only,unmapped_chain_liquidity_context,41.63121317,"tradable token mapping, forward labels, and venue coverage",keep Starknet stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
Stellar,,chain_stablecoin_context,stablecoin_supply_inflow,70260435.45000000,0.34327331,USDC,,,chain_activity_proxy_not_exchange_inflow,chain_liquidity_context_only,unmapped_chain_liquidity_context,41.40520871,"tradable token mapping, forward labels, and venue coverage",keep Stellar stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
Flow,,chain_stablecoin_context,stablecoin_supply_inflow,55196511.77000000,2.88063316,PYUSD,,,chain_activity_proxy_not_exchange_inflow,chain_liquidity_context_only,unmapped_chain_liquidity_context,41.10393024,"tradable token mapping, forward labels, and venue coverage",keep Flow stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
Ink,,chain_stablecoin_context,stablecoin_supply_inflow,26902029.81000000,0.17448286,USDC,,,chain_activity_proxy_not_exchange_inflow,chain_liquidity_context_only,unmapped_chain_liquidity_context,40.53804060,"tradable token mapping, forward labels, and venue coverage",keep Ink stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
XDC,,chain_stablecoin_context,stablecoin_supply_inflow,25141935.99000000,0.40669035,USDC,,,chain_activity_proxy_not_exchange_inflow,chain_liquidity_context_only,unmapped_chain_liquidity_context,40.50283872,"tradable token mapping, forward labels, and venue coverage",keep XDC stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
Cardano,,chain_stablecoin_context,stablecoin_supply_outflow,-5985501.97000000,-0.22700312,USDC,,,chain_activity_proxy_not_exchange_inflow,chain_liquidity_context_only,unmapped_chain_liquidity_context,40.11971004,"tradable token mapping, forward labels, and venue coverage",keep Cardano stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
World Chain,,chain_stablecoin_context,stablecoin_supply_inflow,4701424.39000000,0.22614642,USDC,,,chain_activity_proxy_not_exchange_inflow,chain_liquidity_context_only,unmapped_chain_liquidity_context,40.09402849,"tradable token mapping, forward labels, and venue coverage",keep World Chain stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
ZKsync Era,,chain_stablecoin_context,stablecoin_supply_outflow,-6804829.22000000,-0.15963654,USDC,,,chain_activity_proxy_not_exchange_inflow,chain_liquidity_context_only,unmapped_chain_liquidity_context,39.29248138,"tradable token mapping, forward labels, and venue coverage",keep ZKsync Era stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
BSC,BNB,chain_stablecoin_context,stablecoin_supply_outflow,-60081921.82000000,-0.00476599,USD1,,,chain_token_liquidity_proxy_not_exchange_inflow,chain_liquidity_context_only,chain_liquidity_proxy_watch,36.77355724,"tradable token mapping, forward labels, and venue coverage",keep BSC stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
Aptos,,paper_chain_stablecoin_inflow_watch,stablecoin_supply_inflow,108010873.67000000,0.10467972,USDT,,,chain_activity_proxy_not_exchange_inflow,chain_liquidity_context_only,unmapped_chain_liquidity_context,34.72178387,"tradable token mapping, forward labels, and venue coverage",keep Aptos stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
Algorand,,chain_stablecoin_context,stablecoin_supply_inflow,4027032.47000000,0.07737147,USDC,,,chain_activity_proxy_not_exchange_inflow,chain_liquidity_context_only,unmapped_chain_liquidity_context,29.36511705,"tradable token mapping, forward labels, and venue coverage",keep Algorand stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
Base,,paper_chain_stablecoin_inflow_watch,stablecoin_supply_inflow,162405397.80000001,0.03771357,USDC,,,chain_activity_proxy_not_exchange_inflow,chain_liquidity_context_only,unmapped_chain_liquidity_context,27.77373636,"tradable token mapping, forward labels, and venue coverage",keep Base stablecoin migration as context until token mapping and labels improve,https://arxiv.org/abs/2411.06327
