symbol,name,unlock_action,days_until,unlock_value_usd,percent_supply,annualized_funding,day_notional_volume,open_interest_notional,action,score
ME,Magic Eden,unlock_supply_shock_watch,2,10430000.00,30.8000,0.02297573,157904.78708400,174576.14542200,unlock_short_pressure_funding_overlap,53.06175053
PYTH,Pyth Network,unlock_context,346,93650000.00,37.0000,-0.02150317,523645.49744100,610308.61992800,unlock_context,49.81552876
ZRO,LayerZero,unlock_supply_shock_watch,12,34450000.00,10.2000,0.11050828,2972259.10553400,25476502.82920800,unlock_short_pressure_funding_overlap,29.03404120
KAITO,KAITO,unlock_supply_shock_watch,12,7950000.00,7.3000,0.10950000,154062.70690000,858081.74256000,unlock_short_pressure_funding_overlap,23.18740112
MOVE,Movement,unlock_context,1,1950000.00,4.3000,-0.23322186,77657.40377200,260117.63870400,unlock_context,22.79816193
PIXEL,Pixels,unlock_supply_shock_watch,11,630970.00,11.8000,0.00000000,0.00000000,0.00000000,unlock_supply_shock_watch,21.58399122
HYPE,Hyperliquid,large_unlock_watch,28,594900000.00,4.5000,0.10950000,638826720.43345916,1282179531.54768014,large_unlock_watch,21.37183311
AI,Sleepless AI,unlock_supply_shock_watch,23,444360.00,12.7000,0.00000000,0.00000000,0.00000000,unlock_supply_shock_watch,20.96548604
LINEA,Linea,unlock_context,2,2690000.00,3.6000,0.10950000,212367.72409000,1511432.05958400,unlock_context,19.37562960
EIGEN,EigenCloud (prev. EigenLayer),unlock_supply_shock_watch,23,7750000.00,5.0000,0.10950000,1036762.71283300,3926495.97371000,unlock_short_pressure_funding_overlap,19.15631971
BABY,Babylon,unlock_context,2,2140000.00,3.7000,-0.73286861,857533.12698200,551325.66494000,unlock_context,17.61151451
SOPH,Sophon,unlock_supply_shock_watch,21,1210000.00,5.2000,0.10950000,27253.18361600,85236.11776000,unlock_short_pressure_funding_overlap,17.61087955
CYBER,CYBER,unlock_supply_shock_watch,7,2780000.00,5.9000,0.00000000,0.00000000,0.00000000,unlock_supply_shock_watch,17.60909673
IO,io.net,unlock_context,3,1830000.00,3.8000,-0.12661967,489337.10059100,425425.33813000,unlock_context,16.25571653
ZORA,Zora,unlock_context,22,1660000.00,3.7000,-0.40688098,128936.93012600,593947.91053000,unlock_context,15.89169851
XPL,Plasma,unlock_context,18,7310000.00,3.4000,0.10950000,7811258.66887200,14726867.04981600,unlock_context,15.31740515
NIL,Nillion,unlock_context,17,1250000.00,4.3000,-0.23278912,535457.31482200,810174.82958800,unlock_context,15.09104193
ZETA,ZetaChain,unlock_context,23,2210000.00,3.1000,0.10950000,56870.77869600,379079.25566400,unlock_context,14.74539092
ALT,AltLayer,unlock_context,17,1820000.00,3.9000,-0.14872115,154215.59258600,225508.99240000,unlock_context,14.66048246
ZK,ZKsync,unlock_context,11,2750000.00,1.8000,-0.64933325,323597.80812900,774419.21775000,unlock_context,12.40169738
APT,Aptos,unlock_context,4,7610000.00,1.4000,0.10950000,1746049.07753100,4156184.08889200,unlock_context,12.26043331
OP,Optimism,unlock_context,22,3780000.00,1.5000,0.10950000,798638.54984700,3053886.45870000,unlock_context,11.51549932
ACE,Fusionist,unlock_context,10,161390.00,1.8000,0.10950000,49726.45885500,159113.11831200,unlock_context,10.73179057
W,Wormhole,unlock_context,4,483600.00,0.8000,0.08740991,236016.34205700,736313.61764800,unlock_context,9.18864084
IOTA,IOTA,unlock_context,2,559600.00,0.3000,0.10950000,62671.40678200,238956.31880000,unlock_context,7.30715637
