symbol,name,side,days_until,unlock_value_usd,percent_supply,annualized_funding,day_notional_volume,open_interest_notional,impact_spread,max_leverage,score,status,reason
HYPE,Hyperliquid,short,28,594900000.00,4.5000,0.10950000,638826720.43345916,1282179531.54768014,0.000514176946,10.0000,32.62474897,paper_short_candidate,supply shock and short carry align on a tradable perp venue
ME,Magic Eden,short,2,10430000.00,30.8000,0.02297573,157904.78708400,174576.14542200,0.003679545074,3.0000,31.50844503,wide_impact_watch,"short carry aligns, but visible impact spread is wide"
ZRO,LayerZero,short,12,34450000.00,10.2000,0.11050828,2972259.10553400,25476502.82920800,0.000850537385,5.0000,31.46718045,paper_short_candidate,supply shock and short carry align on a tradable perp venue
KAITO,KAITO,short,12,7950000.00,7.3000,0.10950000,154062.70690000,858081.74256000,0.002042395173,5.0000,27.90016675,paper_short_candidate,supply shock and short carry align on a tradable perp venue
EIGEN,EigenCloud (prev. EigenLayer),short,23,7750000.00,5.0000,0.10950000,1036762.71283300,3926495.97371000,0.002227171492,5.0000,25.30129246,paper_short_candidate,supply shock and short carry align on a tradable perp venue
PYTH,Pyth Network,none,346,93650000.00,37.0000,-0.02150317,523645.49744100,610308.61992800,0.002169743090,5.0000,17.79339341,context_only,unlock is not large enough for a direct supply-shock ticket
AI,Sleepless AI,short,23,444360.00,12.7000,0.00000000,0.00000000,0.00000000,0.000000000000,3.0000,12.93777693,too_illiquid,perp venue volume is too low for paper priority
PIXEL,Pixels,short,11,630970.00,11.8000,0.00000000,0.00000000,0.00000000,0.000000000000,3.0000,12.43964303,too_illiquid,perp venue volume is too low for paper priority
CYBER,CYBER,short,7,2780000.00,5.9000,0.00000000,0.00000000,0.00000000,0.000000000000,3.0000,6.69446667,too_illiquid,perp venue volume is too low for paper priority
SOPH,Sophon,short,21,1210000.00,5.2000,0.10950000,27253.18361600,85236.11776000,0.002940095553,3.0000,5.33031576,too_illiquid,perp venue volume is too low for paper priority
MOVE,Movement,none,1,1950000.00,4.3000,-0.23322186,77657.40377200,260117.63870400,0.003477228395,3.0000,-14.82056857,context_only,unlock is not large enough for a direct supply-shock ticket
BABY,Babylon,none,2,2140000.00,3.7000,-0.73286861,857533.12698200,551325.66494000,0.003124425657,3.0000,-14.83908731,context_only,unlock is not large enough for a direct supply-shock ticket
NIL,Nillion,none,17,1250000.00,4.3000,-0.23278912,535457.31482200,810174.82958800,0.003293084523,3.0000,-15.29714027,context_only,unlock is not large enough for a direct supply-shock ticket
IO,io.net,none,3,1830000.00,3.8000,-0.12661967,489337.10059100,425425.33813000,0.002114627388,3.0000,-15.31760936,context_only,unlock is not large enough for a direct supply-shock ticket
XPL,Plasma,none,18,7310000.00,3.4000,0.10950000,7811258.66887200,14726867.04981600,0.001123773574,10.0000,-15.34865149,context_only,unlock is not large enough for a direct supply-shock ticket
LINEA,Linea,none,2,2690000.00,3.6000,0.10950000,212367.72409000,1511432.05958400,0.002374356945,3.0000,-15.54646559,context_only,unlock is not large enough for a direct supply-shock ticket
ALT,AltLayer,none,17,1820000.00,3.9000,-0.14872115,154215.59258600,225508.99240000,0.002476561118,3.0000,-15.73198007,context_only,unlock is not large enough for a direct supply-shock ticket
ZORA,Zora,none,22,1660000.00,3.7000,-0.40688098,128936.93012600,593947.91053000,0.002943947244,3.0000,-15.89135338,context_only,unlock is not large enough for a direct supply-shock ticket
ZETA,ZetaChain,none,23,2210000.00,3.1000,0.10950000,56870.77869600,379079.25566400,0.003875968992,3.0000,-16.91697649,context_only,unlock is not large enough for a direct supply-shock ticket
ZK,ZKsync,none,11,2750000.00,1.8000,-0.64933325,323597.80812900,774419.21775000,0.002701138337,5.0000,-17.12758747,context_only,unlock is not large enough for a direct supply-shock ticket
APT,Aptos,none,4,7610000.00,1.4000,0.10950000,1746049.07753100,4156184.08889200,0.001048375019,10.0000,-17.47796593,context_only,unlock is not large enough for a direct supply-shock ticket
ACE,Fusionist,none,10,161390.00,1.8000,0.10950000,49726.45885500,159113.11831200,0.003359462486,3.0000,-17.75319304,context_only,unlock is not large enough for a direct supply-shock ticket
OP,Optimism,none,22,3780000.00,1.5000,0.10950000,798638.54984700,3053886.45870000,0.002072109407,5.0000,-18.21338042,context_only,unlock is not large enough for a direct supply-shock ticket
W,Wormhole,none,4,483600.00,0.8000,0.08740991,236016.34205700,736313.61764800,0.003154574132,5.0000,-18.53294320,context_only,unlock is not large enough for a direct supply-shock ticket
IOTA,IOTA,none,2,559600.00,0.3000,0.10950000,62671.40678200,238956.31880000,0.005024262464,3.0000,-19.14772977,context_only,unlock is not large enough for a direct supply-shock ticket
