timestamp,name,symbol,unlock_type,unlock_value_usd,percent_supply,impact,days_until,action,score
2026-06-08T00:41:43.222946+00:00,HumidiFi,WET,CLIFF,14450000.00,111.4000,CRITICAL,1,unlock_supply_shock_watch,113.35452486
2026-06-08T00:41:43.222946+00:00,Magic Eden,ME,MONTHLY,10430000.00,30.8000,CRITICAL,2,unlock_supply_shock_watch,51.93319625
2026-06-08T00:41:43.222946+00:00,Pyth Network,PYTH,PERIODIC,93650000.00,37.0000,CRITICAL,346,unlock_context,48.62852599
2026-06-08T00:41:43.222946+00:00,Solv Protocol,SOLV,PERIODIC,2580000.00,41.1000,CRITICAL,9,unlock_supply_shock_watch,45.21487673
2026-06-08T00:41:43.222946+00:00,Huma Finance,HUMA,CLIFF,11780000.00,26.5000,CRITICAL,79,unlock_context,36.85596015
2026-06-08T00:41:43.222946+00:00,LayerZero,ZRO,PERIODIC,34450000.00,10.2000,CRITICAL,12,unlock_supply_shock_watch,25.92353292
2026-06-08T00:41:43.222946+00:00,MBG By Multibank Group,MBG,PERIODIC,8370000.00,11.0000,CRITICAL,14,unlock_supply_shock_watch,24.49075506
2026-06-08T00:41:43.222946+00:00,Pixels,PIXEL,CLIFF,630970.00,11.8000,CRITICAL,11,unlock_supply_shock_watch,21.58399122
2026-06-08T00:41:43.222946+00:00,Sleepless AI,AI,MONTHLY,444360.00,12.7000,CRITICAL,23,unlock_supply_shock_watch,20.96548604
2026-06-08T00:41:43.222946+00:00,KAITO,KAITO,PERIODIC,7950000.00,7.3000,CRITICAL,12,unlock_supply_shock_watch,20.07790112
2026-06-08T00:41:43.222946+00:00,Movement,MOVE,PERIODIC,1950000.00,4.3000,HIGH,1,unlock_context,19.56494007
2026-06-08T00:41:43.222946+00:00,Hyperliquid,HYPE,CLIFF,594900000.00,4.5000,HIGH,28,large_unlock_watch,19.25524810
2026-06-08T00:41:43.222946+00:00,Humanity,H,PERIODIC,25010000.00,5.7000,CRITICAL,17,unlock_supply_shock_watch,18.64401848
2026-06-08T00:41:43.222946+00:00,Katana,KAT,CLIFF,1450000.00,7.5000,CRITICAL,10,unlock_supply_shock_watch,18.40756494
2026-06-08T00:41:43.222946+00:00,CYBER,CYBER,PERIODIC,2780000.00,5.9000,CRITICAL,7,unlock_supply_shock_watch,17.60909673
2026-06-08T00:41:43.222946+00:00,Linea,LINEA,CLIFF,2690000.00,3.6000,HIGH,2,unlock_context,16.26612960
2026-06-08T00:41:43.222946+00:00,Babylon,BABY,CLIFF,2140000.00,3.7000,HIGH,2,unlock_context,16.23572536
2026-06-08T00:41:43.222946+00:00,BounceBit,BB,MONTHLY,610540.00,7.3000,CRITICAL,29,unlock_supply_shock_watch,16.15321004
2026-06-08T00:41:43.222946+00:00,EigenCloud (prev. EigenLayer),EIGEN,MONTHLY,7750000.00,5.0000,HIGH,23,unlock_supply_shock_watch,16.04681971
2026-06-08T00:41:43.222946+00:00,Space and Time,SXT,CLIFF,686360.00,3.1000,HIGH,1,unlock_context,15.41446523
2026-06-08T00:41:43.222946+00:00,io.net,IO,CLIFF,1830000.00,3.8000,HIGH,3,unlock_context,15.25970572
2026-06-08T00:41:43.222946+00:00,peaq,PEAQ,CLIFF,1910000.00,3.8000,HIGH,4,unlock_context,14.69278572
2026-06-08T00:41:43.222946+00:00,Sophon,SOPH,PERIODIC,1210000.00,5.2000,CRITICAL,21,unlock_supply_shock_watch,14.50137955
2026-06-08T00:41:43.222946+00:00,Sign,SIGN,CLIFF,1260000.00,4.8000,HIGH,20,unlock_context,14.00168233
2026-06-08T00:41:43.222946+00:00,Sahara AI,SAHARA,CLIFF,4660000.00,3.9000,HIGH,18,unlock_context,13.86211265
2026-06-08T00:41:43.222946+00:00,Polyhedra Network,ZKJ,CLIFF,315770.00,5.2000,CRITICAL,11,unlock_supply_shock_watch,13.58553629
2026-06-08T00:41:43.222946+00:00,Nillion,NIL,PERIODIC,1250000.00,4.3000,HIGH,17,unlock_context,13.34520068
2026-06-08T00:41:43.222946+00:00,Plasma,XPL,CLIFF,7310000.00,3.4000,HIGH,18,unlock_context,13.32256661
2026-06-08T00:41:43.222946+00:00,AltLayer,ALT,PERIODIC,1820000.00,3.9000,HIGH,17,unlock_context,13.04946435
2026-06-08T00:41:43.222946+00:00,Zora,ZORA,CLIFF,1660000.00,3.7000,HIGH,22,unlock_context,12.48481753
2026-06-08T00:41:43.222946+00:00,GoPlus Security,GPS,PERIODIC,1230000.00,3.8000,HIGH,23,unlock_context,12.36605265
